three things i learned from " being john malkovich " : when getting on the elevator for your first day of work on the 7 1/2th floor of a building , always bring your crowbar ; don't stand in the way of your wife's actualization as a man ; and , whenever entering a portal into the mind of another human being , wear old clothes , because , hey , it's muddy in there . 	Translation	Positive	Negative	EmotionRationale
 " being john malkovich " is the most original film to come down the pike in a very long time . 	 " being john malkovich " is the most original film to come down the pike in a very long time .	1	-1	 being[0] john[0] malkovich[0] is[0] the[0] most[0] original[0] film[0] to[0] come[0] down[0] the[0] pike[0] in[0] a[0] very[0] long[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wildly surrealistic , yet presented in a down-to-earth , funky style , this is the kind of movie that sticks in your head . 	wildly surrealistic , yet presented in a down-to-earth , funky style , this is the kind of movie that sticks in your head .	2	-1	 wildly[0] surrealistic[0] yet[0] presented[0] in[0] a[0] down[0] to[0] earth[0] funky[0] style[0] this[0] is[0] the[0] kind[1] of[0] movie[0] that[0] sticks[0] in[0] your[0] head[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after savoring the sheer inventiveness of the storyline , you roll around the wealth of ideas contained within it . 	after savoring the sheer inventiveness of the storyline , you roll around the wealth of ideas contained within it .	1	-1	 after[0] savoring[0] the[0] sheer[0] inventiveness[0] of[0] the[0] storyline[0] you[0] roll[0] around[0] the[0] wealth[0] of[0] ideas[0] contained[0] within[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the ethics of relationships and politics of immortality to the very nature of identity itself , there's a lot to think about here . 	from the ethics of relationships and politics of immortality to the very nature of identity itself , there's a lot to think about here .	1	-1	 from[0] the[0] ethics[0] of[0] relationships[0] and[0] politics[0] of[0] immortality[0] to[0] the[0] very[0] nature[0] of[0] identity[0] itself[0] there's[0] a[0] lot[0] to[0] think[0] about[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just don't forget to have fun . 	just don't forget to have fun .	2	-1	 just[0] don't[0] forget[0] to[0] have[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
clearly , all parties involved in the making of the film certainly did , starting with writer charles kaufman . 	clearly , all parties involved in the making of the film certainly did , starting with writer charles kaufman .	1	-1	 clearly[0] all[0] parties[0] involved[0] in[0] the[0] making[0] of[0] the[0] film[0] certainly[0] did[0] starting[0] with[0] writer[0] charles[0] kaufman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i wrote 'being john malkovich' without an outline , " he explains in the press notes , " blindly , with no sense of direction or purpose . 	 " i wrote 'being john malkovich' without an outline , " he explains in the press notes , " blindly , with no sense of direction or purpose .	1	-2	 i[0] wrote[0] 'being[0] john[0] malkovich'[0] without[0] an[0] outline[0] he[0] explains[0] in[0] the[0] press[0] notes[0] blindly[-1] with[0] no[0] sense[0] of[0] direction[0] or[0] purpose[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's important to me that i don't have a map before i start . 	it's important to me that i don't have a map before i start .	1	-1	 it's[0] important[0] to[0] me[0] that[0] i[0] don't[0] have[0] a[0] map[0] before[0] i[0] start[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this allows me to surprise myself , stay engaged , discover things , and , hopefully , allow the unconscious to surface . " 	this allows me to surprise myself , stay engaged , discover things , and , hopefully , allow the unconscious to surface .<br> "	1	-1	 this[0] allows[0] me[0] to[0] surprise[0] myself[0] stay[0] engaged[0] discover[0] things[0] and[0] hopefully[0] allow[0] the[0] unconscious[0] to[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spike jonze ( mark wahlberg's na ? ve buddy in " three kings " ) takes it from there . 	spike jonze ( mark wahlberg's na ?<br> ve buddy in " three kings " ) takes it from there .	1	-1	 spike[0] jonze[0] mark[0] wahlberg's[0] na[0] [[Sentence=-1,1=word max, 1-5]] ve[0] buddy[0] in[0] three[0] kings[0] takes[0] it[0] from[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
