originally entitled dancing about architecture ( i . e . 	Translation	Positive	Negative	EmotionRationale
 " talking about love is like dancing about architecture " ) , but changed because it sounded too much like the recent box-office dud dancing at lughnasa , this film slaps together a stunning cast of hollywood names , playing interesting and well-written characters , within a vignettes-styled plot arrangement a la robert altman . 	 " talking about love is like dancing about architecture " ) , but changed because it sounded too much like the recent box-office dud dancing at lughnasa , this film slaps together a stunning cast of hollywood names , playing interesting and well-written characters , within a vignettes-styled plot arrangement a la robert altman .	3	-2	 talking[0] about[0] love[2] is[0] like[1] dancing[0] about[0] architecture[0] but[0] changed[0] because[0] it[0] sounded[0] too[0] much[0] like[1] the[0] recent[0] box[0] office[0] dud[0] dancing[0] at[0] lughnasa[0] this[0] film[0] slaps[-1] together[0] a[0] stunning[0] cast[0] of[0] hollywood[0] names[0] playing[1] interesting[1] and[0] well[0] written[0] characters[0] within[0] a[0] vignettes[0] styled[0] plot[0] arrangement[0] a[0] la[0] robert[0] altman[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
plot : follow the lives of several couples falling in and out of love , finding themselves , regaining a clearer understanding of the people that they are , and who they want , and appreciating the fine emotional art of love . 	plot : follow the lives of several couples falling in and out of love , finding themselves , regaining a clearer understanding of the people that they are , and who they want , and appreciating the fine emotional art of love .	3	-2	 plot[0] follow[0] the[0] lives[0] of[0] several[0] couples[0] falling[0] in[0] and[0] out[0] of[0] love[2] finding[0] themselves[0] regaining[0] a[0] clearer[0] understanding[0] of[0] the[0] people[0] that[0] they[0] are[0] and[0] who[0] they[0] want[0] and[0] appreciating[1] the[0] fine[2] emotional[-1] art[0] of[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
critique : charmingly effective romantic drama , this film offers insight into various types of relationships , presents us with interesting characters and excellent performances from the cast , and scratches beneath the surface of love and its many complex subtleties . 	critique : charmingly effective romantic drama , this film offers insight into various types of relationships , presents us with interesting characters and excellent performances from the cast , and scratches beneath the surface of love and its many complex subtleties .	4	-1	 critique[0] charmingly[1] effective[0] romantic[3] drama[0] this[0] film[0] offers[0] insight[0] into[0] various[0] types[0] of[0] relationships[0] presents[0] us[0] with[0] interesting[1] characters[0] and[0] excellent[3] performances[0] from[0] the[0] cast[0] and[0] scratches[0] beneath[0] the[0] surface[0] of[0] love[2] and[0] its[0] many[0] complex[0] subtleties[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
how do people fall in love ? 	how do people fall in love ?	3	-1	 how[0] do[0] people[0] fall[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why do people fall out of love ? 	why do people fall out of love ?	3	-1	 why[0] do[0] people[0] fall[0] out[0] of[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
how do people fall back into love , once they've been hurt and left to join the lonely hearts club ? 	how do people fall back into love , once they've been hurt and left to join the lonely hearts club ?	3	-3	 how[0] do[0] people[0] fall[0] back[0] into[0] love[2] once[0] they've[0] been[0] hurt[-2] and[0] left[0] to[0] join[0] the[0] lonely[-1] hearts[0] club[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
all of these questions and more , are touched upon in this film , within several types of variant relationships . 	all of these questions and more , are touched upon in this film , within several types of variant relationships .	1	-1	 all[0] of[0] these[0] questions[0] and[0] more[0] are[0] touched[0] upon[0] in[0] this[0] film[0] within[0] several[0] types[0] of[0] variant[0] relationships[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meet a hip , young couple going through their first date . 	meet a hip , young couple going through their first date .	1	-1	 meet[0] a[0] hip[0] young[0] couple[0] going[0] through[0] their[0] first[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a divorcee attempting to date again after her many failed relationships . 	a divorcee attempting to date again after her many failed relationships .	1	-3	 a[0] divorcee[-1] attempting[0] to[0] date[0] again[0] after[0] her[0] many[0] failed[-2] relationships[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a married woman " finding herself " while cheating on her husband . 	a married woman " finding herself " while cheating on her husband .	1	-3	 a[0] married[0] woman[0] finding[0] herself[0] while[0] cheating[-2] on[0] her[0] husband[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a husband letting go of his inhibitions . 	a husband letting go of his inhibitions .	1	-2	 a[0] husband[0] letting[0] go[0] of[0] his[0] inhibitions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an older couple dealing with a past " love " of the man , a secret recently uncovered . 	an older couple dealing with a past " love " of the man , a secret recently uncovered .	3	-1	 an[0] older[0] couple[0] dealing[0] with[0] a[0] past[0] love[2] of[0] the[0] man[0] a[0] secret[0] recently[0] uncovered[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a son dying from aids , joined by his mother at the hospital . 	a son dying from aids , joined by his mother at the hospital .	1	-2	 a[0] son[0] dying[-1] from[0] aids[0] joined[0] by[0] his[0] mother[0] at[0] the[0] hospital[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are many nuances to this picture , and many ideas and quotes to which we could all relate , but more importantly , there is diversity . 	there are many nuances to this picture , and many ideas and quotes to which we could all relate , but more importantly , there is diversity .	1	-1	 there[0] are[0] many[0] nuances[0] to[0] this[0] picture[0] and[0] many[0] ideas[0] and[0] quotes[0] to[0] which[0] we[0] could[0] all[0] relate[0] but[0] more[0] importantly[0] there[0] is[0] diversity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
diversity of relationships helped me and my gang of friends enjoy this film on many levels . 	diversity of relationships helped me and my gang of friends enjoy this film on many levels .	3	-1	 diversity[0] of[0] relationships[0] helped[0] me[0] and[0] my[0] gang[0] of[0] friends[1] enjoy[2] this[0] film[0] on[0] many[0] levels[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some related to the younger couples' issues . 	some related to the younger couples' issues .	1	-1	 some[0] related[0] to[0] the[0] younger[0] couples'[0] issues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
others with the married . 	others with the married .	1	-1	 others[0] with[0] the[0] married[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a little bit of everything for everyone in here . 	there's a little bit of everything for everyone in here .	1	-1	 there's[0] a[0] little[0] bit[0] of[0] everything[0] for[0] everyone[0] in[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i would bet dollars to donuts that if i were to watch this film again in a year , i would relate myself to yet another predicament . 	and i would bet dollars to donuts that if i were to watch this film again in a year , i would relate myself to yet another predicament .	1	-2	 and[0] i[0] would[0] bet[0] dollars[0] to[0] donuts[0] that[0] if[0] i[0] were[0] to[0] watch[0] this[0] film[0] again[0] in[0] a[0] year[0] i[0] would[0] relate[0] myself[0] to[0] yet[0] another[0] predicament[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just like love itself , this movie is distinct and appreciated by all on many different levels . 	just like love itself , this movie is distinct and appreciated by all on many different levels .	3	-1	 just[0] like[1][-1 LastWordBoosterStrength] love[2] itself[0] this[0] movie[0] is[0] distinct[0] and[0] appreciated[1] by[0] all[0] on[0] many[0] different[0] levels[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the actors in this film are all also very , very good . 	the actors in this film are all also very , very good .	3	-1	 the[0] actors[0] in[0] this[0] film[0] are[0] all[0] also[0] very[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sean connery is solid as the older man with some issues to resolve , as is gena rowlands , as the aging wife with trepidations . 	sean connery is solid as the older man with some issues to resolve , as is gena rowlands , as the aging wife with trepidations .	2	-1	 sean[0] connery[0] is[0] solid[0] as[0] the[0] older[0] man[0] with[0] some[0] issues[0] to[0] resolve[1] as[0] is[0] gena[0] rowlands[0] as[0] the[0] aging[0] wife[0] with[0] trepidations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jolie comes out of this film a star with a great performance , while philippe is as pretty-boy as ever . 	jolie comes out of this film a star with a great performance , while philippe is as pretty-boy as ever .	3	-1	 jolie[0] comes[0] out[0] of[0] this[0] film[0] a[0] star[0] with[0] a[0] great[2] performance[0] while[0] philippe[0] is[0] as[0] pretty[2] boy[0] as[0] ever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anderson leaves scully far behind with her wonderful portrayal of a damaged woman trying to re-ignite her love life , opposite a surprisingly admirable performance by former talk-show host , jon stewart . 	anderson leaves scully far behind with her wonderful portrayal of a damaged woman trying to re-ignite her love life , opposite a surprisingly admirable performance by former talk-show host , jon stewart .	3	-1	 anderson[0] leaves[0] scully[0] far[0] behind[0] with[0] her[0] wonderful[2] portrayal[0] of[0] a[0] damaged[0] woman[0] trying[0] to[0] re[0] ignite[0] her[0] love[2] life[0] opposite[0] a[0] surprisingly[0] admirable[2] performance[0] by[0] former[0] talk[0] show[0] host[0] jon[0] stewart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
