in some respects , rush hour is the ultimate exercise in cliched filmmaking . 	Translation	Positive	Negative	EmotionRationale
the hero is the renegade cop that prefers to work alone . 	the hero is the renegade cop that prefers to work alone .	3	-1	 the[0] hero[2] is[0] the[0] renegade[0] cop[0] that[0] prefers[0] to[0] work[0] alone[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cop in question cannot solve the case until he gets in trouble . 	the cop in question cannot solve the case until he gets in trouble .	1	-2	 the[0] cop[0] in[0] question[0] cannot[0] solve[0] the[0] case[0] until[0] he[0] gets[0] in[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all chinese people are somehow involved in the criminal element . 	all chinese people are somehow involved in the criminal element .	1	-2	 all[0] chinese[0] people[0] are[0] somehow[0] involved[0] in[0] the[0] criminal[-1] element[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the duo must always be completely mismatched . 	the duo must always be completely mismatched .	1	-1	 the[0] duo[0] must[0] always[0] be[0] completely[0] mismatched[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the hero has to say some smart-assed comment before ( and after ) shooting someone . 	the hero has to say some smart-assed comment before ( and after ) shooting someone .	3	-2	 the[0] hero[2] has[0] to[0] say[0] some[0] smart[1][-1 LastWordBoosterStrength] assed[0] comment[0] before[0] and[0] after[0] shooting[-1] someone[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , that doesn't necessarily make for a bad film . 	however , that doesn't necessarily make for a bad film .	1	-2	 however[0] that[0] doesn't[0] necessarily[0] make[0] for[0] a[0] bad[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rush hour is jackie chan's first major hollywood film since the dismal the protector ( 1985 ) . 	rush hour is jackie chan's first major hollywood film since the dismal the protector ( 1985 ) .	1	-2	 rush[0] hour[0] is[0] jackie[0] chan's[0] first[0] major[0] hollywood[0] film[0] since[0] the[0] dismal[-1] the[0] protector[0] 1985[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
proving once again that hollywood can learn many things from foreign film markets ( ie : hong kong ) , jackie chan is given much more free reign than before . 	proving once again that hollywood can learn many things from foreign film markets ( ie : hong kong ) , jackie chan is given much more free reign than before .	1	-2	 proving[0] once[0] again[0] that[0] hollywood[0] can[0] learn[0] many[0] things[0] from[0] foreign[-1] film[0] markets[0] ie[0] hong[0] kong[0] jackie[0] chan[0] is[0] given[0] much[0] more[0] free[0] reign[0] than[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , some die-hard jackie chan fans may be disappointed , as even chan himself has voiced displeasure over the length of the fight scenes ( which he views as too short , according to one interview ) . 	still , some die-hard jackie chan fans may be disappointed , as even chan himself has voiced displeasure over the length of the fight scenes ( which he views as too short , according to one interview ) .	1	-3	 still[0] some[0] die[0] hard[0] jackie[0] chan[0] fans[0] may[0] be[0] disappointed[-1] as[0] even[0] chan[0] himself[0] has[0] voiced[0] displeasure[-2] over[0] the[0] length[0] of[0] the[0] fight[-2] scenes[0] which[0] he[0] views[0] as[0] too[0] short[0] according[0] to[0] one[0] interview[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this film takes a familiar theme of east meets west . 	this film takes a familiar theme of east meets west .	1	-1	 this[0] film[0] takes[0] a[0] familiar[0] theme[0] of[0] east[0] meets[0] west[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
