this reviewer is ignorant of what hands were responsible for delivering the original version of the abyss in 1989 . 	Translation	Positive	Negative	EmotionRationale
whether it was the meddling of studio executives , or the work of writer/director james cameron himself , the original cut of this underwater sci-fi thriller was entertaining enough but also quite seriously flawed . 	whether it was the meddling of studio executives , or the work of writer/director james cameron himself , the original cut of this underwater sci-fi thriller was entertaining enough but also quite seriously flawed .	2	-1	 whether[0] it[0] was[0] the[0] meddling[0] of[0] studio[0] executives[0] or[0] the[0] work[0] of[0] writer/director[0] james[0] cameron[0] himself[0] the[0] original[0] cut[0] of[0] this[0] underwater[0] sci[0] fi[0] thriller[1] was[0] entertaining[0] enough[0] but[0] also[0] quite[0] seriously[0] flawed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the main problem was fairly simple : the film's climax was unworthy of its build-up . 	the main problem was fairly simple : the film's climax was unworthy of its build-up .	1	-2	 the[0] main[0] problem[-1] was[0] fairly[0] simple[0] the[0] film's[0] climax[0] was[0] unworthy[-1] of[0] its[0] build[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
someone at 20th century fox - and no doubt cameron himself - must have agreed , because in 1993 came the theatrical release of the abyss : special edition . 	someone at 20th century fox - and no doubt cameron himself - must have agreed , because in 1993 came the theatrical release of the abyss : special edition .	2	-2	 someone[0] at[0] 20th[0] century[0] fox[0] and[0] no[0] doubt[-1] cameron[0] himself[0] must[0] have[0] agreed[0] because[0] in[0] 1993[0] came[0] the[0] theatrical[0] release[0] of[0] the[0] abyss[-1] special[1] edition[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now available on video , it seems timely to re-evaluate what , in its newly revamped state , is now a near-masterpiece despite its borrowings from films like 2010 : odyssey two , alien and close encounters of third kind . 	now available on video , it seems timely to re-evaluate what , in its newly revamped state , is now a near-masterpiece despite its borrowings from films like 2010 : odyssey two , alien and close encounters of third kind .	2	-2	 now[0] available[0] on[0] video[0] it[0] seems[0] timely[0] to[0] re[0] evaluate[0] what[0] in[0] its[0] newly[0] revamped[0] state[0] is[0] now[0] a[0] near[0] masterpiece[0] despite[0] its[0] borrowings[0] from[0] films[0] like[1] 2010[0] odyssey[0] two[0] alien[-1] and[0] close[0] encounters[0] of[0] third[0] kind[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is thus . 	the plot is thus .	1	-1	 the[0] plot[0] is[0] thus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we meet the crew of an experimental underwater mobile oil rig designed by the hard-nosed lindsay ( mastrantonio ) and captained by her soon-to-be-divorced husband bud ( ed harris ) . 	we meet the crew of an experimental underwater mobile oil rig designed by the hard-nosed lindsay ( mastrantonio ) and captained by her soon-to-be-divorced husband bud ( ed harris ) .	1	-2	 we[0] meet[0] the[0] crew[0] of[0] an[0] experimental[0] underwater[0] mobile[0] oil[0] rig[0] designed[0] by[0] the[0] hard[0] nosed[0] lindsay[0] mastrantonio[0] and[0] captained[0] by[0] her[0] soon[0] to[0] be[0] divorced[-1] husband[0] bud[0] ed[0] harris[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rig and its crew are diverted from their normal duties when the navy seeks their help in investigating the mysterious sinking of a u . s . nuclear submarine . 	the rig and its crew are diverted from their normal duties when the navy seeks their help in investigating the mysterious sinking of a you .<br> s .<br> nuclear submarine .	1	-1	 the[0] rig[0] and[0] its[0] crew[0] are[0] diverted[0] from[0] their[0] normal[0] duties[0] when[0] the[0] navy[0] seeks[0] their[0] help[0] in[0] investigating[0] the[0] mysterious[0] sinking[0] of[0] a[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] nuclear[0] submarine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
requiring a dive part-way down a three mile deep trench , three navy divers arrive to command the operation , led by the edgy lieutenant coffey ( biehn ) . 	requiring a dive part-way down a three mile deep trench , three navy divers arrive to command the operation , led by the edgy lieutenant coffey ( biehn ) .	1	-1	 requiring[0] a[0] dive[0] part[0] way[0] down[0] a[0] three[0] mile[0] deep[0] trench[0] three[0] navy[0] divers[0] arrive[0] to[0] command[0] the[0] operation[0] led[0] by[0] the[0] edgy[0] lieutenant[0] coffey[0] biehn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but a series of strange sightings soon convinces at least one member of the civilian crew that whoever or whatever they're dealing with , as she memorably puts it , " aren't speaking russian " . 	but a series of strange sightings soon convinces at least one member of the civilian crew that whoever or whatever they're dealing with , as she memorably puts it , " aren't speaking russian " .	1	-1	 but[0] a[0] series[0] of[0] strange[0] sightings[0] soon[0] convinces[0] at[0] least[0] one[0] member[0] of[0] the[0] civilian[0] crew[0] that[0] whoever[0] or[0] whatever[0] they're[0] dealing[0] with[0] as[0] she[0] memorably[0] puts[0] it[0] aren't[0] speaking[0] russian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile on the surface a hurricane is brewing and , even worse , a series of incidents around cuba involving russians ships and an increasingly nervous u . s . navy sets off an international crisis of possible catastrophic proportions . 	meanwhile on the surface a hurricane is brewing and , even worse , a series of incidents around cuba involving russians ships and an increasingly nervous you .<br> s .<br> navy sets off an international crisis of possible catastrophic proportions .	1	-3	 meanwhile[0] on[0] the[0] surface[0] a[0] hurricane[0] is[0] brewing[0] and[0] even[0] worse[-2] a[0] series[0] of[0] incidents[0] around[0] cuba[0] involving[0] russians[0] ships[0] and[0] an[0] increasingly[0] nervous[-2] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] navy[0] sets[0] off[0] an[0] international[0] crisis[-2] of[0] possible[0] catastrophic[0] proportions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
