imagine this . 	Translation	Positive	Negative	EmotionRationale
you're given a sword and a shield and very basic , minimal training . 	you're given a sword and a shield and very basic , minimal training .	1	-1	 you're[0] given[0] a[0] sword[0] and[0] a[0] shield[0] and[0] very[0] basic[0] minimal[0] training[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a man you don't know tells you that this will be the last day that you will live . 	a man you don't know tells you that this will be the last day that you will live .	1	-1	 a[0] man[0] you[0] don't[0] know[0] tells[0] you[0] that[0] this[0] will[0] be[0] the[0] last[0] day[0] that[0] you[0] will[0] live[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you are thrown into an arena with thousands of spectators wanting to see you die . 	you are thrown into an arena with thousands of spectators wanting to see you die .	1	-1	 you[0] are[0] thrown[0] into[0] an[0] arena[0] with[0] thousands[0] of[0] spectators[0] wanting[0] to[0] see[0] you[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you frantically monitor several closed doors which , in seconds , will release vicious enemies prepared to destroy you . 	you frantically monitor several closed doors which , in seconds , will release vicious enemies prepared to destroy you .	1	-4	 you[0] frantically[-1] monitor[0] several[0] closed[0] doors[0] which[0] in[0] seconds[0] will[0] release[0] vicious[-3] enemies[-1] prepared[0] to[0] destroy[-2] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you watch as the innocent friends you made in the last few days are murdered in cold blood . 	you watch as the innocent friends you made in the last few days are murdered in cold blood .	2	-4	 you[0] watch[0] as[0] the[0] innocent[1] friends[1] you[0] made[0] in[0] the[0] last[0] few[0] days[0] are[0] murdered[-3] in[0] cold[-1] blood[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you are lucky enough to survive this chaos thrown at you , you know you're going to have to do it all over again tomorrow . 	if you are lucky enough to survive this chaos thrown at you , you know you're going to have to do it all over again tomorrow .	2	-2	 if[0] you[0] are[0] lucky[1] enough[0] to[0] survive[0] this[0] chaos[-1] thrown[0] at[0] you[0] you[0] know[0] you're[0] going[0] to[0] have[0] to[0] do[0] it[0] all[0] over[0] again[0] tomorrow[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually know matter how strong or skilled you are , you're going to die . 	eventually know matter how strong or skilled you are , you're going to die .	1	-1	 eventually[0] know[0] matter[0] how[0] strong[0] or[0] skilled[0] you[0] are[0] you're[0] going[0] to[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the life of a gladiator . 	this is the life of a gladiator .	1	-1	 this[0] is[0] the[0] life[0] of[0] a[0] gladiator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll never have to be a gladiator and after seeing ridley scott's powerful gladiator , you'll be thankful for that . 	you'll never have to be a gladiator and after seeing ridley scott's powerful gladiator , you'll be thankful for that .	2	-1	 you'll[0] never[0] have[0] to[0] be[0] a[0] gladiator[0] and[0] after[0] seeing[0] ridley[0] scott's[0] powerful[0] gladiator[0] you'll[0] be[0] thankful[1] for[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with his new film , scott has returned cinema to the fascinating age of the ancient roman empire . 	with his new film , scot has returned cinema to the fascinating age of the ancient roman empire .	1	-1	 with[0] his[0] new[0] film[0] scott/scot[0] has[0] returned[0] cinema[0] to[0] the[0] fascinating[0] age[0] of[0] the[0] ancient[0] roman[0] empire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
