 " the endurance : shackleton's legendary antarctic expedition " 	Translation	Positive	Negative	EmotionRationale
in 1914 , as the great war descended upon europe , sir ernest shackleton began his third expedition to antarctica , this time to be the first to cross the ice-bound continent on foot . 	in 1914 , as the great war descended upon europe , sir ernest shackleton began his third expedition to antarctica , this time to be the first to cross the ice-bound continent on foot .	3	-3	 in[0] 1914[0] as[0] the[0] great[2] war[-2] descended[0] upon[0] europe[0] sir[0] ernest[0] shackleton[0] began[0] his[0] third[0] expedition[0] to[0] antarctica[0] this[0] time[0] to[0] be[0] the[0] first[0] to[0] cross[-1] the[0] ice[0] bound[0] continent[0] on[0] foot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
28 men set sail on the brigantine endurance and they would not be heard from again for nearly two years . 	28 men set sail on the brigantine endurance and they would not be heard from again for nearly two years .	1	-1	 28[0] men[0] set[0] sail[0] on[0] the[0] brigantine[0] endurance[0] and[0] they[0] would[0] not[0] be[0] heard[0] from[0] again[0] for[0] nearly[0] two[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director george butler , using film footage and photographs from the historic journey , tells their remarkable story in " the endurance : shackleton's legendary antarctic expedition . " 	director george butler , using film footage and photographs from the historic journey , tells their remarkable story in " the endurance : shackleton's legendary antarctic expedition .<br> "	1	-1	 director[0] george[0] butler[0] using[0] film[0] footage[0] and[0] photographs[0] from[0] the[0] historic[0] journey[0] tells[0] their[0] remarkable[0] story[0] in[0] the[0] endurance[0] shackleton's[0] legendary[0] antarctic[0] expedition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the expedition started out as a merely incredibly difficult quest to traverse , on foot , the vast wasteland of antarctica . 	the expedition started out as a merely incredibly difficult quest to traverse , on foot , the vast wasteland of antarctica .	1	-4	 the[0] expedition[0] started[0] out[0] as[0] a[0] merely[0] incredibly[0] difficult[-1][-2 LastWordBoosterStrength] quest[0] to[0] traverse[0] on[0] foot[0] the[0] vast[0] wasteland[-1] of[0] antarctica[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as the intrepid ship and crew entered the weddell sea , the entry to the cold , cruel continent , they did not plan on the dense pack ice bringing the voyage to an abrupt halt as the endurance became trapped within sight of land . 	as the intrepid ship and crew entered the weddell sea , the entry to the cold , cruel continent , they did not plan on the dense pack ice bringing the voyage to an abrupt halt as the endurance became trapped within sight of land .	1	-4	 as[0] the[0] intrepid[0] ship[0] and[0] crew[0] entered[0] the[0] weddell[0] sea[0] the[0] entry[0] to[0] the[0] cold[-1] cruel[-3] continent[0] they[0] did[0] not[0] plan[0] on[0] the[0] dense[0] pack[0] ice[0] bringing[0] the[0] voyage[0] to[0] an[0] abrupt[-1] halt[0] as[0] the[0] endurance[0] became[0] trapped[0] within[0] sight[0] of[0] land[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for months the ice thickened and compressed until the ship was crushed , stranding the men on the flow , propelling them away from their goal and , eventually , into their lifeboats for safety . 	for months the ice thickened and compressed until the ship was crushed , stranding the men on the flow , propelling them away from their goal and , eventually , into their lifeboats for safety .	2	-1	 for[0] months[0] the[0] ice[0] thickened[0] and[0] compressed[0] until[0] the[0] ship[0] was[0] crushed[0] stranding[0] the[0] men[0] on[0] the[0] flow[0] propelling[0] them[0] away[0] from[0] their[0] goal[0] and[0] eventually[0] into[0] their[0] lifeboats[0] for[0] safety[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shackleton , faced with a desolate situation , made the decision to lead the three tiny boats to the relative safety of uninhabited elephant island . 	shackleton , faced with a desolate situation , made the decision to lead the three tiny boats to the relative safety of uninhabited elephant island .	2	-2	 shackleton[0] faced[0] with[0] a[0] desolate[-1] situation[0] made[0] the[0] decision[0] to[0] lead[0] the[0] three[0] tiny[0] boats[0] to[0] the[0] relative[0] safety[1] of[0] uninhabited[0] elephant[0] island[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once on this " safe " haven , shackleton next turned his sights to saving his crew and returning them to civilization . 	once on this " safe " haven , shackleton next turned his sights to saving his crew and returning them to civilization .	2	-1	 once[0] on[0] this[0] safe[1] haven[0] shackleton[0] next[0] turned[0] his[0] sights[0] to[0] saving[0] his[0] crew[0] and[0] returning[0] them[0] to[0] civilization[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he and five of his men leave the island in an open boat to make the 800 mile journey on the world's roughest sea to get help from the nearest inhabited island of south georgia . 	he and five of his men leave the island in an open boat to make the 800 mile journey on the world's roughest sea to get help from the nearest inhabited island of south georgia .	1	-2	 he[0] and[0] five[0] of[0] his[0] men[0] leave[0] the[0] island[0] in[0] an[0] open[0] boat[0] to[0] make[0] the[0] 800[0] mile[0] journey[0] on[0] the[0] world's[0] roughest[-1] sea[0] to[0] get[0] help[0] from[0] the[0] nearest[0] inhabited[0] island[0] of[0] south[0] georgia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
miraculously , the six land , after 17 days at sea , on the uninhabited side of the target island and are forced to trek across treacherous , snow covered mountains , covering 22 miles in just 36 hours . 	miraculously , the six land , after 17 days at sea , on the uninhabited side of the target island and are forced to trek across treacherous , snow covered mountains , covering 22 miles in just 36 hours .	1	-3	 miraculously[0] the[0] six[0] land[0] after[0] 17[0] days[0] at[0] sea[0] on[0] the[0] uninhabited[0] side[0] of[0] the[0] target[0] island[0] and[0] are[0] forced[0] to[0] trek[0] across[0] treacherous[-2] snow[0] covered[0] mountains[0] covering[0] 22[0] miles[0] in[0] just[0] 36[0] hours[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
