james cmaeron's breakthrough feature was the first of his films to showcase his obsession with technology and more specfically technology run amok . 	Translation	Positive	Negative	EmotionRationale
for those of you who do not know the plot : in 2029 machines have engineered a nuclear for the expressed purpose of wiping out the human race . 	for those of you who do not know the plot : in 2029 machines have engineered a nuclear for the expressed purpose of wiping out the human race .	1	-1	 for[0] those[0] of[0] you[0] who[0] do[0] not[0] know[0] the[0] plot[0] in[0] 2029[0] machines[0] have[0] engineered[0] a[0] nuclear[0] for[0] the[0] expressed[0] purpose[0] of[0] wiping[0] out[0] the[0] human[0] race[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
human survivors are systematically hunted down and destroyed . 	human survivors are systematically hunted down and destroyed .	1	-3	 human[0] survivors[0] are[0] systematically[0] hunted[0] down[0] and[0] destroyed[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , some humans are fighting back led by the heroic john connor . 	however , some humans are fighting back led by the heroic john connor .	3	-3	 however[0] some[0] humans[0] are[0] fighting[-2] back[0] led[0] by[0] the[0] heroic[2] john[0] connor[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
to stop connor , the machines send a terminator ( arnold schwarzenegger ) back to 1984 to murder connor's mother , sara ( linda hamilton ) , and thus prevent connor from ever being born . 	to stop connor , the machines send a terminator ( arnold schwarzenegger ) back to 1984 to murder connor's mother , sara ( linda hamilton ) , and thus prevent connor from ever being born .	1	-4	 to[0] stop[0] connor[0] the[0] machines[0] send[0] a[0] terminator[0] arnold[0] schwarzenegger[0] back[0] to[0] 1984[0] to[0] murder[-3] connor's[0] mother[0] sara[0] linda[0] hamilton[0] and[0] thus[0] prevent[0] connor[0] from[0] ever[0] being[0] born[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in response , the humans send a protector , kyle reese , played by michael biehn . 	in response , the humans send a protector , kyle reese , played by michael biehn .	1	-1	 in[0] response[0] the[0] humans[0] send[0] a[0] protector[0] kyle[0] reese[0] played[0] by[0] michael[0] biehn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
images of machines and of humans' reliance on machines dominate the film . 	images of machines and of humans' reliance on machines dominate the film .	1	-2	 images[0] of[0] machines[0] and[0] of[0] humans'[0] reliance[0] on[0] machines[0] dominate[-1] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though the characters know that the benign oil drillers of 1984 will become the ruthless hunter killers of 2029 , humans continue to use the machines . 	even though the characters know that the benign oil drillers of 1984 will become the ruthless hunter killers of 2029 , humans continue to use the machines .	2	-3	 even[0] though[0] the[0] characters[0] know[0] that[0] the[0] benign[1] oil[0] drillers[0] of[0] 1984[0] will[0] become[0] the[0] ruthless[-2] hunter[-1] killers[0] of[0] 2029[0] humans[0] continue[0] to[0] use[0] the[0] machines[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the climax of star wars , luke relies on the force alone--his own spiritual power--to destroy the death star . 	in the climax of star wars , luke relies on the force alone-his own spiritual power-to destroy the death star .	1	-3	 in[0] the[0] climax[0] of[0] star[0] wars[-2] luke[0] relies[0] on[0] the[0] force[-1] alone[0] his[0] own[0] spiritual[0] power[0] to[0] destroy[-2] the[0] death[-2] star[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the terminator , however , sara must use another machine--a giant hydraulic press--to vanquish her enemy . 	in the terminator , however , sara must use another machine-a giant hydraulic press-to vanquish her enemy .	1	-2	 in[0] the[0] terminator[0] however[0] sara[0] must[0] use[0] another[0] machine[0] a[0] giant[0] hydraulic[0] press[0] to[0] vanquish[0] her[0] enemy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cameron seems to be implying that this reliance on technology is inescapable--and he's not happy about it . 	cameron seems to be implying that this reliance on technology is inescapable-and he's not happy about it .	1	-2	 cameron[0] seems[0] to[0] be[0] implying[0] that[0] this[0] reliance[0] on[0] technology[0] is[0] inescapable[0] and[0] he's[0] not[0] happy[1][NegatedDueToPreviousWord] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unabated technological growth brings about the terminator's other obsession : the apocalypse . 	unabated technological growth brings about the terminator's other obsession : the apocalypse .	1	-3	 unabated[0] technological[0] growth[0] brings[0] about[0] the[0] terminator's[0] other[0] obsession[-2] the[0] apocalypse[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we have plenty of imagery regarding armageddon : thousands of human skulls line the streets of future la . 	we have plenty of imagery regarding armageddon : thousands of human skulls line the streets of future la .	1	-1	 we[0] have[0] plenty[0] of[0] imagery[0] regarding[0] armageddon[0] thousands[0] of[0] human[0] skulls[0] line[0] the[0] streets[0] of[0] future[0] la[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
