well i'll be damned . . . 	Translation	Positive	Negative	EmotionRationale
the canadians can make a good movie . 	the canadians can make a good movie .	2	-1	 the[0] canadians[0] can[0] make[0] a[0] good[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the world is coming to an end . 	the world is coming to an end .	1	-1	 the[0] world[0] is[0] coming[0] to[0] an[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we don't know why or how , but apparently there is no way to stop it . 	we don't know why or how , but apparently there is no way to stop it .	1	-1	 we[0] don't[0] know[0] why[0] or[0] how[0] but[0] apparently[0] there[0] is[0] no[0] way[0] to[0] stop[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the world has had this information for months , as most of the rioting and other assorted chaos has passed and governments have shut down operations . 	the world has had this information for months , as most of the rioting and other assorted chaos has passed and governments have shut down operations .	1	-2	 the[0] world[0] has[0] had[0] this[0] information[0] for[0] months[0] as[0] most[0] of[0] the[0] rioting[0] and[0] other[0] assorted[0] chaos[-1] has[0] passed[0] and[0] governments[0] have[0] shut[0] down[0] operations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet for a handful of toronto citizens , life goes on . 	yet for a handful of toronto citizens , life goes on .	1	-1	 yet[0] for[0] a[0] handful[0] of[0] toronto[0] citizens[0] life[0] goes[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they aren't going crazy or attacking people in the streets . 	they aren't going crazy or attacking people in the streets .	2	-3	 they[0] aren't[0] going[0] crazy[-1][NegatedDueToPreviousWord] or[0] attacking[-2] people[0] in[0] the[0] streets[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead they are simply preparing themselves for the end . . . 	instead they are simply preparing themselves for the end .<br> .<br> .	1	-1	 instead[0] they[0] are[0] simply[0] preparing[0] themselves[0] for[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some engaging in activities they've always wanted to do , some gathering with family and friends , and others just seeking to be alone . 	some engaging in activities they've always wanted to do , some gathering with family and friends , and others just seeking to be alone .	2	-1	 some[0] engaging[0] in[0] activities[0] they've[0] always[0] wanted[0] to[0] do[0] some[0] gathering[0] with[0] family[0] and[0] friends[1] and[0] others[0] just[0] seeking[0] to[0] be[0] alone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these people's lives however all intersect during their final six hours . 	these people's lives however all intersect during their final six hours .	1	-1	 these[0] people's[0] lives[0] however[0] all[0] intersect[0] during[0] their[0] final[0] six[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer-director-star don mckellar has crafted a highly unique and emotional film . 	writer-director-star don mckellar has crafted a highly unique and emotional film .	1	-2	 writer[0] director[0] star[0] don[0] mckellar[0] has[0] crafted[0] a[0] highly[0] unique[0] and[0] emotional[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
