lisa cholodenko's " high art , " is an intelligent , quiet drama . 	Translation	Positive	Negative	EmotionRationale
its strongest quality , aside from the top-notch central performances , is the perceptive way in which the film , also written by cholodenko , observes its characters . 	its strongest quality , aside from the top-notch central performances , is the perceptive way in which the film , also written by cholodenko , observes its characters .	1	-1	 its[0] strongest[0] quality[0] aside[0] from[0] the[0] top[0] notch[0] central[0] performances[0] is[0] the[0] perceptive[0] way[0] in[0] which[0] the[0] film[0] also[0] written[0] by[0] cholodenko[0] observes[0] its[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are all flawed people , some more troubled than others , but they are not judged . 	they are all flawed people , some more troubled than others , but they are not judged .	1	-2	 they[0] are[0] all[0] flawed[0] people[0] some[0] more[0] troubled[-1] than[0] others[0] but[0] they[0] are[0] not[0] judged[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
judging the characters in this picture would be a creative misstep on the filmmakers' parts , because no one , no matter how bad off they are , deserve to be negatively judged if they are involved in some serious problems that they cannot break free of . 	judging the characters in this picture would be a creative misstep on the filmmakers' parts , because no one , no matter how bad off they are , deserve to be negatively judged if they are involved in some serious problems that they cannot break free of .	1	-2	 judging[0] the[0] characters[0] in[0] this[0] picture[0] would[0] be[0] a[0] creative[0] misstep[0] on[0] the[0] filmmakers'[0] parts[0] because[0] no[0] one[0] no[0] matter[0] how[0] bad[-1] off[0] they[0] are[0] deserve[0] to[0] be[0] negatively[-1] judged[0] if[0] they[0] are[0] involved[0] in[0] some[0] serious[-1][--1 LastWordBoosterStrength] problems[-1] that[0] they[0] cannot[0] break[0] free[0] of[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
syd ( radha mitchell ) , a 24-year-old woman living with her longtime boyfriend james ( gabriel mann ) , has recently been awarded an ideal job at the high-profile photography magazine , " frame . " 	syd ( radha mitchell ) , a 24-year-old woman living with her longtime boyfriend james ( gabriel man ) , has recently been awarded an ideal job at the high-profile photography magazine , " frame .<br> "	1	-1	 syd[0] radha[0] mitchell[0] a[0] 24[0] year[0] old[0] woman[0] living[0] with[0] her[0] longtime[0] boyfriend[0] james[0] gabriel[0] mann/man[0] has[0] recently[0] been[0] awarded[0] an[0] ideal[0] job[0] at[0] the[0] high[0] profile[0] photography[0] magazine[0] frame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she very much enjoys where her career is headed , but is often not taken very seriously by her managers , who are always giving her petty jobs to do , when she knows she could be doing more important things . 	she very much enjoys where her career is headed , but is often not taken very seriously by her managers , who are always giving her petty jobs to do , when she knows she could be doing more important things .	3	-1	 she[0] very[0] much[0] enjoys[2] where[0] her[0] career[0] is[0] headed[0] but[0] is[0] often[0] not[0] taken[0] very[0] seriously[0] by[0] her[0] managers[0] who[0] are[0] always[0] giving[0] her[0] petty[0] jobs[0] to[0] do[0] when[0] she[0] knows[0] she[0] could[0] be[0] doing[0] more[0] important[0] things[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one night , while taking a bath , syd notices a leak coming from the apartment above hers , so when she goes up there to inform them of it , she meets lucy beliner ( ally sheedy ) , a thin , worn-out , and unhappy woman , who lives with her drug-addicted german girlfriend , greta ( patricia clarkson ) , a pathetic former actress who is usually so out-of-it that she often is in and out of conciousness . 	one night , while taking a bath , syd notices a leak coming from the apartment above hers , so when she goes up there to inform them of it , she meets lucy beliner ( ally sheedy ) , a thin , worn-out , and unhappy woman , who lives with her drug-addicted german girlfriend , greta ( patricia clarkson ) , a pathetic former actress who is usually so out-of-it that she often is in and out of conciousness .	1	-3	 one[0] night[0] while[0] taking[0] a[0] bath[0] syd[0] notices[0] a[0] leak[-1] coming[0] from[0] the[0] apartment[0] above[0] hers[0] so[0] when[0] she[0] goes[0] up[0] there[0] to[0] inform[0] them[0] of[0] it[0] she[0] meets[0] lucy[0] beliner[0] ally[0] sheedy[0] a[0] thin[0] worn[-1] out[0] and[0] unhappy[-2] woman[0] who[0] lives[0] with[0] her[0] drug[0] addicted[-1] german[-1] girlfriend[0] greta[0] patricia[0] clarkson[0] a[0] pathetic[-2] former[0] actress[0] who[0] is[0] usually[0] so[0] out[0] of[0] it[0] that[0] she[0] often[0] is[0] in[0] and[0] out[0] of[0] conciousness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
syd quickly strikes up a conversation with lucy , and discovers that she used to be an acclaimed photographer ten years before . 	syd quickly strikes up a conversation with lucy , and discovers that she used to be an acclaimed photographer ten years before .	1	-1	 syd[0] quickly[0] strikes[0] up[0] a[0] conversation[0] with[0] lucy[0] and[0] discovers[0] that[0] she[0] used[0] to[0] be[0] an[0] acclaimed[0] photographer[0] ten[0] years[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucy claims she doesn't want to get back into the profession , but syd manages to convince the " frame " editors to do a piece on her work . 	lucy claims she doesn't want to get back into the profession , but syd manages to convince the " frame " editors to do a piece on her work .	1	-1	 lucy[0] claims[0] she[0] doesn't[0] want[0] to[0] get[0] back[0] into[0] the[0] profession[0] but[0] syd[0] manages[0] to[0] convince[0] the[0] frame[0] editors[0] to[0] do[0] a[0] piece[0] on[0] her[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the while , syd begins to grow deep feelings for lucy , even though she has never previously been attracted to a woman , and lucy starts a battle with her personal demons . 	all the while , syd begins to grow deep feelings for lucy , even though she has never previously been attracted to a woman , and lucy starts a battle with her personal demons .	2	-2	 all[0] the[0] while[0] syd[0] begins[0] to[0] grow[0] deep[0] feelings[0] for[0] lucy[0] even[0] though[0] she[0] has[0] never[0] previously[0] been[0] attracted[1] to[0] a[0] woman[0] and[0] lucy[0] starts[0] a[0] battle[-1] with[0] her[0] personal[0] demons[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " high art , " is such an effective motion picture because it is never suger-coated or idealized , but instead an honest and convincing portrait of a handful of unhappy people whose lives are going nowhere , while syd's luck begins to rise . 	 " high art , " is such an effective motion picture because it is never suger-coated or idealized , but instead an honest and convincing portrait of a handful of unhappy people whose lives are going nowhere , while syd's luck begins to rise .	3	-3	 high[0] art[0] is[0] such[0] an[0] effective[0] motion[0] picture[0] because[0] it[0] is[0] never[0] suger[0] coated[0] or[0] idealized[0] but[0] instead[0] an[0] honest[0] and[0] convincing[0] portrait[0] of[0] a[0] handful[0] of[0] unhappy[-2] people[0] whose[0] lives[0] are[0] going[0] nowhere[0] while[0] syd's[0] luck[2] begins[0] to[0] rise[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
