linda fiorentino disappeared off the radar after a deservedly heralded turn in the cable pic the last seduction , and her being cast as dogma's lead is nothing short of inexplicable . 	Translation	Positive	Negative	EmotionRationale
she's still in fine form as bethany , an abortion clinic worker who's lost her faith . 	she's still in fine form as bethany , an abortion clinic worker who's lost her faith .	3	-1	 she's[0] still[0] in[0] fine[2] form[0] as[0] bethany[0] an[0] abortion[0] clinic[0] worker[0] who's[0] lost[0] her[0] faith[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one night , a visitor from heaven makes a fiery entrance in bethany's bedroom . 	one night , a visitor from heaven makes a fiery entrance in bethany's bedroom .	2	-2	 one[0] night[0] a[0] visitor[0] from[0] heaven[1] makes[0] a[0] fiery[-1] entrance[0] in[0] bethany's[0] bedroom[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is metatron ( alan rickman ) , the voice of god , and he needs her help : she must stop two fallen angels from entering a new jersey church-the fate of the universe depends on it . 	he is metatron ( alan rickman ) , the voice of god , and he needs her help : she must stop two fallen angels from entering a new jersey church-the fate of the universe depends on it .	1	-1	 he[0] is[0] metatron[0] alan[0] rickman[0] the[0] voice[0] of[0] god[0] and[0] he[0] needs[0] her[0] help[0] she[0] must[0] stop[0] two[0] fallen[0] angels[0] from[0] entering[0] a[0] new[0] jersey[0] church[0] the[0] fate[0] of[0] the[0] universe[0] depends[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
god would do it him/herself , but he/she is . . . missing , having taken up human form somewhere on earth never to be heard from again . 	god would do it him/herself , but he/she is .<br> .<br> .<br> missing , having taken up human form somewhere on earth never to be heard from again .	1	-1	 god[0] would[0] do[0] it[0] him/herself[0] but[0] he/she[0] is[0] [[Sentence=-1,1=word max, 1-5]] missing[0] having[0] taken[0] up[0] human[0] form[0] somewhere[0] on[0] earth[0] never[0] to[0] be[0] heard[0] from[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bethany is joined on her road trip to the garden state by the " prophets " jay ( jason mewes ) and silent bob ( kevin smith , doing double-duty ) , the slacker minstrels who have appeared in all of smith's films thus far . 	bethany is joined on her road trip to the garden state by the " prophets " jay ( jason mewes ) and silent bob ( kevin smith , doing double-duty ) , the slacker minstrels who have appeared in all of smith's films thus far .	1	-2	 bethany[0] is[0] joined[0] on[0] her[0] road[0] trip[0] to[0] the[0] garden[0] state[0] by[0] the[0] prophets[0] jay[0] jason[0] mewes[0] and[0] silent[0] bob[0] kevin[0] smith[0] doing[0] double[0] duty[-1] the[0] slacker[0] minstrels[0] who[0] have[0] appeared[0] in[0] all[0] of[0] smith's[0] films[0] thus[0] far[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at some point , rock drops naked out of the sky as rufus , the undocumented ( and very black ) " thirteenth apostle " , and offers his assistance , as does divine stripper serendipity ( salma hayek ) . 	at some point , rock drops naked out of the sky as rufus , the undocumented ( and very black ) " thirteenth apostle " , and offers his assistance , as does divine stripper serendipity ( salma hayek ) .	2	-1	 at[0] some[0] point[0] rock[1] drops[0] naked[0] out[0] of[0] the[0] sky[0] as[0] rufus[0] the[0] undocumented[0] and[0] very[0] black[0] thirteenth[0] apostle[0] and[0] offers[0] his[0] assistance[0] as[0] does[0] divine[1] stripper[0] serendipity[0] salma[0] hayek[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a wild ride . 	it's a wild ride .	1	-1	 it's[0] a[0] wild[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're in pursuit of loki and bartleby ( damon and affleck , respectively-this is probably the sharpest either has ever been ) , who were banished from heaven to wisconsin and have discovered a dogmatic loophole that will enable their return . 	they're in pursuit of loki and bartleby ( damon and affleck , respectively-this is probably the sharpest either has ever been ) , who were banished from heaven to wisconsin and have discovered a dogmatic loophole that will enable their return .	3	-2	 they're[0] in[0] pursuit[0] of[0] loki[0] and[0] bartleby[0] damon[0] and[0] affleck[0] respectively[2] this[0] is[0] probably[0] the[0] sharpest[0] either[0] has[0] ever[0] been[0] who[0] were[0] banished[-1] from[0] heaven[1] to[0] wisconsin[0] and[0] have[0] discovered[0] a[0] dogmatic[0] loophole[0] that[0] will[0] enable[0] their[0] return[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
loki decides to wreak havoc along the way with the knowledge that his sins will be absolved at the pearly gates . 	loki decides to wreak havoc along the way with the knowledge that his sins will be absolved at the pearly gates .	1	-3	 loki[0] decides[0] to[0] wreak[0] havoc[-1] along[0] the[0] way[0] with[0] the[0] knowledge[0] that[0] his[0] sins[-2] will[0] be[0] absolved[0] at[0] the[0] pearly[0] gates[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at one point , he terrorizes a boardroom full of suits with an angry combination of words and bullets . 	at one point , he terrorizes a boardroom full of suits with an angry combination of words and bullets .	1	-4	 at[0] one[0] point[0] he[0] terrorizes[-2] a[0] boardroom[0] full[0] of[0] suits[0] with[0] an[0] angry[-3] combination[0] of[0] words[0] and[0] bullets[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
