taking a few tips from the pulp fiction school of filmmaking , go is the new feature from the director of the cult hit swingers . 	Translation	Positive	Negative	EmotionRationale
the story centres around a group of people , who include brit simon ( askew ) , and checkout girls claire ( holmes ) and ronna ( polley ) and the misadventures that they get into , split into three chapters . 	the story centres around a group of people , who include brit simon ( askew ) , and checkout girls claire ( holmes ) and ronna ( polley ) and the misadventures that they get into , split into three chapters .	1	-1	 the[0] story[0] centres[0] around[0] a[0] group[0] of[0] people[0] who[0] include[0] brit[0] simon[0] askew[0] and[0] checkout[0] girls[0] claire[0] holmes[0] and[0] ronna[0] polley[0] and[0] the[0] misadventures[0] that[0] they[0] get[0] into[0] split[0] into[0] three[0] chapters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything from sex to drugs to violence is covered in a film with a much blacker edge in comedy than swingers . 	everything from sex to drugs to violence is covered in a film with a much blacker edge in comedy than swingers .	1	-4	 everything[0] from[0] sex[0] to[0] drugs[0] to[0] violence[-3] is[0] covered[0] in[0] a[0] film[0] with[0] a[0] much[0] blacker[0] edge[0] in[0] comedy[0] than[0] swingers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although qt's touch is evident in nearly every frame , go is entertaining enough to forget about the similarities and just enjoy the rollercoaster ride . 	although qt's touch is evident in nearly every frame , go is entertaining enough to forget about the similarities and just enjoy the rollercoaster ride .	2	-1	 although[0] qt's[0] touch[0] is[0] evident[0] in[0] nearly[0] every[0] frame[0] go[0] is[0] entertaining[0] enough[0] to[0] forget[0] about[0] the[0] similarities[0] and[0] just[0] enjoy[2][-1 LastWordBoosterStrength] the[0] rollercoaster[0] ride[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
liman , who also photographed the film , has a deft touch with the camera , and the film looks good . 	liman , who also photographed the film , has a deft touch with the camera , and the film looks good .	2	-1	 liman[0] who[0] also[0] photographed[0] the[0] film[0] has[0] a[0] deft[0] touch[0] with[0] the[0] camera[0] and[0] the[0] film[0] looks[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film also seems to have benefited from a budget , with the night-club scenes in particular looking pretty good . 	the film also seems to have benefited from a budget , with the night-club scenes in particular looking pretty good .	3	-1	 the[0] film[0] also[0] seems[0] to[0] have[0] benefited[0] from[0] a[0] budget[0] with[0] the[0] night[0] club[0] scenes[0] in[0] particular[0] looking[0] pretty[2] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a twisted sense of humour running throughout which ensures that even the darkest scenes get a smirk . 	there's a twisted sense of humour running throughout which ensures that even the darkest scenes get a smirk .	3	-1	 there's[0] a[0] twisted[0] sense[0] of[0] humour[2] running[0] throughout[0] which[0] ensures[0] that[0] even[0] the[0] darkest[0] scenes[0] get[0] a[0] smirk[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the young cast are talented and help bring the story to life . 	the young cast are talented and help bring the story to life .	2	-1	 the[0] young[0] cast[0] are[0] talented[1] and[0] help[0] bring[0] the[0] story[0] to[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
holmes , one of the dawson's creek cast ( a show i'm not particularly fond of ) displays much talent here , and despite her largely limited screen time manages to make a three dimensional character and never becomes a caricature . 	holmes , one of the dawson's creek cast ( a show i'm not particularly fond of ) displays much talent here , and despite her largely limited screen time manages to make a three dimensional character and never becomes a caricature .	2	-3	 holmes[0] one[0] of[0] the[0] dawson's[0] creek[0] cast[0] a[0] show[0] i'm[0] not[0] particularly[0] fond[2][NegatedDueToPreviousWord] of[0] displays[0] much[0] talent[1] here[0] and[0] despite[0] her[0] largely[0] limited[0] screen[0] time[0] manages[0] to[0] make[0] a[0] three[0] dimensional[0] character[0] and[0] never[0] becomes[0] a[0] caricature[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
askew is slightly successful , being rather obnoxious . 	askew is slightly successful , being rather obnoxious .	2	-3	 askew[0] is[0] slightly[0] successful[2][-1 LastWordBoosterStrength] being[0] rather[0] obnoxious[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no doubt the filmmakers intended this to make the audience cheer when what happens to him , but instead of 'funny annoying' he's just annoying . 	no doubt the filmmakers intended this to make the audience cheer when what happens to him , but instead of 'funny annoying' he's just annoying .	2	-3	 no[0] doubt[-1] the[0] filmmakers[0] intended[0] this[0] to[0] make[0] the[0] audience[0] cheer[1] when[0] what[0] happens[0] to[0] him[0] but[0] instead[0] of[0] 'funny[0] annoying'[-2] he's[0] just[0] annoying[-2][--1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
