synopsis : as a response to accusations of sexual prejudice in the armed forces , a female naval intelligence officer is chosen to be a test case . 	Translation	Positive	Negative	EmotionRationale
if she can survive the demanding s . e . a . l . 	if she can survive the demanding s .<br> e .<br> a .<br> l .	1	-1	 if[0] she[0] can[0] survive[0] the[0] demanding[0] s[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
training , she will open the way for other women to be permitted to follow in her footsteps . 	training , she will open the way for other women to be permitted to follow in her footsteps .	1	-1	 training[0] she[0] will[0] open[0] the[0] way[0] for[0] other[0] women[0] to[0] be[0] permitted[0] to[0] follow[0] in[0] her[0] footsteps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
throw in a lot of political machinations , sabotage , brutality , water and sand and you have an entertaining movie . 	throw in a lot of political machinations , sabotage , brutality , water and sand and you have an entertaining movie .	1	-3	 throw[0] in[0] a[0] lot[0] of[0] political[0] machinations[0] sabotage[-1] brutality[-2] water[0] and[0] sand[0] and[0] you[0] have[0] an[0] entertaining[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
review : the title of this movie turned me off at first . 	review : the title of this movie turned me off at first .	1	-1	 review[0] the[0] title[0] of[0] this[0] movie[0] turned[0] me[0] off[0] at[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean 'gi jane ? ' ? ? ? ? ? 	i mean 'gi jane ?<br> ' ?<br> ?<br> ?<br> ?<br> ?	1	-1	 i[0] mean[0] 'gi[0] jane[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other titles which were considered were more promising - in pursuit of honor or a matter of honor would have been acceptable although navy cross or undisclosed are a little meaningless as far as i'm concerned . 	the other titles which were considered were more promising - in pursuit of honor or a matter of honor would have been acceptable although navy cross or undisclosed are a little meaningless as far as i'm concerned .	2	-2	 the[0] other[0] titles[0] which[0] were[0] considered[0] were[0] more[0] promising[1] in[0] pursuit[0] of[0] honor[0] or[0] a[0] matter[0] of[0] honor[0] would[0] have[0] been[0] acceptable[0] although[0] navy[0] cross[-1] or[0] undisclosed[0] are[0] a[0] little[0] meaningless[-1] as[0] far[0] as[0] i'm[0] concerned[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i went into this movie not liking the title and being one of those people who thinks that demi moore is absolutely ghastly as an actor . 	i went into this movie not liking the title and being one of those people who thinks that demi more is absolutely ghastly as an actor .	1	-3	 i[0] went[0] into[0] this[0] movie[0] not[0] liking[2][NegatedDueToPreviousWord] the[0] title[0] and[0] being[0] one[0] of[0] those[0] people[0] who[0] thinks[0] that[0] demi[0] moore/more[0] is[0] absolutely[0] ghastly[-1][-1 LastWordBoosterStrength] as[0] an[0] actor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to my surprise i really enjoyed the movie . 	to my surprise i really enjoyed the movie .	4	-1	 to[0] my[0] surprise[0] i[0] really[0] enjoyed[2][1 LastWordBoosterStrength] the[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
moore as lieutenant jordan o'neil is much more likeable than her washed out excuse for a gusty woman in a few good men . 	more as lieutenant jordan o'neil is much more likeable than her washed out excuse for a gusty woman in a few good men .	3	-1	 moore/more[0] as[0] lieutenant[0] jordan[0] o'neil[0] is[0] much[0] more[0] likeable[2] than[0] her[0] washed[0] out[0] excuse[0] for[0] a[0] gusty[0] woman[0] in[0] a[0] few[0] good[1] men[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the storyline is simple . 	the storyline is simple .	1	-1	 the[0] storyline[0] is[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anne bancroft playing senator lillian dehaven is a ruthless , machiavellian politician with an agenda to push . 	anne bancroft playing senator lillian dehaven is a ruthless , machiavellian politician with an agenda to push .	2	-3	 anne[0] bancroft[0] playing[1] senator[0] lillian[0] dehaven[0] is[0] a[0] ruthless[-2] machiavellian[0] politician[0] with[0] an[0] agenda[0] to[0] push[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
