full metal jacket , very much like every other hard-hitting film about the vietnam war , is an shocking , emotional depiction of the war that effected almost everyone in america . 	Translation	Positive	Negative	EmotionRationale
this film is more like platoon than any other in the way that it chronicles the struggles of a young man ( private joker , played by matthew modine ) during his tour in the vietnam war . 	this film is more like platoon than any other in the way that it chronicles the struggles of a young man ( private joker , played by matthew modine ) during his tour in the vietnam war .	2	-3	 this[0] film[0] is[0] more[0] like[1] platoon[0] than[0] any[0] other[0] in[0] the[0] way[0] that[0] it[0] chronicles[0] the[0] struggles[-1] of[0] a[0] young[0] man[0] private[0] joker[1] played[0] by[0] matthew[0] modine[0] during[0] his[0] tour[0] in[0] the[0] vietnam[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , full metal jacket gives the audience an insight into combat life very rarely seen before : boot camp . 	however , full metal jacket gives the audience an insight into combat life very rarely seen before : boot camp .	1	-2	 however[0] full[0] metal[0] jacket[0] gives[0] the[0] audience[0] an[0] insight[0] into[0] combat[-1] life[0] very[0] rarely[0] seen[0] before[0] boot[0] camp[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these sequences are considered to be the best part in this three act film , even though i found the later portions to be equally stunning . 	these sequences are considered to be the best part in this three act film , even though i found the later portions to be equally stunning .	2	-1	 these[0] sequences[0] are[0] considered[0] to[0] be[0] the[0] best[1] part[0] in[0] this[0] three[0] act[0] film[0] even[0] though[0] i[0] found[0] the[0] later[0] portions[0] to[0] be[0] equally[0] stunning[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as in platoon , full metal jacket gets off to a quick start . 	as in platoon , full metal jacket gets off to a quick start .	1	-1	 as[0] in[0] platoon[0] full[0] metal[0] jacket[0] gets[0] off[0] to[0] a[0] quick[0] start[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening sequence is the initiation for the recruits , which is getting their heads shaved . 	the opening sequence is the initiation for the recruits , which is getting their heads shaved .	1	-1	 the[0] opening[0] sequence[0] is[0] the[0] initiation[0] for[0] the[0] recruits[0] which[0] is[0] getting[0] their[0] heads[0] shaved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from there , they find themselves standing at attention and receiving their orders from the extremely hard and punishing sergeant hartman , played extremely well by the former drill instructor r . lee ermey . 	from there , they find themselves standing at attention and receiving their orders from the extremely hard and punishing sergeant hartman , played extremely well by the former drill instructor are .<br> lee ermey .	1	-2	 from[0] there[0] they[0] find[0] themselves[0] standing[0] at[0] attention[0] and[0] receiving[0] their[0] orders[0] from[0] the[0] extremely[0] hard[0] and[0] punishing[-1] sergeant[0] hartman[0] played[0] extremely[0] well[0] by[0] the[0] former[0] drill[0] instructor[0] r[0] [[Sentence=-2,1=word max, 1-5]] lee[0] ermey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently , the solution was found for the perfect man to play a drill instructor in the movies , because ermey depicts his character extremely well and will make you thank whomever that you were never subjected to such horrible situations . 	apparently , the solution was found for the perfect man to play a drill instructor in the movies , because ermey depicts his character extremely well and will make you thank whomever that you were never subjected to such horrible situations .	2	-4	 apparently[0] the[0] solution[0] was[0] found[0] for[0] the[0] perfect[1] man[0] to[0] play[0] a[0] drill[0] instructor[0] in[0] the[0] movies[0] because[0] ermey[0] depicts[0] his[0] character[0] extremely[0] well[0] and[0] will[0] make[0] you[0] thank[1] whomever[0] that[0] you[0] were[0] never[0] subjected[0] to[0] such[0] horrible[-3] situations[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
private joker gets off on the wrong foot with the sergeant , as does the large bodied private leonard lawrence ( vincent d'onofrio ) , whom is dubbed 'gomer pyle' by sgt . 	private joker gets off on the wrong foot with the sergeant , as does the large bodied private leonard lawrence ( vincent d'onofrio ) , whom is dubbed 'gomer pyle' by sgt .	2	-2	 private[0] joker[1] gets[0] off[0] on[0] the[0] wrong[-1] foot[0] with[0] the[0] sergeant[0] as[0] does[0] the[0] large[0] bodied[0] private[0] leonard[0] lawrence[0] vincent[0] d'onofrio[0] whom[0] is[0] dubbed[0] 'gomer[0] pyle'[0] by[0] sgt[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hartman . 	hartman .	1	-1	 hartman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is continually narrated by private joker , in which he explains his visions on what is going on . 	the film is continually narrated by private joker , in which he explains his visions on what is going on .	2	-1	 the[0] film[0] is[0] continually[0] narrated[0] by[0] private[0] joker[1] in[0] which[0] he[0] explains[0] his[0] visions[0] on[0] what[0] is[0] going[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the entire corps , although repeatedly hammered by sgt . 	the entire corps , although repeatedly hammered by sgt .	1	-1	 the[0] entire[0] corps[0] although[0] repeatedly[0] hammered[0] by[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hartman , continues on . 	hartman , continues on .	1	-1	 hartman[0] continues[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
private pyle , however , seems to be the rag doll for the drill instructor . 	private pyle , however , seems to be the rag doll for the drill instructor .	1	-1	 private[0] pyle[0] however[0] seems[0] to[0] be[0] the[0] rag[0] doll[0] for[0] the[0] drill[0] instructor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he continually absorbs the worst punishment and humiliation , and it basically does not stop . 	he continually absorbs the worst punishment and humiliation , and it basically does not stop .	1	-4	 he[0] continually[0] absorbs[0] the[0] worst[-2] punishment[-1] and[0] humiliation[-3] and[0] it[0] basically[0] does[0] not[0] stop[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that is , until sgt . 	that is , until sgt .	1	-1	 that[0] is[0] until[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hartman comes up with a new plan . 	hartman comes up with a new plan .	1	-1	 hartman[0] comes[0] up[0] with[0] a[0] new[0] plan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he will punish the rest of the soon-to-be-marines for pyle's goof-ups , even after joker was assigned to help him out in the best way he can . 	he will punish the rest of the soon-to-be-marines for pyle's goof-ups , even after joker was assigned to help him out in the best way he can .	2	-2	 he[0] will[0] punish[-1] the[0] rest[0] of[0] the[0] soon[0] to[0] be[0] marines[0] for[0] pyle's[0] goof[0] ups[0] even[0] after[0] joker[1] was[0] assigned[0] to[0] help[0] him[0] out[0] in[0] the[0] best[1] way[0] he[0] can[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
