the promotion for fear and loathing in las vegas ? has made the film out to be a comedy , and for about the first hour or so it seems like it might be one . 	Translation	Positive	Negative	EmotionRationale
it's 1971 , and the hippie movement has left behind quite a few wash-outs , among them journalist raoul duke ( johnny depp ) and his " attorney " dr . gonzo ( benito del toro ) . 	it's 1971 , and the hippie movement has left behind quite a few wash-outs , among them journalist raoul duke ( johnny dep ) and his " attorney " dr .<br> gonzo ( benito del toro ) .	1	-1	 it's[0] 1971[0] and[0] the[0] hippie[0] movement[0] has[0] left[0] behind[0] quite[0] a[0] few[0] wash[0] outs[0] among[0] them[0] journalist[0] raoul[0] duke[0] johnny[0] depp/dep[0] and[0] his[0] attorney[0] dr[0] [[Sentence=-1,1=word max, 1-5]] gonzo[0] benito[0] del[0] toro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two spend most of the film in a drug-induced stupor , having strange hallucinations , trashing their hotel rooms , and either annoying or scaring almost everyone that crosses their path . 	these two spend most of the film in a drug-induced stupor , having strange hallucinations , trashing their hotel rooms , and either annoying or scaring almost everyone that crosses their path .	1	-4	 these[0] two[0] spend[0] most[0] of[0] the[0] film[0] in[0] a[0] drug[0] induced[0] stupor[-1] having[0] strange[0] hallucinations[0] trashing[-1] their[0] hotel[0] rooms[0] and[0] either[0] annoying[-2] or[0] scaring[-3] almost[0] everyone[0] that[0] crosses[0] their[0] path[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
duke is first assigned to cover an outdoor desert motorcycle race in las vegas , but gets lost in a blur of drugs , beer , and flying dust , and ends up wandering around with no clue who won . 	duke is first assigned to cover an outdoor desert motorcycle race in las vegas , but gets lost in a blur of drugs , beer , and flying dust , and ends up wandering around with no clue who won .	1	-2	 duke[0] is[0] first[0] assigned[0] to[0] cover[0] an[0] outdoor[0] desert[0] motorcycle[0] race[0] in[0] las[0] vegas[0] but[0] gets[0] lost[0] in[0] a[0] blur[-1] of[0] drugs[0] beer[0] and[0] flying[0] dust[0] and[0] ends[0] up[0] wandering[0] around[0] with[0] no[0] clue[0] who[0] won[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he leaves vegas briefly before he is sent back , in what can only be described as a strangely appropriate twist of fate , to cover a drug enforcement conference . 	he leaves vegas briefly before he is sent back , in what can only be described as a strangely appropriate twist of fate , to cover a drug enforcement conference .	1	-2	 he[0] leaves[0] vegas[0] briefly[0] before[0] he[0] is[0] sent[0] back[0] in[0] what[0] can[0] only[0] be[0] described[0] as[0] a[0] strangely[0] appropriate[0] twist[0] of[0] fate[0] to[0] cover[0] a[0] drug[0] enforcement[-1] conference[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fear and loathing has been misinterpreted by some as glorifying the use of drugs . 	fear and loathing has been misinterpreted by some as glorifying the use of drugs .	2	-4	 fear[-3] and[0] loathing[0] has[0] been[0] misinterpreted[0] by[0] some[0] as[0] glorifying[1] the[0] use[0] of[0] drugs[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it doesn't , even in the beginning--while the pair's antics are sometimes amusing and relatively harmless at first , the humor here is still fairly dark . 	it doesn't , even in the beginning-while the pair's antics are sometimes amusing and relatively harmless at first , the humor here is still fairly dark .	3	-1	 it[0] doesn't[0] even[0] in[0] the[0] beginning[0] while[0] the[0] pair's[0] antics[0] are[0] sometimes[0] amusing[1][-1 LastWordBoosterStrength] and[0] relatively[0] harmless[1] at[0] first[0] the[0] humor[2] here[0] is[0] still[0] fairly[0] dark[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director terry gilliam views them with a rather satirical eye , and even when we're laughing , we're laughing at them rather than with them . 	director terry gilliam views them with a rather satirical eye , and even when we're laughing , we're laughing at them rather than with them .	2	-1	 director[0] terry[0] gilliam[0] views[0] them[0] with[0] a[0] rather[0] satirical[0] eye[0] and[0] even[0] when[0] we're[0] laughing[1] we're[0] laughing[1] at[0] them[0] rather[0] than[0] with[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they spend most of their time paranoid , angry , or just plain befuddled , which is probably an understandable reaction to seeing the entire room suddenly fill up with giant reptiles . 	they spend most of their time paranoid , angry , or just plain befuddled , which is probably an understandable reaction to seeing the entire room suddenly fill up with giant reptiles .	1	-5	 they[0] spend[0] most[0] of[0] their[0] time[0] paranoid[-2] angry[-3][-1 MultiplePositiveWords] or[0] just[0] plain[0] befuddled[0] which[0] is[0] probably[0] an[0] understandable[0] reaction[0] to[0] seeing[0] the[0] entire[0] room[0] suddenly[0] fill[0] up[0] with[0] giant[0] reptiles[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the black comedy may be entertaining to watch onscreen , but it's probably not something most other audience members would want to experience first-hand . 	the black comedy may be entertaining to watch onscreen , but it's probably not something most other audience members would want to experience first-hand .	1	-1	 the[0] black[0] comedy[0] may[0] be[0] entertaining[0] to[0] watch[0] onscreen[0] but[0] it's[0] probably[0] not[0] something[0] most[0] other[0] audience[0] members[0] would[0] want[0] to[0] experience[0] first[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all this aside , i was starting to grow a bit restless as the film drew near its one-hour mark , thinking to myself that i wanted something more out of this than just an off-kilter satire of drug culture . 	all this aside , i was starting to grow a bit restless as the film drew near its one-hour mark , thinking to myself that i wanted something more out of this than just an off-kilter satire of drug culture .	1	-2	 all[0] this[0] aside[0] i[0] was[0] starting[0] to[0] grow[0] a[0] bit[0] restless[-1] as[0] the[0] film[0] drew[0] near[0] its[0] one[0] hour[0] mark[0] thinking[0] to[0] myself[0] that[0] i[0] wanted[0] something[0] more[0] out[0] of[0] this[0] than[0] just[0] an[0] off[0] kilter[0] satire[0] of[0] drug[0] culture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
