when i first heard that romeo & juliet had been " updated " i shuddered . 	Translation	Positive	Negative	EmotionRationale
i thought that yet another of shakespeare's classics had been destroyed . 	i thought that yet another of shakespeare's classics had been destroyed .	1	-3	 i[0] thought[0] that[0] yet[0] another[0] of[0] shakespeare's[0] classics[0] had[0] been[0] destroyed[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fortunately , i was wrong . 	fortunately , i was wrong .	1	-2	 fortunately[0] i[0] was[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
baz luhrman has directed an " in your face " , and visually stunning piece with this film . 	baz luhrman has directed an " in your face " , and visually stunning piece with this film .	1	-1	 baz[0] luhrman[0] has[0] directed[0] an[0] in[0] your[0] face[0] and[0] visually[0] stunning[0] piece[0] with[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it revolves around the two rival families , who in this version each run multi-million dollar enterprises . 	it revolves around the two rival families , who in this version each run multi-million dollar enterprises .	1	-2	 it[0] revolves[0] around[0] the[0] two[0] rival[-1] families[0] who[0] in[0] this[0] version[0] each[0] run[0] multi[0] million[0] dollar[0] enterprises[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these rival companies/families are the capulet's and the montague's . 	these rival companies/families are the capulet's and the montague's .	1	-2	 these[0] rival[-1] companies/families[0] are[0] the[0] capulet's[0] and[0] the[0] montague's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the younger generation of these two families have formed gangs , who despise one another . 	the younger generation of these two families have formed gangs , who despise one another .	1	-4	 the[0] younger[0] generation[0] of[0] these[0] two[0] families[0] have[0] formed[0] gangs[0] who[0] despise[-3] one[0] another[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as the storylines goes , romeo montague ( played by leonardo dicaprio ) and juliet capulet ( claire danes ) meet at a fancy dress party , and it is love at first site . 	as the storylines goes , romeo montague ( played by leonardo dicaprio ) and juliet capulet ( claire danes ) meet at a fancy dress party , and it is love at first site .	3	-1	 as[0] the[0] storylines[0] goes[0] romeo[0] montague[0] played[0] by[0] leonardo[0] dicaprio[0] and[0] juliet[0] capulet[0] claire[0] danes[0] meet[0] at[0] a[0] fancy[0] dress[0] party[0] and[0] it[0] is[0] love[2] at[0] first[0] site[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i never believed love at first site was possible until i saw this film , the scene in which romeo's eyes meet juliet's through the fish tank is one of the most memorable . 	i never believed love at first site was possible until i saw this film , the scene in which romeo's eyes meet juliet's through the fish tank is one of the most memorable .	1	-3	 i[0] never[0] believed[0] love[2][NegatedDueToPreviousWord] at[0] first[0] site[0] was[0] possible[0] until[0] i[0] saw[0] this[0] film[0] the[0] scene[0] in[0] which[0] romeo's[0] eyes[0] meet[0] juliet's[0] through[0] the[0] fish[0] tank[0] is[0] one[0] of[0] the[0] most[0] memorable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , they cannot publicly reveal their love , for their families are arch enemies . 	of course , they cannot publicly reveal their love , for their families are arch enemies .	3	-2	 of[0] course[0] they[0] cannot[0] publicly[0] reveal[0] their[0] love[2] for[0] their[0] families[0] are[0] arch[0] enemies[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so they marry in secret , this is where things begin to go wrong . 	so they marry in secret , this is where things begin to go wrong .	1	-2	 so[0] they[0] marry[0] in[0] secret[0] this[0] is[0] where[0] things[0] begin[0] to[0] go[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story , as with all good shakespeare , ends in tragedy . 	the story , as with all good shakespeare , ends in tragedy .	2	-3	 the[0] story[0] as[0] with[0] all[0] good[1] shakespeare[0] ends[0] in[0] tragedy[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the cinematography is spectacular to say the least , and the soundtrack provides the perfect atmosphere in which to " lay our scene " , as the film says . 	the cinematography is spectacular to say the least , and the soundtrack provides the perfect atmosphere in which to " lay our scene " , as the film says .	2	-1	 the[0] cinematography[0] is[0] spectacular[0] to[0] say[0] the[0] least[0] and[0] the[0] soundtrack[0] provides[0] the[0] perfect[1] atmosphere[0] in[0] which[0] to[0] lay[0] our[0] scene[0] as[0] the[0] film[0] says[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is very little to criticise . 	there is very little to criticise .	1	-2	 there[0] is[0] very[0] little[0] to[0] criticise[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances are convincing , and several of the film's younger stars may find that it provides a launch for their careers . 	the performances are convincing , and several of the film's younger stars may find that it provides a launch for their careers .	1	-1	 the[0] performances[0] are[0] convincing[0] and[0] several[0] of[0] the[0] film's[0] younger[0] stars[0] may[0] find[0] that[0] it[0] provides[0] a[0] launch[0] for[0] their[0] careers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the modernisation of the script is ingenious and clever . 	the modernisation of the script is ingenious and clever .	1	-1	 the[0] modernisation[0] of[0] the[0] script[0] is[0] ingenious[0] and[0] clever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite the well known storyline , this latest version still manages to cause tears among many members of the audience ( especially the younger generation ) , and this is certainly a great credit to the film . 	despite the well known storyline , this latest version still manages to cause tears among many members of the audience ( especially the younger generation ) , and this is certainly a great credit to the film .	3	-4	 despite[0] the[0] well[0] known[0] storyline[0] this[0] latest[0] version[0] still[0] manages[0] to[0] cause[0] tears[-3] among[0] many[0] members[0] of[0] the[0] audience[0] especially[0] the[0] younger[0] generation[0] and[0] this[0] is[0] certainly[0] a[0] great[2] credit[0] to[0] the[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
