films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before . 	Translation	Positive	Negative	EmotionRationale
for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen . 	for starters , it was created by alan more ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen .	1	-1	 for[0] starters[0] it[0] was[0] created[0] by[0] alan[0] moore/more[0] and[0] eddie[0] campbell[0] who[0] brought[0] the[0] medium[0] to[0] a[0] whole[0] new[0] level[0] in[0] the[0] mid[0] '80s[0] with[0] a[0] 12[0] part[0] series[0] called[0] the[0] watchmen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd . 	to say more and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd .	2	-1	 to[0] say[0] moore/more[0] and[0] campbell[0] thoroughly[0] researched[0] the[0] subject[0] of[0] jack[0] the[0] ripper[0] would[0] be[0] like[1] saying[0] michael[0] jackson[0] is[0] starting[0] to[0] look[0] a[0] little[0] odd[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the book ( or " graphic novel , " if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes . 	the book ( or " graphic novel , " if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes .	1	-1	 the[0] book[0] or[0] graphic[0] novel[0] if[0] you[0] will[0] is[0] over[0] 500[0] pages[0] long[0] and[0] includes[0] nearly[0] 30[0] more[0] that[0] consist[0] of[0] nothing[0] but[0] footnotes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in other words , don't dismiss this film because of its source . 	in other words , don't dismiss this film because of its source .	2	-2	 in[0] other[0] words[0] don't[0] dismiss[-1][NegatedDueToPreviousWord] this[0] film[0] because[0] of[0] its[0] source[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes . 	if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes .	1	-2	 if[0] you[0] can[0] get[0] past[0] the[0] whole[0] comic[0] book[0] thing[0] you[0] might[0] find[0] another[0] stumbling[0] block[-1] in[0] from[0] hell's[0] directors[0] albert[0] and[0] allen[0] hughes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ? 	getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace i society ?	1	-4	 getting[0] the[0] hughes[0] brothers[0] to[0] direct[0] this[0] seems[0] almost[0] as[0] ludicrous[-2] as[0] casting[0] carrot[0] top[0] in[0] well[0] anything[0] but[0] riddle[0] me[0] this[0] who[0] better[0] to[0] direct[0] a[0] film[0] that's[0] set[0] in[0] the[0] ghetto[-1] and[0] features[0] really[0] violent[-2][-1 LastWordBoosterStrength] street[0] crime[-1] than[0] the[0] mad[-1] geniuses[0] behind[0] menace[-2] ii/i[0] society[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the ghetto in question is , of course , whitechapel in 1888 london's east end . 	the ghetto in question is , of course , whitechapel in 188 london's east end .	1	-2	 the[0] ghetto[-1] in[0] question[0] is[0] of[0] course[0] whitechapel[0] in[0] 1888/188[0] london's[0] east[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a filthy , sooty place where the whores ( called " unfortunates " ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision . 	it's a filthy , sooty place where the whores ( called " unfortunates " ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision .	1	-3	 it's[0] a[0] filthy[-1] sooty[0] place[0] where[0] the[0] whores[-2] called[0] unfortunates[-1] are[0] starting[0] to[0] get[0] a[0] little[0] nervous[-2] about[0] this[0] mysterious[0] psychopath[0] who[0] has[0] been[0] carving[0] through[0] their[0] profession[0] with[0] surgical[0] precision[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case . 	when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny dep , blow ) to crack the case .	1	-1	 when[0] the[0] first[0] stiff[0] turns[0] up[0] copper[0] peter[0] godley[0] robbie[0] coltrane[0] the[0] world[0] is[0] not[0] enough[0] calls[0] in[0] inspector[0] frederick[0] abberline[0] johnny[0] depp/dep[0] blow[0] to[0] crack[0] the[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium . 	abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium .	1	-3	 abberline[0] a[0] widower[0] has[0] prophetic[0] dreams[0] he[0] unsuccessfully[-2] tries[0] to[0] quell[0] with[0] copious[0] amounts[0] of[0] absinthe[0] and[0] opium[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach . 	upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach .	1	-4	 upon[0] arriving[0] in[0] whitechapel[0] he[0] befriends[0] an[0] unfortunate[-1] named[0] mary[0] kelly[0] heather[0] graham[0] say[0] it[0] isn't[0] so[0] and[0] proceeds[0] to[0] investigate[0] the[0] horribly[-3] gruesome[0] crimes[-1] that[0] even[0] the[0] police[0] surgeon[0] can't[0] stomach[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay . 	i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say more and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay .	2	-2	 i[0] don't[0] think[0] anyone[0] needs[0] to[0] be[0] briefed[0] on[0] jack[0] the[0] ripper[0] so[0] i[0] won't[0] go[0] into[0] the[0] particulars[0] here[0] other[0] than[0] to[0] say[0] moore/more[0] and[0] campbell[0] have[0] a[0] unique[0] and[0] interesting[1] theory[0] about[0] both[0] the[0] identity[0] of[0] the[0] killer[-1] and[0] the[0] reasons[0] he[0] chooses[0] to[0] slay[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end . 	in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ?<br> rables ) do a good job of keeping him hidden from viewers until the very end .	2	-1	 in[0] the[0] comic[0] they[0] don't[0] bother[-1][NegatedDueToPreviousWord] cloaking[0] the[0] identity[0] of[0] the[0] ripper[0] but[0] screenwriters[0] terry[0] hayes[0] vertical[0] limit[0] and[0] rafael[0] yglesias[0] les[0] mis[0] [[Sentence=-1,2=word max, 1-5]] rables[0] do[0] a[0] good[1] job[0] of[0] keeping[0] him[0] hidden[0] from[0] viewers[0] until[0] the[0] very[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts . 	it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts .	2	-2	 it's[0] funny[1] to[0] watch[0] the[0] locals[0] blindly[-1] point[0] the[0] finger[0] of[0] blame[-1] at[0] jews[0] and[0] indians[0] because[0] after[0] all[0] an[0] englishman[0] could[0] never[0] be[0] capable[0] of[0] committing[0] such[0] ghastly[-1] acts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and from hell's ending had me whistling the stonecutters song from the simpsons for days ( " who holds back the electric car/who made steve guttenberg a star ? " ) . 	and from hell's ending had me whistling the stonecutters song from the simpsons for days ( " who holds back the electric car/who made steve guttenberg a star ?<br> " ) .	1	-1	 and[0] from[0] hell's[0] ending[0] had[0] me[0] whistling[0] the[0] stonecutters[0] song[0] from[0] the[0] simpsons[0] for[0] days[0] who[0] holds[0] back[0] the[0] electric[0] car/who[0] made[0] steve[0] guttenberg[0] a[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't worry - it'll all make sense when you see it . 	don't worry - it'll all make sense when you see it .	4	-1	 don't[0] worry[-3][NegatedDueToPreviousWord] it'll[0] all[0] make[0] sense[0] when[0] you[0] see[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) . 	now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) .	2	-2	 now[0] onto[0] from[0] hell's[0] appearance[0] it's[0] certainly[0] dark[0] and[0] bleak[-1] enough[0] and[0] it's[0] surprising[0] to[0] see[0] how[0] much[0] more[0] it[0] looks[0] like[1] a[0] tim[0] burton[0] film[0] than[0] planet[0] of[0] the[0] apes[0] did[0] at[0] times[0] it[0] seems[0] like[1] sleepy[0] hollow[-1] 2[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic . 	the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic .	1	-4	 the[0] print[0] i[0] saw[0] wasn't[0] completely[0] finished[0] both[0] color[0] and[0] music[0] had[0] not[0] been[0] finalized[0] so[0] no[0] comments[0] about[0] marilyn[0] manson[0] but[0] cinematographer[0] peter[0] deming[0] don't[0] say[0] a[0] word[0] ably[0] captures[-1] the[0] dreariness[0] of[0] victorian[0] era[0] london[0] and[0] helped[0] make[0] the[0] flashy[0] killing[-1] scenes[0] remind[0] me[0] of[0] the[0] crazy[-1] flashbacks[0] in[0] twin[0] peaks[0] even[0] though[0] the[0] violence[-3] in[0] the[0] film[0] pales[0] in[0] comparison[0] to[0] that[0] in[0] the[0] black[0] and[0] white[0] comic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place . 	oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place .	3	-1	 oscar[0] winner[1] martin[0] childs'[0] shakespeare[0] in[0] love[2] production[0] design[0] turns[0] the[0] original[0] prague[0] surroundings[0] into[0] one[0] creepy[0] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent . 	even the acting in from hell is solid , with the dreamy dep turning in a typically strong performance and deftly handling a british accent .	1	-2	 even[0] the[0] acting[0] in[0] from[0] hell[-1] is[0] solid[0] with[0] the[0] dreamy[0] depp/dep[0] turning[0] in[0] a[0] typically[0] strong[0] performance[0] and[0] deftly[0] handling[0] a[0] british[0] accent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham . 	ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham .	3	-1	 ians[0] holm[0] joe[0] gould's[0] secret[0] and[0] richardson[0] 102[0] dalmatians[0] log[0] in[0] great[2] supporting[1] roles[0] but[0] the[0] big[0] surprise[0] here[0] is[0] graham[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad . 	i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad .	1	-2	 i[0] cringed[0] the[0] first[0] time[0] she[0] opened[0] her[0] mouth[0] imagining[0] her[0] attempt[0] at[0] an[0] irish[0] accent[0] but[0] it[0] actually[0] wasn't[0] half[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film , however , is all good . 	the film , however , is all good .	2	-1	 the[0] film[0] however[0] is[0] all[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2 : 00 - r for strong violence/gore , sexuality , language and drug content 	2 : 00 - are for strong violence/gore , sexuality , language and drug content	1	-1	 2[0] 00[0] r[0] for[0] strong[0] violence/gore[0] sexuality[0] language[0] and[0] drug[0] content[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
