until i saw the night of the hunter , it had been a long time since i had gasped while watching a movie . 	Translation	Positive	Negative	EmotionRationale
forget the others and the deep end ( which veered toward strained dramatics ) , the night of the hunter is by far the scariest movie i've seen so far this year . 	forget the others and the deep end ( which veered toward strained dramatics ) , the night of the hunter is by far the scariest movie i've seen so far this year .	1	-4	 forget[0] the[0] others[0] and[0] the[0] deep[0] end[0] which[0] veered[0] toward[0] strained[-1] dramatics[0] the[0] night[0] of[0] the[0] hunter[-1] is[0] by[0] far[0] the[0] scariest[-3] movie[0] i've[0] seen[0] so[0] far[0] this[0] year[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even though the movie is nearly 50 years old and there's a not drop of blood to be seen . 	even though the movie is nearly 50 years old and there's a not drop of blood to be seen .	2	-1	 even[0] though[0] the[0] movie[0] is[0] nearly[0] 50[0] years[0] old[0] and[0] there's[0] a[0] not[0] drop[-1][NegatedDueToPreviousWord] of[0] blood[0] to[0] be[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
luckily , the night of the hunter , charles laughton's first and final directing gig , has been restored by the ucla film and television archive and is being re-released in october 2001 . 	luckily , the night of the hunter , charles laughton's first and final directing gig , has been restored by the ucla film and television archive and is being re-released in october 2001 .	3	-2	 luckily[2] the[0] night[0] of[0] the[0] hunter[-1] charles[0] laughton's[1] first[0] and[0] final[0] directing[0] gig[0] has[0] been[0] restored[0] by[0] the[0] ucla[0] film[0] and[0] television[0] archive[0] and[0] is[0] being[0] re[0] released[0] in[0] october[0] 2001[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so , there's still plenty of time to spill your popcorn all over the place . 	so , there's still plenty of time to spill your popcorn all over the place .	1	-2	 so[0] there's[0] still[0] plenty[0] of[0] time[0] to[0] spill[-1] your[0] popcorn[0] all[0] over[0] the[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robert mitchum stars as harry powell , a reverend with a nasty habit of courting and then killing widows for their cash . 	robert mitchum stars as harry powell , a reverend with a nasty habit of courting and then killing widows for their cash .	1	-3	 robert[0] mitchum[0] stars[0] as[0] harry[0] powell[0] a[0] reverend[0] with[0] a[0] nasty[-2] habit[0] of[0] courting[0] and[0] then[0] killing[-1] widows[0] for[0] their[0] cash[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his newest target is young mother willa harper ( shelley winters ) , whose murderer husband ben ( peter graves ) has hidden  10 , 000 somewhere . 	his newest target is young mother willa harper ( shelley winters ) , whose murderer husband ben ( peter graves ) has hidden  10 , 00 somewhere .	1	-4	 his[0] newest[0] target[0] is[0] young[0] mother[0] willa[0] harper[0] shelley[0] winters[0] whose[0] murderer[-3] husband[0] ben[0] peter[0] graves[-2] has[0] hidden[0] 10[0] 000/00[0] somewhere[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
powell finds out about the stash and decides to court mrs . harper after he's released and ben is hanged . 	powell finds out about the stash and decides to court mrs .<br> harper after he's released and ben is hanged .	1	-1	 powell[0] finds[0] out[0] about[0] the[0] stash[0] and[0] decides[0] to[0] court[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] harper[0] after[0] he's[0] released[0] and[0] ben[0] is[0] hanged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but finding the money isn't easy for powell , who must contend with his stepchildren ( billy chapin and sally jane bruce ) , who know where the money is , but aren't telling . 	but finding the money isn't easy for powell , who must contend with his stepchildren ( billy chapin and sally jane bruce ) , who know where the money is , but aren't telling .	1	-2	 but[0] finding[0] the[0] money[0] isn't[0] easy[0] for[0] powell[0] who[0] must[0] contend[-1] with[0] his[0] stepchildren[0] billy[0] chapin[0] and[0] sally[0] jane[0] bruce[0] who[0] know[0] where[0] the[0] money[0] is[0] but[0] aren't[0] telling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the hard part about seeing a classic now is the pop culture monster has usually drawn and quartered and then flaunted all the memorable moments , thus ruining the spontaneity and adventure when we finally watch it for the first time . 	the hard part about seeing a classic now is the pop culture monster has usually drawn and quartered and then flaunted all the memorable moments , thus ruining the spontaneity and adventure when we finally watch it for the first time .	1	-2	 the[0] hard[0] part[0] about[0] seeing[0] a[0] classic[0] now[0] is[0] the[0] pop[0] culture[0] monster[-1] has[0] usually[0] drawn[0] and[0] quartered[0] and[0] then[0] flaunted[0] all[0] the[0] memorable[0] moments[0] thus[0] ruining[-1] the[0] spontaneity[0] and[0] adventure[0] when[0] we[0] finally[0] watch[0] it[0] for[0] the[0] first[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how many spoofs or salutes to the shower scene in psycho have we seen in other movies ? 	how many spoofs or salutes to the shower scene in psycho have we seen in other movies ?	1	-1	 how[0] many[0] spoofs[0] or[0] salutes[0] to[0] the[0] shower[0] scene[0] in[0] psycho[0] have[0] we[0] seen[0] in[0] other[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
