towards the middle of " the sweet hereafter , " a crowded school bus skids on an icy road surface as it rounds a bend , careens through the steel guard rail , and disappears out of sight . 	Translation	Positive	Negative	EmotionRationale
then , in long shot , we see the vehicle slowly sliding across what looks like a snow-covered field . 	then , in long shot , we see the vehicle slowly sliding across what looks like a snow-covered field .	2	-2	 then[0] in[0] long[0] shot[-1] we[0] see[0] the[0] vehicle[0] slowly[0] sliding[0] across[0] what[0] looks[0] like[1] a[0] snow[0] covered[0] field[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it pauses for a moment before the " field " cracks under the bus' weight and the bright yellow vehicle vanishes in an effortless moment , a single smooth second of time . 	it pauses for a moment before the " field " cracks under the bus' weight and the bright yellow vehicle vanishes in an effortless moment , a single smooth second of time .	1	-2	 it[0] pauses[0] for[0] a[0] moment[0] before[0] the[0] field[0] cracks[0] under[0] the[0] bus'[0] weight[0] and[0] the[0] bright[0] yellow[0] vehicle[0] vanishes[-1] in[0] an[0] effortless[0] moment[0] a[0] single[0] smooth[0] second[0] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
compare that scene , if you will , to the last eighty minutes of " titanic , " when the behemoth sinks slowly and spectacularly to its watery demise , and you'll appreciate the futility of comparing greatness in films . 	compare that scene , if you will , to the last eighty minutes of " titanic , " when the behemoth sinks slowly and spectacularly to its watery demise , and you'll appreciate the futility of comparing greatness in films .	3	-2	 compare[0] that[0] scene[0] if[0] you[0] will[0] to[0] the[0] last[0] eighty[0] minutes[0] of[0] titanic[0] when[0] the[0] behemoth[0] sinks[0] slowly[0] and[0] spectacularly[0] to[0] its[0] watery[0] demise[-1] and[0] you'll[0] appreciate[1] the[0] futility[-1] of[0] comparing[0] greatness[2] in[0] films[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the scene in " the sweet hereafter " epitomizes all that's right with independent canadian director atom egoyan's film . 	the scene in " the sweet hereafter " epitomizes all that's right with independent canadian director atom egoyan's film .	2	-1	 the[0] scene[0] in[0] the[0] sweet[1] hereafter[0] epitomizes[0] all[0] that's[0] right[0] with[0] independent[0] canadian[0] director[0] atom[0] egoyan's[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not sensational . 	it's not sensational .	1	-1	 it's[0] not[0] sensational[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we don't see the inside of the bus with its payload of screaming , terrified children being bloodied and battered about . 	we don't see the inside of the bus with its payload of screaming , terrified children being bloodied and battered about .	1	-5	 we[0] don't[0] see[0] the[0] inside[0] of[0] the[0] bus[0] with[0] its[0] payload[0] of[0] screaming[-3] terrified[-3][-1 MultiplePositiveWords] children[0] being[0] bloodied[0] and[0] battered[0] about[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the bus doesn't explode or break into a thousand tiny pieces . 	the bus doesn't explode or break into a thousand tiny pieces .	1	-2	 the[0] bus[0] doesn't[0] explode[-1] or[0] break[0] into[0] a[0] thousand[0] tiny[0] pieces[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it simply leaves the road and silently slips beneath the surface of a frozen lake . 	it simply leaves the road and silently slips beneath the surface of a frozen lake .	1	-1	 it[0] simply[0] leaves[0] the[0] road[0] and[0] silently[0] slips[0] beneath[0] the[0] surface[0] of[0] a[0] frozen[0] lake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a horrifying sequence made all the more so by calm and distance . 	it's a horrifying sequence made all the more so by calm and distance .	2	-4	 it's[0] a[0] horrifying[-3] sequence[0] made[0] all[0] the[0] more[0] so[0] by[0] calm[1] and[0] distance[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
using a non-linear approach to his narrative , egoyan shifts back and forward in time , connecting us with the inhabitants of the small british columbian town who have been severely affected by this tragedy . 	using a non-linear approach to his narrative , egoyan shifts back and forward in time , connecting us with the inhabitants of the small british columbian town who have been severely affected by this tragedy .	1	-3	 using[0] a[0] non[0] linear[0] approach[0] to[0] his[0] narrative[0] egoyan[0] shifts[0] back[0] and[0] forward[0] in[0] time[0] connecting[0] us[0] with[0] the[0] inhabitants[0] of[0] the[0] small[0] british[0] columbian[0] town[0] who[0] have[0] been[0] severely[-1] affected[0] by[0] this[0] tragedy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fourteen children died in the accident , leaving their parents and the town itself paralyzed with grief . 	fourteen children died in the accident , leaving their parents and the town itself paralyzed with grief .	1	-4	 fourteen[0] children[0] died[0] in[0] the[0] accident[-1] leaving[0] their[0] parents[0] and[0] the[0] town[0] itself[0] paralyzed[-1] with[0] grief[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the catalyst at the center of the film is ambulance chaser mitchell stephens ( a wonderfully moving performance by ian holm ) , who comes to sam dent to persuade the townsfolk to engage in a class action suit . 	the catalyst at the center of the film is ambulance chaser mitchell stephens ( a wonderfully moving performance by ian holm ) , who comes to sam dent to persuade the townsfolk to engage in a class action suit .	3	-2	 the[0] catalyst[0] at[0] the[0] center[0] of[0] the[0] film[0] is[0] ambulance[0] chaser[-1] mitchell[0] stephens[0] a[0] wonderfully[2] moving[0] performance[0] by[0] ian[0] holm[0] who[0] comes[0] to[0] sam[0] dent[-1] to[0] persuade[0] the[0] townsfolk[0] to[0] engage[0] in[0] a[0] class[0] action[0] suit[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
