when bulworth ended , i allowed myself a sigh of relief : ? it is possible for me to enjoy political satire . ? 	Translation	Positive	Negative	EmotionRationale
there have been several recent political films that didn't do a whole lot for me -- wag the dog , for instance , i found to be an intelligent but heartless film , while primary colors is unbearable and unwatchable in its awfulness . ? 	there have been several recent political films that didn't do a whole lot for me - wag the dog , for instance , i found to be an intelligent but heartless film , while primary colors is unbearable and unwatchable in its awfulness .<br> ?	2	-4	 there[0] have[0] been[0] several[0] recent[0] political[0] films[0] that[0] didn't[0] do[0] a[0] whole[0] lot[0] for[0] me[0] wag[0] the[0] dog[0] for[0] instance[0] i[0] found[0] to[0] be[0] an[0] intelligent[1] but[0] heartless[-2] film[0] while[0] primary[0] colors[0] is[0] unbearable[-3] and[0] unwatchable[0] in[0] its[0] awfulness[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
bulworth is a far better film than these , both in its execution and lasting impression . ? 	bulworth is a far better film than these , both in its execution and lasting impression .<br> ?	1	-1	 bulworth[0] is[0] a[0] far[0] better[0] film[0] than[0] these[0] both[0] in[0] its[0] execution[0] and[0] lasting[0] impression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a tremendously funny and intelligent picture , but it also has an emotional center -- writer/director/star warren beatty allows the audience to identify with his character , and , in turn , we like him and actually care about the story . 	it's a tremendously funny and intelligent picture , but it also has an emotional center - writer/director/star warren beatty allows the audience to identify with his character , and , in turn , we like him and actually care about the story .	2	-2	 it's[0] a[0] tremendously[0] funny[1] and[0] intelligent[1] picture[0] but[0] it[0] also[0] has[0] an[0] emotional[-1] center[0] writer/director/star[0] warren[0] beatty[0] allows[0] the[0] audience[0] to[0] identify[0] with[0] his[0] character[0] and[0] in[0] turn[0] we[0] like[1] him[0] and[0] actually[0] care[1] about[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ? 	 ?	1	-1	[[[0,0 max of sentences]]]
beatty plays incumbent democratic senator jay billington bulworth ; the film opens and we see bulworth sobbing as he watches his television spots over and over again . ? 	beatty plays incumbent democratic senator jay billington bulworth ; the film opens and we see bulworth sobbing as he watches his television spots over and over again .<br> ?	2	-4	 beatty[0] plays[1] incumbent[0] democratic[0] senator[0] jay[0] billington[0] bulworth[0] the[0] film[0] opens[0] and[0] we[0] see[0] bulworth[0] sobbing[-3] as[0] he[0] watches[0] his[0] television[0] spots[0] over[0] and[0] over[0] again[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he hasn't slept in days , nor has he eaten , and , almost instantaneously , he goes insane . 	he hasn't slept in days , nor has he eaten , and , almost instantaneously , he goes insane .	1	-2	 he[0] hasn't[0] slept[0] in[0] days[0] nor[0] has[0] he[0] eaten[0] and[0] almost[0] instantaneously[0] he[0] goes[0] insane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ? he's not stark raving mad ( not outright , anyway ) , but he's definitely bonkers . 	 ?<br> he's not stark raving mad ( not outright , anyway ) , but he's definitely bonkers .	2	-2	 he's[0] not[0] stark[-1][NegatedDueToPreviousWord] raving[0] mad[-1] not[0] outright[0] anyway[0] but[0] he's[0] definitely[0] bonkers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ? it's the final weekend of his campaign , and his assistant , murphy ( oliver platt ) has written him a speech to feed to a group of black people in a church in the ghetto . 	 ?<br> it's the final weekend of his campaign , and his assistant , murphy ( oliver platt ) has written him a speech to feed to a group of black people in a church in the ghetto .	1	-2	 it's[0] the[0] final[0] weekend[0] of[0] his[0] campaign[0] and[0] his[0] assistant[0] murphy[0] oliver[0] platt[0] has[0] written[0] him[0] a[0] speech[0] to[0] feed[0] to[0] a[0] group[0] of[0] black[0] people[0] in[0] a[0] church[0] in[0] the[0] ghetto[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ? bulworth begins the speech , but suddenly goes off track and just starts being honest . ? 	 ?<br> bulworth begins the speech , but suddenly goes off track and just starts being honest .<br> ?	1	-1	 bulworth[0] begins[0] the[0] speech[0] but[0] suddenly[0] goes[0] off[0] track[0] and[0] just[0] starts[0] being[0] honest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you mean , " one lady asks , " the democratic party doesn't care about the african american community ? " ? 	 " you mean , " one lady asks , " the democratic party doesn't care about the african american community ?<br> " ?	2	-1	 you[0] mean[0] one[0] lady[0] asks[0] the[0] democratic[0] party[0] doesn't[0] care[1] about[0] the[0] african[0] american[0] community[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
