note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like its own opening shot , from out of the darkness boogie nights triumphantly explodes upon the film scene with stunning authority and clarity , persuasively heralding its helmer paul thomas anderson as a bonafide major talent . 	like its own opening shot , from out of the darkness boogie nights triumphantly explodes upon the film scene with stunning authority and clarity , persuasively heralding its helmer paul thomas anderson as a bonafide major talent .	3	-2	 like[1] its[0] own[0] opening[0] shot[-1] from[0] out[0] of[0] the[0] darkness[0] boogie[0] nights[0] triumphantly[2] explodes[-1] upon[0] the[0] film[0] scene[0] with[0] stunning[0] authority[0] and[0] clarity[0] persuasively[0] heralding[0] its[0] helmer[0] paul[0] thomas[0] anderson[0] as[0] a[0] bonafide[0] major[0] talent[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a sprawling epic set in the heart of the disco era and focused upon the ascension and decline of a troupe in the adult film industry , boogie nights is an astonishingly ambitious feature film which is completely effective both as an utterly entertaining joyride and as a strikingly impressive piece of filmmaking . 	a sprawling epic set in the heart of the disco era and focused upon the ascension and decline of a troupe in the adult film industry , boogie nights is an astonishingly ambitious feature film which is completely effective both as an utterly entertaining joyride and as a strikingly impressive piece of filmmaking .	2	-2	 a[0] sprawling[0] epic[0] set[0] in[0] the[0] heart[0] of[0] the[0] disco[0] era[0] and[0] focused[0] upon[0] the[0] ascension[0] and[0] decline[-1] of[0] a[0] troupe[0] in[0] the[0] adult[0] film[0] industry[0] boogie[0] nights[0] is[0] an[0] astonishingly[0] ambitious[0] feature[0] film[0] which[0] is[0] completely[0] effective[0] both[0] as[0] an[0] utterly[0] entertaining[0] joyride[-1] and[0] as[0] a[0] strikingly[0] impressive[1] piece[0] of[0] filmmaking[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film follows a soft-spoken young man , eddie adams ( mark wahlberg ) from torrance , through his induction into the erotic picture business to stardom , and later , to a harrowingly precipitous drop . 	the film follows a soft-spoken young man , eddie adams ( mark wahlberg ) from torrance , through his induction into the erotic picture business to stardom , and later , to a harrowingly precipitous drop .	1	-2	 the[0] film[0] follows[0] a[0] soft[0] spoken[0] young[0] man[0] eddie[0] adams[0] mark[0] wahlberg[0] from[0] torrance[0] through[0] his[0] induction[0] into[0] the[0] erotic[0] picture[0] business[0] to[0] stardom[0] and[0] later[0] to[0] a[0] harrowingly[0] precipitous[0] drop[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as boogie nights opens , he's toiling as a dishwasher in a trendy san fernando valley nightclub , and living at home under the thumb of a tyrannical mother who denigrates him at every opportunity . 	as boogie nights opens , he's toiling as a dishwasher in a trendy san fernando valley nightclub , and living at home under the thumb of a tyrannical mother who denigrates him at every opportunity .	1	-1	 as[0] boogie[0] nights[0] opens[0] he's[0] toiling[0] as[0] a[0] dishwasher[0] in[0] a[0] trendy[0] san[0] fernando[0] valley[0] nightclub[0] and[0] living[0] at[0] home[0] under[0] the[0] thumb[0] of[0] a[0] tyrannical[0] mother[0] who[0] denigrates[0] him[0] at[0] every[0] opportunity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
recruited by fatherly jack horner ( a rejuvenated burt reynolds ) , a successful porn filmmaker , eddie abandons his old life in favour of a new one as dirk diggler , pornstar . 	recruited by fatherly jack horner ( a rejuvenated burt reynolds ) , a successful porn filmmaker , eddie abandons his old life in favour of a new one as dirk diggler , pornstar .	3	-2	 recruited[0] by[0] fatherly[0] jack[0] horner[0] a[0] rejuvenated[0] burt[0] reynolds[0] a[0] successful[2] porn[0] filmmaker[0] eddie[0] abandons[-1] his[0] old[0] life[0] in[0] favour[1] of[0] a[0] new[0] one[0] as[0] dirk[0] diggler[0] pornstar[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
wholeheartedly embraced by jack's troupe , including the maternal amber waves ( julianne moore ) , reed rothchild ( john c . reilly ) , buck swope ( don cheadle ) , rollergirl ( heather graham ) , dirk and his " one special thing " are quickly propelled to the top of his field , fulfilling his mantra of being a " big bright shining star " . 	wholeheartedly embraced by jack's troupe , including the maternal amber waves ( julianne more ) , reed rothchild ( john c .<br> reilly ) , buck swope ( don cheadle ) , rollergirl ( heather graham ) , dirk and his " one special thing " are quickly propelled to the top of his field , fulfilling his mantra of being a " big bright shining star " .	2	-1	 wholeheartedly[0] embraced[0] by[0] jack's[0] troupe[0] including[0] the[0] maternal[0] amber[0] waves[0] julianne[0] moore/more[0] reed[0] rothchild[0] john[0] c[0] [[Sentence=-1,1=word max, 1-5]] reilly[0] buck[0] swope[0] don[0] cheadle[0] rollergirl[0] heather[0] graham[0] dirk[0] and[0] his[0] one[0] special[1] thing[0] are[0] quickly[0] propelled[0] to[0] the[0] top[0] of[0] his[0] field[0] fulfilling[0] his[0] mantra[0] of[0] being[0] a[0] big[0] bright[0] shining[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his lack of discipline , however , incites a chain of circumstances which sees dirk and his friends unravel as a new decade is ushered in . 	his lack of discipline , however , incites a chain of circumstances which sees dirk and his friends unravel as a new decade is ushered in .	2	-2	 his[0] lack[-1] of[0] discipline[0] however[0] incites[0] a[0] chain[0] of[0] circumstances[0] which[0] sees[0] dirk[0] and[0] his[0] friends[1] unravel[0] as[0] a[0] new[0] decade[0] is[0] ushered[0] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the element of boogie nights which literally commands attention is the bravura direction by mr . anderson , whose fascination and prowess with the camera is obvious . 	the element of boogie nights which literally commands attention is the bravura direction by mr .<br> anderson , whose fascination and prowess with the camera is obvious .	1	-1	 the[0] element[0] of[0] boogie[0] nights[0] which[0] literally[0] commands[0] attention[0] is[0] the[0] bravura[0] direction[0] by[0] mr[0] [[Sentence=-1,1=word max, 1-5]] anderson[0] whose[0] fascination[0] and[0] prowess[0] with[0] the[0] camera[0] is[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the terrific tracking shot throughout a nightclub which opens the film and introduces the players through to the showy sequence in the camera follows a female partygoer diving into a pool , mr . anderson's accomplished command of the camera is without question . 	from the terrific tracking shot throughout a nightclub which opens the film and introduces the players through to the showy sequence in the camera follows a female partygoer diving into a pool , mr .<br> anderson's accomplished command of the camera is without question .	4	-2	 from[0] the[0] terrific[3] tracking[0] shot[-1] throughout[0] a[0] nightclub[0] which[0] opens[0] the[0] film[0] and[0] introduces[0] the[0] players[0] through[0] to[0] the[0] showy[0] sequence[0] in[0] the[0] camera[0] follows[0] a[0] female[0] partygoer[0] diving[1] into[0] a[0] pool[0] mr[0] [[Sentence=-2,4=word max, 1-5]] anderson's[0] accomplished[1] command[0] of[0] the[0] camera[0] is[0] without[0] question[0] [[Sentence=-1,2=word max, 1-5]][[[4,-2 max of sentences]]]
