in `enemy at the gates' , jude law is a gifted russian sniper made hero by a political officer named danilov ( joseph fiennes ) who uses him in a propaganda newspaper to raise the hopes of the soldiers and people of stalingrad . 	Translation	Positive	Negative	EmotionRationale
it's world war ii , and the russian-german standoff in town could determine the outcome of things for the motherland . 	it's world war i , and the russian-german standoff in town could determine the outcome of things for the motherland .	1	-3	 it's[0] world[0] war[-2] ii/i[0] and[0] the[0] russian[0] german[-1] standoff[0] in[0] town[0] could[0] determine[0] the[0] outcome[0] of[0] things[0] for[0] the[0] motherland[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
law's vassili is the russian's top pawn to victory . 	law's vassili is the russian's top pawn to victory .	1	-1	 law's[0] vassili[0] is[0] the[0] russian's[0] top[0] pawn[0] to[0] victory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lots of war stuff happens . 	lots of war stuff happens .	1	-3	 lots[0] of[0] war[-2] stuff[0] happens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an older , german version of jude's character played by ed harris shows up halfway into the proceedings . 	an older , german version of jude's character played by ed harris shows up halfway into the proceedings .	1	-2	 an[0] older[0] german[-1] version[0] of[0] jude's[0] character[0] played[0] by[0] ed[0] harris[0] shows[0] up[0] halfway[0] into[0] the[0] proceedings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's equally talented , and the two men play a cat and mouse game trying to kill each other . 	he's equally talented , and the two men play a cat and mouse game trying to kill each other .	2	-2	 he's[0] equally[0] talented[1] and[0] the[0] two[0] men[0] play[0] a[0] cat[0] and[0] mouse[0] game[0] trying[0] to[0] kill[-1] each[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they constantly switch roles , as the war fades far into the background . 	they constantly switch roles , as the war fades far into the background .	1	-3	 they[0] constantly[0] switch[0] roles[0] as[0] the[0] war[-2] fades[0] far[0] into[0] the[0] background[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the cast also includes the terrific rachel weisz as a love interest for both vassili and danilov 	the cast also includes the terrific rachel weisz as a love interest for both vassili and danilov	4	-1	 the[0] cast[0] also[0] includes[0] the[0] terrific[3] rachel[0] weisz[0] as[0] a[0] love[2] interest[1] for[0] both[0] vassili[0] and[0] danilov[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the set-up is decent , and so are the production values . 	the set-up is decent , and so are the production values .	2	-1	 the[0] set[0] up[0] is[0] decent[0] and[0] so[0] are[0] the[0] production[0] values[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
boasting a wide range of grimy locales , greasy hair , and tattered costumes , the art direction prospers . 	boasting a wide range of grimy locales , greasy hair , and tattered costumes , the art direction prospers .	1	-3	 boasting[-1] a[0] wide[0] range[0] of[0] grimy[-2] locales[0] greasy[0] hair[0] and[0] tattered[0] costumes[0] the[0] art[0] direction[0] prospers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the actors , however , suffer the problem matt damon had in  saving private ryan' . 	the actors , however , suffer the problem matt damon had in  saving private ryan' .	1	-4	 the[0] actors[0] however[0] suffer[-3] the[0] problem[-1] matt[0] damon[0] had[0] in[0] saving[0] private[0] ryan'[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
