denzel washington is among the many actors this holiday season to give very impressive milestone performances . 	Translation	Positive	Negative	EmotionRationale
this perhaps may be washington's very best to date . 	this perhaps may be washington's very best to date .	3	-1	 this[0] perhaps[0] may[0] be[0] washington's[0] very[0] best[1][1 LastWordBoosterStrength] to[0] date[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he joins matt damon and jim carrey in having the talent , this season , to become his character , copying mannerisms and personal styles perfectly . 	he joins matt damon and jim carrey in having the talent , this season , to become his character , copying mannerisms and personal styles perfectly .	2	-1	 he[0] joins[0] matt[0] damon[0] and[0] jim[0] carrey[0] in[0] having[0] the[0] talent[1] this[0] season[0] to[0] become[0] his[0] character[0] copying[0] mannerisms[0] and[0] personal[0] styles[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his very believable performance makes the long and uninteresting " the hurricane " a much better film than it actually is . 	his very believable performance makes the long and uninteresting " the hurricane " a much better film than it actually is .	1	-1	 his[0] very[0] believable[0] performance[0] makes[0] the[0] long[0] and[0] uninteresting[0] the[0] hurricane[0] a[0] much[0] better[0] film[0] than[0] it[0] actually[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when his rubin " hurricane " carter feels pain and is tormented by racism , he creates for the audience a great sense of sympathy , disgust , and maybe even some embarrassment from the fact that this is our very own country that is breaking laws to support silly prejudices . 	when his rubin " hurricane " carter feels pain and is tormented by racism , he creates for the audience a great sense of sympathy , disgust , and maybe even some embarrassment from the fact that this is our very own country that is breaking laws to support silly prejudices .	3	-4	 when[0] his[0] rubin[0] hurricane[0] carter[0] feels[0] pain[-3] and[0] is[0] tormented[0] by[0] racism[-1] he[0] creates[0] for[0] the[0] audience[0] a[0] great[2] sense[0] of[0] sympathy[0] disgust[-3] and[0] maybe[0] even[0] some[0] embarrassment[-2][--1 LastWordBoosterStrength] from[0] the[0] fact[0] that[0] this[0] is[0] our[0] very[0] own[0] country[0] that[0] is[0] breaking[0] laws[0] to[0] support[1] silly[-1] prejudices[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the horrific true events carter suffered from all of his life are slightly more disturbing and terrifying because they only took place a few decades ago . 	the horrific true events carter suffered from all of his life are slightly more disturbing and terrifying because they only took place a few decades ago .	2	-4	 the[0] horrific[-3] true[1] events[0] carter[0] suffered[-3] from[0] all[0] of[0] his[0] life[0] are[0] slightly[0] more[0] disturbing[-1] and[0] terrifying[-3] because[0] they[0] only[0] took[0] place[0] a[0] few[0] decades[0] ago[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the powerful expressions of denzel washington alone , as his tortured carter , sum up the troubles of racism in america's history . 	the powerful expressions of denzel washington alone , as his tortured carter , sum up the troubles of racism in america's history .	1	-4	 the[0] powerful[0] expressions[0] of[0] denzel[0] washington[0] alone[0] as[0] his[0] tortured[-3] carter[0] sum[0] up[0] the[0] troubles[-1] of[0] racism[-1] in[0] america's[0] history[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is that amazing . 	he is that amazing .	3	-1	 he[0] is[0] that[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the problem with " the hurricane " is that when compared to washington , all of the other actors are not nearly as memorable in their roles . 	the problem with " the hurricane " is that when compared to washington , all of the other actors are not nearly as memorable in their roles .	1	-2	 the[0] problem[-1] with[0] the[0] hurricane[0] is[0] that[0] when[0] compared[0] to[0] washington[0] all[0] of[0] the[0] other[0] actors[0] are[0] not[0] nearly[0] as[0] memorable[0] in[0] their[0] roles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mainly because the script focuses so much on carter , that it leaves little interest or room for the other actors . 	mainly because the script focuses so much on carter , that it leaves little interest or room for the other actors .	2	-1	 mainly[0] because[0] the[0] script[0] focuses[0] so[0] much[0] on[0] carter[0] that[0] it[0] leaves[0] little[0] interest[1] or[0] room[0] for[0] the[0] other[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is , without a doubt , washington's movie but in order for any film to be completely satisfying , it must utilize everyone in the cast to their highest potential not just the stars . 	this is , without a doubt , washington's movie but in order for any film to be completely satisfying , it must utilize everyone in the cast to their highest potential not just the stars .	3	-2	 this[0] is[0] without[0] a[0] doubt[-1] washington's[0] movie[0] but[0] in[0] order[0] for[0] any[0] film[0] to[0] be[0] completely[0] satisfying[1][1 LastWordBoosterStrength] it[0] must[0] utilize[0] everyone[0] in[0] the[0] cast[0] to[0] their[0] highest[0] potential[0] not[0] just[0] the[0] stars[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
