i've always been told that there are two things in life that are unavoidable - death and taxes . 	Translation	Positive	Negative	EmotionRationale
oddly , i've never given much thought to either of the two . 	oddly , i've never given much thought to either of the two .	1	-1	 oddly[0] i've[0] never[0] given[0] much[0] thought[0] to[0] either[0] of[0] the[0] two[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe if i did , at least i'd stop getting collection notices from uncle sam . 	maybe if i did , at least i'd stop getting collection notices from uncle sam .	1	-1	 maybe[0] if[0] i[0] did[0] at[0] least[0] i'd[0] stop[0] getting[0] collection[0] notices[0] from[0] uncle[0] sam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , let me make a resolution to devote myself to better record keeping , hold on to all my receipts , and to do what it takes to have the satisfaction that my returns are mistake-free and will keep me from incurring penalties . 	yes , let me make a resolution to devote myself to better record keeping , hold on to all my receipts , and to do what it takes to have the satisfaction that my returns are mistake-free and will keep me from incurring penalties .	3	-2	 yes[0] let[0] me[0] make[0] a[0] resolution[0] to[0] devote[2] myself[0] to[0] better[0] record[0] keeping[0] hold[0] on[0] to[0] all[0] my[0] receipts[0] and[0] to[0] do[0] what[0] it[0] takes[0] to[0] have[0] the[0] satisfaction[1] that[0] my[0] returns[0] are[0] mistake[-1] free[0] and[0] will[0] keep[0] me[0] from[0] incurring[0] penalties[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it seems that the issue of death may not be so different , at least envisioned here in this film . 	it seems that the issue of death may not be so different , at least envisioned here in this film .	1	-3	 it[0] seems[0] that[0] the[0] issue[0] of[0] death[-2] may[0] not[0] be[0] so[0] different[0] at[0] least[0] envisioned[0] here[0] in[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as this tender love story goes , if you do good things and have a clear conscience when you die , you ascend to a place of great peace and beauty . 	as this tender love story goes , if you do good things and have a clear conscience when you die , you ascend to a place of great peace and beauty .	4	-1	 as[0] this[0] tender[2] love[2][+1 MultiplePositiveWords] story[0] goes[0] if[0] you[0] do[0] good[1] things[0] and[0] have[0] a[0] clear[0] conscience[0] when[0] you[0] die[0] you[0] ascend[0] to[0] a[0] place[0] of[0] great[2] peace[0] and[0] beauty[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the dreams , wishes , and fantasies that you had when you were alive come true . 	the dreams , wishes , and fantasies that you had when you were alive come true .	2	-1	 the[0] dreams[0] wishes[0] and[0] fantasies[0] that[0] you[0] had[0] when[0] you[0] were[0] alive[0] come[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for those who die with a burdened soul , however , they wind up in that other place . 	for those who die with a burdened soul , however , they wind up in that other place .	1	-2	 for[0] those[0] who[0] die[0] with[0] a[0] burdened[-1] soul[0] however[0] they[0] wind[0] up[0] in[0] that[0] other[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chris and annie ( a winsome robin williams and a radiant annabella sciorra ) seem like the perfect couple that deserve all that heaven has to offer . 	chris and annie ( a winsome robin williams and a radiant annabella sciorra ) seem like the perfect couple that deserve all that heaven has to offer .	3	-1	 chris[0] and[0] annie[0] a[0] winsome[0] robin[0] williams[0] and[0] a[0] radiant[2] annabella[0] sciorra[0] seem[0] like[1] the[0] perfect[1] couple[0] that[0] deserve[0] all[0] that[0] heaven[1] has[0] to[0] offer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
their love for each other is strong and their bond is undeniable . 	their love for each other is strong and their bond is undeniable .	3	-1	 their[0] love[2] for[0] each[0] other[0] is[0] strong[0] and[0] their[0] bond[0] is[0] undeniable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but tragic events eventually tear apart the fabric of annie's happiness . 	but tragic events eventually tear apart the fabric of annie's happiness .	3	-3	 but[0] tragic[-2] events[0] eventually[0] tear[-1] apart[0] the[0] fabric[0] of[0] annie's[0] happiness[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and when chris dies after a terrible car accident , she commits suicide - a tortured soul who blames herself . 	and when chris dies after a terrible car accident , she commits suicide - a tortured soul who blames herself .	1	-4	 and[0] when[0] chris[0] dies[0] after[0] a[0] terrible[-3] car[0] accident[-1] she[0] commits[0] suicide[-3] a[0] tortured[-3] soul[0] who[0] blames[-1] herself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
despair is perhaps the greatest sin , and she will wallow in her guilt throughout eternity . 	despair is perhaps the greatest sin , and she will wallow in her guilt throughout eternity .	3	-4	 despair[-3] is[0] perhaps[0] the[0] greatest[2] sin[-1] and[0] she[0] will[0] wallow[-1] in[0] her[0] guilt[-3] throughout[0] eternity[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
chris , on the other hand , has made it to heaven , and upon learning of annie's fate , he journeys to hell to find her and to try to free her from her nightmare . 	chris , on the other hand , has made it to heaven , and upon learning of annie's fate , he journeys to hell to find her and to try to free her from her nightmare .	2	-3	 chris[0] on[0] the[0] other[0] hand[0] has[0] made[0] it[0] to[0] heaven[1] and[0] upon[0] learning[0] of[0] annie's[0] fate[0] he[0] journeys[0] to[0] hell[-1] to[0] find[0] her[0] and[0] to[0] try[0] to[0] free[0] her[0] from[0] her[0] nightmare[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
