i recall the trials and tribulations of my high school years . 	Translation	Positive	Negative	EmotionRationale
it was a period that would mercilessly force me to exit boyhood and thrust me into the unwelcome arms of adulthood . 	it was a period that would mercilessly force me to exit boyhood and thrust me into the unwelcome arms of adulthood .	1	-3	 it[0] was[0] a[0] period[0] that[0] would[0] mercilessly[-1][--1 LastWordBoosterStrength] force[-1] me[0] to[0] exit[-1] boyhood[0] and[0] thrust[0] me[0] into[0] the[0] unwelcome[-2] arms[0] of[0] adulthood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but of all the experiences that i collected throughout those tender years , i can honestly say that the toughest and the scariest thing that i had to cope with was my raging hormones and my crazed curiosity about girls and sex . 	but of all the experiences that i collected throughout those tender years , i can honestly say that the toughest and the scariest thing that i had to cope with was my raging hormones and my crazed curiosity about girls and sex .	3	-4	 but[0] of[0] all[0] the[0] experiences[0] that[0] i[0] collected[0] throughout[0] those[0] tender[2] years[0] i[0] can[0] honestly[0] say[0] that[0] the[0] toughest[-1] and[0] the[0] scariest[-3] thing[0] that[0] i[0] had[0] to[0] cope[0] with[0] was[0] my[0] raging[-3] hormones[0] and[0] my[0] crazed[0] curiosity[0] about[0] girls[0] and[0] sex[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
yes , more scarier than my seventh grade english teacher and even scarier than the bullies that constantly hounded me , trying to deal with my personal wonderment about sex was like trying to fight an invisible monster . 	yes , more scarier than my seventh grade english teacher and even scarier than the bullies that constantly hounded me , trying to deal with my personal wonderment about sex was like trying to fight an invisible monster .	2	-3	 yes[0] more[0] scarier[0] than[0] my[0] seventh[0] grade[0] english[0] teacher[0] and[0] even[0] scarier[0] than[0] the[0] bullies[0] that[0] constantly[0] hounded[0] me[0] trying[0] to[0] deal[0] with[0] my[0] personal[0] wonderment[0] about[0] sex[0] was[0] like[1] trying[0] to[0] fight[-2] an[0] invisible[-1] monster[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for all teenagers , it's almost like a rite of passage . 	for all teenagers , it's almost like a rite of passage .	2	-1	 for[0] all[0] teenagers[0] it's[0] almost[0] like[1] a[0] rite[0] of[0] passage[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and what we did was sometimes downright nasty , sometimes funny , and sometimes shocking . 	and what we did was sometimes downright nasty , sometimes funny , and sometimes shocking .	1	-3	 and[0] what[0] we[0] did[0] was[0] sometimes[0] downright[0] nasty[-2] sometimes[0] funny[1][-1 LastWordBoosterStrength] and[0] sometimes[0] shocking[-2][--1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and all of that is terrifically and shamelessly brought to light in what might be the funniest movie this summer . 	and all of that is terrifically and shamelessly brought to light in what might be the funniest movie this summer .	4	-3	 and[0] all[0] of[0] that[0] is[0] terrifically[3] and[0] shamelessly[-2] brought[0] to[0] light[0] in[0] what[0] might[0] be[0] the[0] funniest[1] movie[0] this[0] summer[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
 american pie' is a comedy about four sexually frustrated seniors that enter into a pact to lose their virginity by the end of the school year . 	 american pie' is a comedy about four sexually frustrated seniors that enter into a pact to lose their virginity by the end of the school year .	1	-3	 american[0] pie'[0] is[0] a[0] comedy[0] about[0] four[0] sexually[0] frustrated[-2] seniors[0] that[0] enter[0] into[0] a[0] pact[0] to[0] lose[-1] their[0] virginity[0] by[0] the[0] end[0] of[0] the[0] school[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
just how great are their hormones raging ? 	just how great are their hormones raging ?	3	-4	 just[0] how[0] great[2] are[0] their[0] hormones[0] raging[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one of them notes , after watching disney's the little mermaid , that ariel is soooo hot . 	one of them notes , after watching disney's the little mermaid , that ariel is so hot .	2	-1	 one[0] of[0] them[0] notes[0] after[0] watching[0] disney's[0] the[0] little[0] mermaid[0] that[0] ariel[0] is[0] soooo/so[0][+0.6 MultipleLetters] hot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the four schoolmates are kevin , oz , finch and jim . 	the four schoolmates are kevin , oz , finch and jim .	1	-1	 the[0] four[0] schoolmates[0] are[0] kevin[0] oz[0] finch[0] and[0] jim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
