warning : this review contains some spoilers for the 1964 film " fail-safe . " 	Translation	Positive	Negative	EmotionRationale
if you haven't seen the film yet , proceed with caution . 	if you haven't seen the film yet , proceed with caution .	1	-1	 if[0] you[0] haven't[0] seen[0] the[0] film[0] yet[0] proceed[0] with[0] caution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nutshell : a relevant , intelligent , suspenseful drama . 	nutshell : a relevant , intelligent , suspenseful drama .	2	-1	 nutshell[0] a[0] relevant[0] intelligent[1] suspenseful[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still powerful today , even after the end of the cold war . 	still powerful today , even after the end of the cold war .	1	-3	 still[0] powerful[0] today[0] even[0] after[0] the[0] end[0] of[0] the[0] cold[-1] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
-------------------- " fail-safe " ( usa , 1964 ) drama , 111 minutes 	- " fail-safe " ( usa , 1964 ) drama , 11 minutes	2	-3	 fail[-2] safe[1] usa[0] 1964[0] drama[0] 111/11[0] minutes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
screenplay by walter bernstein based on the novel by eugene burdick and harvey wheeler produced by max e . youngstein directed by sidney lumet 	screenplay by walter bernstein based on the novel by eugene burdick and harvey wheeler produced by max e .<br> youngstein directed by sidney lumet	1	-1	 screenplay[0] by[0] walter[0] bernstein[0] based[0] on[0] the[0] novel[0] by[0] eugene[0] burdick[0] and[0] harvey[0] wheeler[0] produced[0] by[0] max[0] e[0] [[Sentence=-1,1=word max, 1-5]] youngstein[0] directed[0] by[0] sidney[0] lumet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
review by jamahl epsicokhan -------------------- 	review by jamahl epsicokhan -	1	-1	 review[0] by[0] jamahl[0] epsicokhan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most ironic aspect of nuclear war is that it doesn't have a winning side and a losing side . 	the most ironic aspect of nuclear war is that it doesn't have a winning side and a losing side .	2	-3	 the[0] most[0] ironic[-1] aspect[0] of[0] nuclear[0] war[-2] is[0] that[0] it[0] doesn't[0] have[0] a[0] winning[1] side[0] and[0] a[0] losing[-2] side[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in a nuclear confrontation , everybody loses , and the aftereffects have devastating effects that impact the entire world--assuming the world survives . 	in a nuclear confrontation , everybody loses , and the aftereffects have devastating effects that impact the entire world-assuming the world survives .	1	-5	 in[0] a[0] nuclear[0] confrontation[-2] everybody[0] loses[-1] and[0] the[0] aftereffects[0] have[0] devastating[-4] effects[0] that[0] impact[0] the[0] entire[0] world[0] assuming[0] the[0] world[0] survives[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the idea--and perhaps the only real option--is to avoid war at all costs . 	the idea-and perhaps the only real option-is to avoid war at all costs .	1	-3	 the[0] idea[0] and[0] perhaps[0] the[0] only[0] real[0] option[0] is[0] to[0] avoid[-1] war[-2] at[0] all[0] costs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is the theme of sidney lumet's " fail-safe , " a fictional drama based on the novel by eugene burdick and harvey wheeler . 	this is the theme of sidney lumet's " fail-safe , " a fictional drama based on the novel by eugene burdick and harvey wheeler .	2	-3	 this[0] is[0] the[0] theme[0] of[0] sidney[0] lumet's[0] fail[-2] safe[1] a[0] fictional[0] drama[0] based[0] on[0] the[0] novel[0] by[0] eugene[0] burdick[0] and[0] harvey[0] wheeler[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " fail-safe " takes place during the heart of the cold war ( the actual film was released two years after the cuban missile crisis ) , when the united states and the soviet union were in static discord over an issue that can be summarized in a single word : communism . 	 " fail-safe " takes place during the heart of the cold war ( the actual film was released two years after the cuban missile crisis ) , when the united states and the soviet union were in static discord over an issue that can be summarized in a single word : communism .	2	-3	 fail[-2] safe[1] takes[0] place[0] during[0] the[0] heart[0] of[0] the[0] cold[-1] war[-2] the[0] actual[0] film[0] was[0] released[0] two[0] years[0] after[0] the[0] cuban[0] missile[0] crisis[-2] when[0] the[0] united[0] states[0] and[0] the[0] soviet[0] union[0] were[0] in[0] static[-1] discord[-1] over[0] an[0] issue[0] that[0] can[0] be[0] summarized[0] in[0] a[0] single[0] word[0] communism[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the premise centers around a combination of accidents and operation flaws . 	the premise centers around a combination of accidents and operation flaws .	1	-2	 the[0] premise[0] centers[0] around[0] a[0] combination[0] of[0] accidents[-1] and[0] operation[0] flaws[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
