who would have thought ? 	Translation	Positive	Negative	EmotionRationale
jim carrey does drama . 	jim carrey does drama .	1	-1	 jim[0] carrey[0] does[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i first saw the advertisement for the truman show , i thought , " what a hilarious idea for a movie ! " 	when i first saw the advertisement for the truman show , i thought , " what a hilarious idea for a movie !<br> "	3	-1	 when[0] i[0] first[0] saw[0] the[0] advertisement[0] for[0] the[0] truman[0] show[0] i[0] thought[0] what[0] a[0] hilarious[2] idea[0] for[0] a[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , it was an even better premise for a drama . 	however , it was an even better premise for a drama .	1	-1	 however[0] it[0] was[0] an[0] even[0] better[0] premise[0] for[0] a[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the truman show takes us into a world that revolves around one man . 	the truman show takes us into a world that revolves around one man .	1	-1	 the[0] truman[0] show[0] takes[0] us[0] into[0] a[0] world[0] that[0] revolves[0] around[0] one[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that man is truman burbank ( jim carrey ) . 	that man is truman burbank ( jim carrey ) .	1	-1	 that[0] man[0] is[0] truman[0] burbank[0] jim[0] carrey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
truman has no clue what is really going on in his world and frankly , cristof wants to keep it that way . 	truman has no clue what is really going on in his world and frankly , cristof wants to keep it that way .	1	-1	 truman[0] has[0] no[0] clue[0] what[0] is[0] really[0] going[0] on[0] in[0] his[0] world[0] and[0] frankly[0] cristof[0] wants[0] to[0] keep[0] it[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christof is the " god " of this made-up world . 	christof is the " god " of this made-up world .	1	-1	 christof[0] is[0] the[0] god[0] of[0] this[0] made[0] up[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he keeps everything running and gives the actors their roles . 	he keeps everything running and gives the actors their roles .	1	-1	 he[0] keeps[0] everything[0] running[0] and[0] gives[0] the[0] actors[0] their[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there were a few attempts to tell truman about his world , but they failed and life went on as normal . 	there were a few attempts to tell truman about his world , but they failed and life went on as normal .	1	-3	 there[0] were[0] a[0] few[0] attempts[0] to[0] tell[0] truman[0] about[0] his[0] world[0] but[0] they[0] failed[-2] and[0] life[0] went[0] on[0] as[0] normal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the opening parts of the film introduce to truman's world . 	the opening parts of the film introduce to truman's world .	1	-1	 the[0] opening[0] parts[0] of[0] the[0] film[0] introduce[0] to[0] truman's[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see what he is doing at his current age , then we get a flashback at his past . 	we see what he is doing at his current age , then we get a flashback at his past .	1	-1	 we[0] see[0] what[0] he[0] is[0] doing[0] at[0] his[0] current[0] age[0] then[0] we[0] get[0] a[0] flashback[0] at[0] his[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it may seem a tad boring , but it is so intriguing that you will fall in love with the film right from the start . 	it may seem a tad boring , but it is so intriguing that you will fall in love with the film right from the start .	3	-2	 it[0] may[0] seem[0] a[0] tad[0] boring[-1] but[0] it[0] is[0] so[0] intriguing[0] that[0] you[0] will[0] fall[0] in[0] love[2] with[0] the[0] film[0] right[0] from[0] the[0] start[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film can be described in one word : weird . 	the film can be described in one word : weird .	1	-2	 the[0] film[0] can[0] be[0] described[0] in[0] one[0] word[0] weird[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems like such a simple idea , yet it is something that a majority of us would never think of , but andrew niccol did . 	it seems like such a simple idea , yet it is something that a majority of us would never think of , but andrew niccol did .	2	-1	 it[0] seems[0] like[1] such[0] a[0] simple[0] idea[0] yet[0] it[0] is[0] something[0] that[0] a[0] majority[0] of[0] us[0] would[0] never[0] think[0] of[0] but[0] andrew[0] niccol[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it seems like a warped idea , but it is andrew's idea and he did wonders with it . 	it seems like a warped idea , but it is andrew's idea and he did wonders with it .	2	-2	 it[0] seems[0] like[1] a[0] warped[-1] idea[0] but[0] it[0] is[0] andrew's[0] idea[0] and[0] he[0] did[0] wonders[0] with[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jim carrey actually lived up to the hype . 	jim carrey actually lived up to the hype .	1	-1	 jim[0] carrey[0] actually[0] lived[0] up[0] to[0] the[0] hype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the hype , whether good or bad , always focused on carrey's ability to do drama . 	the hype , whether good or bad , always focused on carrey's ability to do drama .	2	-2	 the[0] hype[0] whether[0] good[1] or[0] bad[-1] always[0] focused[0] on[0] carrey's[0] ability[0] to[0] do[0] drama[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no one doubted how extraordinary this film could be , the only thing they doubted was carrey . 	no one doubted how extraordinary this film could be , the only thing they doubted was carrey .	1	-2	 no[0] one[0] doubted[-1] how[0] extraordinary[0] this[0] film[0] could[0] be[0] the[0] only[0] thing[0] they[0] doubted[-1] was[0] carrey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and he showed them all up . 	and he showed them all up .	1	-1	 and[0] he[0] showed[0] them[0] all[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jim carrey was snubbed at the oscars . 	jim carrey was snubbed at the oscars .	1	-1	 jim[0] carrey[0] was[0] snubbed[0] at[0] the[0] oscars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i do not think he was the best actor , but he deserved the nomination . 	i do not think he was the best actor , but he deserved the nomination .	2	-1	 i[0] do[0] not[0] think[0] he[0] was[0] the[0] best[1] actor[0] but[0] he[0] deserved[0] the[0] nomination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he plays truman burbank , the unsuspecting star of the most popular television show in the world . 	he plays truman burbank , the unsuspecting star of the most popular television show in the world .	2	-1	 he[0] plays[1] truman[0] burbank[0] the[0] unsuspecting[0] star[0] of[0] the[0] most[0] popular[0] television[0] show[0] in[0] the[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
