seen may 19 , 1999 at 5 p . m . at the crossgates cinema 18 ( guilderland , n . y . ) , theater #1 , with my brother john for $8 . 50 . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * * * : excellent seats , sound and picture] 	[theater rating : * * * * : excellent seats , sound and picture]	4	-1	 [theater[0] rating[0] excellent[3] seats[0] sound[0] and[0] picture][0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 ( critic's note : this review is the longest i've ever written and still only scratches the surface . 	 ( critic's note : this review is the longest i've ever written and still only scratches the surface .	1	-1	 critic's[0] note[0] this[0] review[0] is[0] the[0] longest[0] i've[0] ever[0] written[0] and[0] still[0] only[0] scratches[0] the[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd recommend this be read only by those who have seen the film as a form of critical analysis . ) 	i'd recommend this be read only by those who have seen the film as a form of critical analysis .<br> )	1	-2	 i'd[0] recommend[0] this[0] be[0] read[0] only[0] by[0] those[0] who[0] have[0] seen[0] the[0] film[0] as[0] a[0] form[0] of[0] critical[-1] analysis[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as my friend and fellow film critic ted prigge said in his review of  the phantom menace' - how do i even write this review ? 	as my friend and fellow film critic ted prigge said in his review of  the phantom menace' - how do i even write this review ?	2	-2	 as[0] my[0] friend[1] and[0] fellow[0] film[0] critic[-1] ted[0] prigge[0] said[0] in[0] his[0] review[0] of[0] the[0] phantom[0] menace'[0] how[0] do[0] i[0] even[0] write[0] this[0] review[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
never mind the fact that i've been waiting for a new  star wars' movie since i was seven years old . 	never mind the fact that i've been waiting for a new  star wars' movie since i was seven years old .	1	-1	 never[0] mind[0] the[0] fact[0] that[0] i've[0] been[0] waiting[0] for[0] a[0] new[0] star[0] wars'[0] movie[0] since[0] i[0] was[0] seven[0] years[0] old[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never mind the fact everyone on the internet had already dissected and discussed the movie before it was even released . 	never mind the fact everyone on the internet had already dissected and discussed the movie before it was even released .	1	-1	 never[0] mind[0] the[0] fact[0] everyone[0] on[0] the[0] internet[0] had[0] already[0] dissected[0] and[0] discussed[0] the[0] movie[0] before[0] it[0] was[0] even[0] released[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never mind that there's so much going on in this movie in terms of plot , action , special effects and long-term story that to analyze every aspect would take a lot of time and energy and still wouldn't cover everything . 	never mind that there's so much going on in this movie in terms of plot , action , special effects and long-term story that to analyze every aspect would take a lot of time and energy and still wouldn't cover everything .	2	-1	 never[0] mind[0] that[0] there's[0] so[0] much[0] going[0] on[0] in[0] this[0] movie[0] in[0] terms[0] of[0] plot[0] action[0] special[1] effects[0] and[0] long[0] term[0] story[0] that[0] to[0] analyze[0] every[0] aspect[0] would[0] take[0] a[0] lot[0] of[0] time[0] and[0] energy[0] and[0] still[0] wouldn't[0] cover[0] everything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and also like ted does in all of his reviews , i'll try to review this in a way different from my usual reviews and instead write as casually as possible as if i was talking directly to you , the reader . 	and also like ted does in all of his reviews , i'll try to review this in a way different from my usual reviews and instead write as casually as possible as if i was talking directly to you , the reader .	2	-1	 and[0] also[0] like[1] ted[0] does[0] in[0] all[0] of[0] his[0] reviews[0] i'll[0] try[0] to[0] review[0] this[0] in[0] a[0] way[0] different[0] from[0] my[0] usual[0] reviews[0] and[0] instead[0] write[0] as[0] casually[0] as[0] possible[0] as[0] if[0] i[0] was[0] talking[0] directly[0] to[0] you[0] the[0] reader[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
before we can begin analyzing the specific aspects of the film , many of the most general and most significant factors must be considered ( to get the specifics of the film , skip this and the next four paragraphs ) . 	before we can begin analyzing the specific aspects of the film , many of the most general and most significant factors must be considered ( to get the specifics of the film , skip this and the next four paragraphs ) .	1	-1	 before[0] we[0] can[0] begin[0] analyzing[0] the[0] specific[0] aspects[0] of[0] the[0] film[0] many[0] of[0] the[0] most[0] general[0] and[0] most[0] significant[0] factors[0] must[0] be[0] considered[0] to[0] get[0] the[0] specifics[0] of[0] the[0] film[0] skip[0] this[0] and[0] the[0] next[0] four[0] paragraphs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as has been made obvious for the last several years , another trilogy of films will be produced to account for the [missing] initial three installments of the  star wars' series ( the first of the films was actually episode four , not one ) . 	as has been made obvious for the last several years , another trilogy of films will be produced to account for the [missing] initial three instalments of the  star wars' series ( the first of the films was actually episode four , not one ) .	1	-1	 as[0] has[0] been[0] made[0] obvious[0] for[0] the[0] last[0] several[0] years[0] another[0] trilogy[0] of[0] films[0] will[0] be[0] produced[0] to[0] account[0] for[0] the[0] [missing][0] initial[0] three[0] installments/instalments[0] of[0] the[0] star[0] wars'[0] series[0] the[0] first[0] of[0] the[0] films[0] was[0] actually[0] episode[0] four[0] not[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
