50's `aliens vs . 	Translation	Positive	Negative	EmotionRationale
earth' idea revamped ! 	earth' idea revamped !	1	-1	 earth'[0] idea[0] revamped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you have been following the movie news over the net , you could not have escaped the hype over id4 . 	if you have been following the movie news over the net , you could not have escaped the hype over id4 .	1	-1	 if[0] you[0] have[0] been[0] following[0] the[0] movie[0] news[0] over[0] the[0] net[0] you[0] could[0] not[0] have[0] escaped[0] the[0] hype[0] over[0] id4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it promises to be the summer film of the year and it has all the elements necessary . 	it promises to be the summer film of the year and it has all the elements necessary .	2	-1	 it[0] promises[1] to[0] be[0] the[0] summer[0] film[0] of[0] the[0] year[0] and[0] it[0] has[0] all[0] the[0] elements[0] necessary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
id4 opened in the us on 2nd of july , and up till now , only after a week of release , it has nearly touched the us 100 million mark , a phenomenon last observed when jurassic park was released back in 1993 . 	id4 opened in the us on 2nd of july , and up till now , only after a week of release , it has nearly touched the us 100 million mark , a phenomenon last observed when jurassic park was released back in 1993 .	1	-1	 id4[0] opened[0] in[0] the[0] us[0] on[0] 2nd[0] of[0] july[0] and[0] up[0] till[0] now[0] only[0] after[0] a[0] week[0] of[0] release[0] it[0] has[0] nearly[0] touched[0] the[0] us[0] 100[0] million[0] mark[0] a[0] phenomenon[0] last[0] observed[0] when[0] jurassic[0] park[0] was[0] released[0] back[0] in[0] 1993[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the premise of the movie is disgustingly simple : earth defends itself against the aliens , a typical and highly popular 50's hollywood theme which manifested itself in many films produced in that era . 	the premise of the movie is disgustingly simple : earth defends itself against the aliens , a typical and highly popular 50's hollywood theme which manifested itself in many films produced in that era .	1	-4	 the[0] premise[0] of[0] the[0] movie[0] is[0] disgustingly[-3] simple[0] earth[0] defends[0] itself[0] against[-1] the[0] aliens[0] a[0] typical[0] and[0] highly[0] popular[0] 50's[0] hollywood[0] theme[0] which[0] manifested[0] itself[0] in[0] many[0] films[0] produced[0] in[0] that[0] era[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie opens via star wars , however unoriginal it may be , it worked . 	the movie opens via star wars , however unoriginal it may be , it worked .	1	-3	 the[0] movie[0] opens[0] via[0] star[0] wars[-2] however[0] unoriginal[0] it[0] may[0] be[0] it[0] worked[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the aliens have sent a large mother ship ( supposedly to be 1/4 size of the moon ) to attack earth by deploying attack ships 15 miles in radius to all the major cities on earth . 	the aliens have sent a large mother ship ( supposedly to be 1/4 size of the moon ) to attack earth by deploying attack ships 15 miles in radius to all the major cities on earth .	1	-3	 the[0] aliens[0] have[0] sent[0] a[0] large[0] mother[0] ship[0] supposedly[0] to[0] be[0] 1/4[0] size[0] of[0] the[0] moon[0] to[0] attack[-2] earth[0] by[0] deploying[0] attack[-2] ships[0] 15[0] miles[0] in[0] radius[0] to[0] all[0] the[0] major[0] cities[0] on[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the us president ( pullman ) does not know of the aliens' intention but soon finds out when david ( goldblum ) a scientist , discovers that the aliens are counting down to a synchronised attack on all the major cities . 	the us president ( pullman ) does not know of the aliens' intention but soon finds out when david ( goldblum ) a scientist , discovers that the aliens are counting down to a synchronised attack on all the major cities .	1	-3	 the[0] us[0] president[0] pullman[0] does[0] not[0] know[0] of[0] the[0] aliens'[0] intention[0] but[0] soon[0] finds[0] out[0] when[0] david[0] goldblum[0] a[0] scientist[0] discovers[0] that[0] the[0] aliens[0] are[0] counting[0] down[0] to[0] a[0] synchronised[0] attack[-2] on[0] all[0] the[0] major[0] cities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
capt . hiller ( smith ) , a hot-shot f-18 pilot are one of the hundreds assigned to take out the hovering alien attack ship over washington dc . 	capt .<br> hiller ( smith ) , a hot-shot f-18 pilot are one of the hundreds assigned to take out the hovering alien attack ship over washington dc .	1	-3	 capt[0] [[Sentence=-1,1=word max, 1-5]] hiller[0] smith[0] a[0] hot[0] shot[-1] f[0] -18[0] pilot[0] are[0] one[0] of[0] the[0] hundreds[0] assigned[0] to[0] take[0] out[0] the[0] hovering[0] alien[-1] attack[-2] ship[0] over[0] washington[0] dc[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his squadron came under heavy alien fire after discovering that their weapons were useless against the invaders , he crash lands after a spectacular 1-on-1 chase over the grand canyon , one of the many highlights of the movie . 	his squadron came under heavy alien fire after discovering that their weapons were useless against the invaders , he crash lands after a spectacular 1-on-1 chase over the grand canyon , one of the many highlights of the movie .	2	-3	 his[0] squadron[0] came[0] under[0] heavy[0] alien[-1] fire[0] after[0] discovering[0] that[0] their[0] weapons[-1] were[0] useless[-2] against[-1] the[0] invaders[-1] he[0] crash[0] lands[0] after[0] a[0] spectacular[0] 1[0] on[0] -1[0] chase[-1] over[0] the[0] grand[1] canyon[0] one[0] of[0] the[0] many[0] highlights[0] of[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
