pitch black is a sheep in wolf's clothing . 	Translation	Positive	Negative	EmotionRationale
it is full of darkness , danger and violence and if you buy into the marketing hype , an unsettling and scary film going experience . 	it is full of darkness , danger and violence and if you buy into the marketing hype , an unsettling and scary film going experience .	1	-4	 it[0] is[0] full[0] of[0] darkness[0] danger[-1] and[0] violence[-3] and[0] if[0] you[0] buy[0] into[0] the[0] marketing[0] hype[0] an[0] unsettling[-1] and[0] scary[-3] film[0] going[0] experience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
don't be fooled . 	don't be fooled .	2	-1	 don't[0] be[0] fooled[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pitch black is a morality play masquerading as a scare-fest . 	pitch black is a morality play masquerading as a scare-fest .	1	-4	 pitch[0] black[0] is[0] a[0] morality[0] play[0] masquerading[0] as[0] a[0] scare[-3] fest[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it starts off with blistering intensity . 	it starts off with blistering intensity .	1	-1	 it[0] starts[0] off[0] with[0] blistering[0] intensity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a cargo spaceship crash lands on a planet apparently leeched of life by the scorching heat of three suns . 	a cargo spaceship crash lands on a planet apparently leeched of life by the scorching heat of three suns .	1	-2	 a[0] cargo[0] spaceship[0] crash[0] lands[0] on[0] a[0] planet[0] apparently[0] leeched[0] of[0] life[0] by[0] the[0] scorching[-1] heat[0] of[0] three[0] suns[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
among the survivors is fry ( mitchell ) , the ship's pilot , who spends the film wrestling with the fact that she tried to jettison the other passengers in her effort to land the craft safely . 	among the survivors is fry ( mitchell ) , the ship's pilot , who spends the film wrestling with the fact that she tried to jettison the other passengers in her effort to land the craft safely .	2	-1	 among[0] the[0] survivors[0] is[0] fry[0] mitchell[0] the[0] ship's[0] pilot[0] who[0] spends[0] the[0] film[0] wrestling[0] with[0] the[0] fact[0] that[0] she[0] tried[0] to[0] jettison[0] the[0] other[0] passengers[0] in[0] her[0] effort[0] to[0] land[0] the[0] craft[0] safely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is imam ( david ) , an islamic leader whose faith in his god is tested repeatedly throughout the film . 	there is imam ( david ) , an islamic leader whose faith in his god is tested repeatedly throughout the film .	2	-1	 there[0] is[0] imam[0] david[0] an[0] islamic[0] leader[0] whose[0] faith[1] in[0] his[0] god[0] is[0] tested[0] repeatedly[0] throughout[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is a law enforcement officer in the form of johns ( hauser ) , who attacks every situation with square jawed authoritarian zeal . 	there is a law enforcement officer in the form of johns ( hauser ) , who attacks every situation with square jawed authoritarian zeal .	1	-3	 there[0] is[0] a[0] law[0] enforcement[-1] officer[0] in[0] the[0] form[0] of[0] johns[0] hauser[0] who[0] attacks[-2] every[0] situation[0] with[0] square[0] jawed[0] authoritarian[0] zeal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and there is riddick ( diesel ) , a menacing , muscle-bound convicted murderer who's being brought back to justice by johns . 	and there is riddick ( diesel ) , a menacing , muscle-bound convicted murderer who's being brought back to justice by johns .	1	-4	 and[0] there[0] is[0] riddick[0] diesel[0] a[0] menacing[0] muscle[0] bound[0] convicted[-1] murderer[-3] who's[0] being[0] brought[0] back[0] to[0] justice[0] by[0] johns[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the group quickly sizes up the situation and each other . 	the group quickly sizes up the situation and each other .	1	-1	 the[0] group[0] quickly[0] sizes[0] up[0] the[0] situation[0] and[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
confident in their assessment of matters , a plan is set in motion to escape their hellish environment . 	confident in their assessment of matters , a plan is set in motion to escape their hellish environment .	2	-3	 confident[1] in[0] their[0] assessment[0] of[0] matters[0] a[0] plan[0] is[0] set[0] in[0] motion[0] to[0] escape[0] their[0] hellish[-2] environment[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
those plans are shredded by the appearance of one of the planet's wildlife , a predatory , sometimes winged , species that enjoys the taste of blood and flesh . 	those plans are shredded by the appearance of one of the planet's wildlife , a predatory , sometimes winged , species that enjoys the taste of blood and flesh .	3	-2	 those[0] plans[0] are[0] shredded[-1] by[0] the[0] appearance[0] of[0] one[0] of[0] the[0] planet's[0] wildlife[0] a[0] predatory[0] sometimes[0] winged[0] species[0] that[0] enjoys[2] the[0] taste[0] of[0] blood[0] and[0] flesh[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fortunately , the creatures are light sensitive and are forced to live in networks of catacombs under the planet's surface . 	fortunately , the creatures are light sensitive and are forced to live in networks of catacombs under the planet's surface .	1	-1	 fortunately[0] the[0] creatures[0] are[0] light[0] sensitive[0] and[0] are[0] forced[0] to[0] live[0] in[0] networks[0] of[0] catacombs[0] under[0] the[0] planet's[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the group has managed to land on the planet moments before an eclipse is about to occur , taking away their one protection from the monsters . 	unfortunately , the group has managed to land on the planet moments before an eclipse is about to occur , taking away their one protection from the monsters .	1	-2	 unfortunately[-1] the[0] group[0] has[0] managed[0] to[0] land[0] on[0] the[0] planet[0] moments[0] before[0] an[0] eclipse[0] is[0] about[0] to[0] occur[0] taking[0] away[0] their[0] one[0] protection[0] from[0] the[0] monsters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the group's savior comes in the form of johns , whose decisive leadership looks to deliver them from purgatory . 	the group's savior comes in the form of johns , whose decisive leadership looks to deliver them from purgatory .	1	-1	 the[0] group's[0] savior[0] comes[0] in[0] the[0] form[0] of[0] johns[0] whose[0] decisive[0] leadership[0] looks[0] to[0] deliver[0] them[0] from[0] purgatory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or does it ? 	or does it ?	1	-1	 or[0] does[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
