jacques tati's 1953 classic " les vacances de m . hulot " ( also known as " mr . hulot's vacation , " in english ) ought to be the textbook on how to do non ? dialogue comedy in film . 	Translation	Positive	Negative	EmotionRationale
the characters hardly ever speak to each other directly , and the film operates on the paper ? thin premise that monsieur hulot , played by tati himself , is awkward and clumsy and generally manages to annoy the other guests at the beach resort hotel where he is taking a week's vacation . 	the characters hardly ever speak to each other directly , and the film operates on the paper ?<br> thin premise that monsieur hulot , played by tati himself , is awkward and clumsy and generally manages to annoy the other guests at the beach resort hotel where he is taking a week's vacation .	1	-3	 the[0] characters[0] hardly[0] ever[0] speak[0] to[0] each[0] other[0] directly[0] and[0] the[0] film[0] operates[0] on[0] the[0] paper[0] [[Sentence=-1,1=word max, 1-5]] thin[0] premise[0] that[0] monsieur[0] hulot[0] played[0] by[0] tati[0] himself[0] is[0] awkward[-1] and[0] clumsy[-1] and[0] generally[0] manages[0] to[0] annoy[-2] the[0] other[0] guests[0] at[0] the[0] beach[0] resort[0] hotel[0] where[0] he[0] is[0] taking[0] a[0] week's[0] vacation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yet the film had me beside myself laughing more consistently than any in recent memory . 	yet the film had me beside myself laughing more consistently than any in recent memory .	2	-1	 yet[0] the[0] film[0] had[0] me[0] beside[0] myself[0] laughing[1] more[0] consistently[0] than[0] any[0] in[0] recent[0] memory[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
part of the reason the film works so well is the clever setup for the various gags . 	part of the reason the film works so well is the clever setup for the various gags .	1	-1	 part[0] of[0] the[0] reason[0] the[0] film[0] works[0] so[0] well[0] is[0] the[0] clever[0] setup[0] for[0] the[0] various[0] gags[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
slapstick has often been regarded as an unsophisticated and even crude form of comedy , but i think part of the reason for this is that it often seems forced : you can only see movie characters start running after something and then crash face-first into a pole so many times before you start to wonder what all these poles are doing there in the first place or why these people don't watch where they're going . 	slapstick has often been regarded as an unsophisticated and even crude form of comedy , but i think part of the reason for this is that it often seems forced : you can only see movie characters start running after something and then crash face-first into a pole so many times before you start to wonder what all these poles are doing there in the first place or why these people don't watch where they're going .	1	-2	 slapstick[-1] has[0] often[0] been[0] regarded[0] as[0] an[0] unsophisticated[0] and[0] even[0] crude[-1] form[0] of[0] comedy[0] but[0] i[0] think[0] part[0] of[0] the[0] reason[0] for[0] this[0] is[0] that[0] it[0] often[0] seems[0] forced[0] you[0] can[0] only[0] see[0] movie[0] characters[0] start[0] running[0] after[0] something[0] and[0] then[0] crash[0] face[0] first[0] into[0] a[0] pole[0] so[0] many[0] times[0] before[0] you[0] start[0] to[0] wonder[0] what[0] all[0] these[0] poles[0] are[0] doing[0] there[0] in[0] the[0] first[0] place[0] or[0] why[0] these[0] people[0] don't[0] watch[0] where[0] they're[0] going[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in " les vacances de m . hulot , " the gags build upon each other and often start out relatively low-key . 	in " les vacances de m .<br> hulot , " the gags build upon each other and often start out relatively low-key .	1	-2	 in[0] les[0] vacances[0] de[0] m[0] [[Sentence=-1,1=word max, 1-5]] hulot[0] the[0] gags[0] build[0] upon[0] each[0] other[0] and[0] often[0] start[0] out[0] relatively[0] low[-1] key[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in one sequence , for example , hulot is painting the side of his small row boat on the beach when , while his back is turned , the paint can gets caught up in the oncoming waves , washes away , then comes back up on the other side of the boat . 	in one sequence , for example , hulot is painting the side of his small row boat on the beach when , while his back is turned , the paint can gets caught up in the oncoming waves , washes away , then comes back up on the other side of the boat .	1	-1	 in[0] one[0] sequence[0] for[0] example[0] hulot[0] is[0] painting[0] the[0] side[0] of[0] his[0] small[0] row[0] boat[0] on[0] the[0] beach[0] when[0] while[0] his[0] back[0] is[0] turned[0] the[0] paint[0] can[0] gets[0] caught[0] up[0] in[0] the[0] oncoming[0] waves[0] washes[0] away[0] then[0] comes[0] back[0] up[0] on[0] the[0] other[0] side[0] of[0] the[0] boat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while crossing over to get the can , hulot steps in the boat and unknowingly cracks it . 	while crossing over to get the can , hulot steps in the boat and unknowingly cracks it .	1	-1	 while[0] crossing[0] over[0] to[0] get[0] the[0] can[0] hulot[0] steps[0] in[0] the[0] boat[0] and[0] unknowingly[0] cracks[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he actually takes the boat out into the water , it breaks in half , but the two halves flip up against each other , trapping him inside as the bystanders mistake it for a shark fin and panic on the beach ensues . 	when he actually takes the boat out into the water , it breaks in half , but the two halves flip up against each other , trapping him inside as the bystanders mistake it for a shark fin and panic on the beach ensues .	1	-3	 when[0] he[0] actually[0] takes[0] the[0] boat[0] out[0] into[0] the[0] water[0] it[0] breaks[0] in[0] half[0] but[0] the[0] two[0] halves[0] flip[0] up[0] against[-1] each[0] other[0] trapping[0] him[0] inside[0] as[0] the[0] bystanders[0] mistake[-1] it[0] for[0] a[0] shark[-1] fin[0] and[0] panic[-2] on[0] the[0] beach[0] ensues[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tati doesn't waste a single opportunity for humor ; scenes that might have yielded one joke in most comedies are good for at least four or five in this film . 	tati doesn't waste a single opportunity for humor ; scenes that might have yielded one joke in most comedies are good for at least four or five in this film .	3	-2	 tati[0] doesn't[0] waste[-1] a[0] single[0] opportunity[0] for[0] humor[2] scenes[0] that[0] might[0] have[0] yielded[0] one[0] joke[1] in[0] most[0] comedies[0] are[0] good[1] for[0] at[0] least[0] four[0] or[0] five[0] in[0] this[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it has been said that comedy relies on frustrating the audience's expectations , and " les vacances de m . hulot " succeeds brilliantly in that area as well . 	it has been said that comedy relies on frustrating the audience's expectations , and " les vacances de m .<br> hulot " succeeds brilliantly in that area as well .	3	-3	 it[0] has[0] been[0] said[0] that[0] comedy[0] relies[0] on[0] frustrating[-2] the[0] audience's[0] expectations[0] and[0] les[0] vacances[0] de[0] m[0] [[Sentence=-3,1=word max, 1-5]] hulot[0] succeeds[2] brilliantly[1] in[0] that[0] area[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-3 max of sentences]]]
