life is beautiful is a rare treat : a lighthearted comedy that tackles a very serious subject without committing the sins of being disrespectful , or , even worse , humorless . 	Translation	Positive	Negative	EmotionRationale
it combines a charming romance with a dash of farce , stirs in a little poignancy , and ends up a very enjoyable movie . 	it combines a charming romance with a dash of farce , stirs in a little poignancy , and ends up a very enjoyable movie .	4	-2	 it[0] combines[0] a[0] charming[1] romance[3] with[0] a[0] dash[0] of[0] farce[-1] stirs[0] in[0] a[0] little[0] poignancy[0] and[0] ends[0] up[0] a[0] very[0] enjoyable[2][1 LastWordBoosterStrength] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's an italian film , but don't let that discourage you . 	it's an italian film , but don't let that discourage you .	1	-2	 it's[0] an[0] italian[0] film[0] but[0] don't[0] let[0] that[0] discourage[-1] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
subtitle-phobes will be missing a wonderful experience . 	subtitle-phobes will be missing a wonderful experience .	3	-1	 subtitle[0] phobes[0] will[0] be[0] missing[0] a[0] wonderful[2] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
life is beautiful opens as a sweet romantic comedy , with the clownish , but good natured guido ( roberto benigni ) arriving in a rustic italian town to work as a waiter for his uncle . 	life is beautiful opens as a sweet romantic comedy , with the clownish , but good natured guido ( roberto benigni ) arriving in a rustic italian town to work as a waiter for his uncle .	4	-1	 life[0] is[0] beautiful[2] opens[0] as[0] a[0] sweet[1] romantic[3] comedy[0] with[0] the[0] clownish[0] but[0] good[1] natured[0] guido[0] roberto[0] benigni[1] arriving[0] in[0] a[0] rustic[0] italian[0] town[0] to[0] work[0] as[0] a[0] waiter[0] for[0] his[0] uncle[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the year is 1939 , and guido literally stumbles into the girl of his dreams , dora ( nicoletta braschi ) . 	the year is 1939 , and guido literally stumbles into the girl of his dreams , dora ( nicoletta braschi ) .	1	-1	 the[0] year[0] is[0] 1939[0] and[0] guido[0] literally[0] stumbles[0] into[0] the[0] girl[0] of[0] his[0] dreams[0] dora[0] nicoletta[0] braschi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their romance seems to be picture perfect , with only one stumbling block : she's already engaged to another man . 	their romance seems to be picture perfect , with only one stumbling block : she's already engaged to another man .	4	-2	 their[0] romance[3] seems[0] to[0] be[0] picture[0] perfect[1] with[0] only[0] one[0] stumbling[0] block[-1] she's[0] already[0] engaged[0] to[0] another[0] man[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
can guido overcome the odds and win his girl ? 	can guido overcome the odds and win his girl ?	1	-1	 can[0] guido[0] overcome[0] the[0] odds[0] and[0] win[0] his[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what do you think ? 	what do you think ?	1	-1	 what[0] do[0] you[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , five years later , things have taken a turn for the worse in italy . 	however , five years later , things have taken a turn for the worse in italy .	1	-3	 however[0] five[0] years[0] later[0] things[0] have[0] taken[0] a[0] turn[0] for[0] the[0] worse[-2] in[0] italy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fascists have stepped up their race initiatives , which is bad news for the jewish guido and his new son giosue ( giorgio cantarini ) , who are rounded up and shipped off to a concentration camp . 	the fascists have stepped up their race initiatives , which is bad news for the jewish guido and his new son giosue ( giorgio cantarini ) , who are rounded up and shipped off to a concentration camp .	1	-2	 the[0] fascists[0] have[0] stepped[0] up[0] their[0] race[0] initiatives[0] which[0] is[0] bad[-1] news[0] for[0] the[0] jewish[0] guido[0] and[0] his[0] new[0] son[0] giosue[0] giorgio[0] cantarini[0] who[0] are[0] rounded[0] up[0] and[0] shipped[0] off[0] to[0] a[0] concentration[0] camp[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
