it must be some sort of warped critical nightmare : the best movie of the year would be a summer vehicle , a jim carrey vehicle at that . 	Translation	Positive	Negative	EmotionRationale
and so it is . 	and so it is .	1	-1	 and[0] so[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_the truman show_ is the most perplexing , crazed , paranoid and rib-tickling morality play i've seen since i-don't-know-when . 	_the truman show_ is the most perplexing , crazed , paranoid and rib-tickling morality play i've seen since i-don't-know-when .	1	-3	 _the[0] truman[0] show_[0] is[0] the[0] most[0] perplexing[-1] crazed[0] paranoid[-2] and[0] rib[0] tickling[0] morality[0] play[0] i've[0] seen[0] since[0] i[0] don't[0] know[0] when[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't credit carrey . 	don't credit carrey .	1	-1	 don't[0] credit[0] carrey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it starts with andrew niccol ( gattaca ) , who created the script ten years ago . 	it starts with andrew niccol ( gattaca ) , who created the script ten years ago .	1	-1	 it[0] starts[0] with[0] andrew[0] niccol[0] gattaca[0] who[0] created[0] the[0] script[0] ten[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story , replete with sublte religious and philisophical undertones , is about a man who discovers that every day of his existence has been televised for a mass audience . 	the story , replete with sublte religious and philisophical undertones , is about a man who discovers that every day of his existence has been televised for a mass audience .	1	-1	 the[0] story[0] replete[0] with[0] sublte[0] religious[0] and[0] philisophical[0] undertones[0] is[0] about[0] a[0] man[0] who[0] discovers[0] that[0] every[0] day[0] of[0] his[0] existence[0] has[0] been[0] televised[0] for[0] a[0] mass[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( ironically , it was within these past ten years that " reality-based " television have become a predominant fixture into our culture . 	 ( ironically , it was within these past ten years that " reality-based " television have become a predominant fixture into our culture .	1	-2	 ironically[-1] it[0] was[0] within[0] these[0] past[0] ten[0] years[0] that[0] reality[0] based[0] television[0] have[0] become[0] a[0] predominant[0] fixture[0] into[0] our[0] culture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
who knew ? ) 	who knew ?<br> )	1	-1	 who[0] knew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one-upping niccol , it was when unlikely candidate-director peter weir took the helm that things fell into place . 	one-upping niccol , it was when unlikely candidate-director peter weir took the helm that things fell into place .	1	-1	 one[0] upping[0] niccol[0] it[0] was[0] when[0] unlikely[0] candidate[0] director[0] peter[0] weir[0] took[0] the[0] helm[0] that[0] things[0] fell[0] into[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weir had the nearly impossible task to create the unimitible tone , deftly mixing capra with kafka , throwing george bailey in a universe inhabited by rod serling . 	weir had the nearly impossible task to create the unimitible tone , deftly mixing capra with kafka , throwing george bailey in a universe inhabited by rod serling .	1	-2	 weir[0] had[0] the[0] nearly[0] impossible[0] task[0] to[0] create[0] the[0] unimitible[0] tone[0] deftly[0] mixing[0] capra[0] with[0] kafka[0] throwing[0] george[0] bailey[-1] in[0] a[0] universe[0] inhabited[0] by[0] rod[0] serling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was weir's first stroke of genius to create seahaven : a suburban paradise/prison that would make spielberg cower in shame . 	it was weir's first stroke of genius to create seahaven : a suburban paradise/prison that would make spielberg cower in shame .	1	-3	 it[0] was[0] weir's[0] first[0] stroke[0] of[0] genius[0] to[0] create[0] seahaven[0] a[0] suburban[0] paradise/prison[0] that[0] would[0] make[0] spielberg[0] cower[0] in[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for example , bystander-extras would walk around the block incessantly with flowers along with the latest issue of _dog fancy_ . 	for example , bystander-extras would walk around the block incessantly with flowers along with the latest issue of _dog fancy_ .	1	-2	 for[0] example[0] bystander[0] extras[0] would[0] walk[0] around[0] the[0] block[-1] incessantly[0] with[0] flowers[0] along[0] with[0] the[0] latest[0] issue[0] of[0] _dog[0] fancy_[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the nicest touch are the plethora of subtle hints for truman to _not_ leave the island . 	the nicest touch are the plethora of subtle hints for truman to _not_ leave the island .	2	-1	 the[0] nicest[1] touch[0] are[0] the[0] plethora[0] of[0] subtle[0] hints[0] for[0] truman[0] to[0] _not_[0] leave[0] the[0] island[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
credit weir for his second stroke : the casting of carrey . 	credit weir for his second stroke : the casting of carrey .	1	-1	 credit[0] weir[0] for[0] his[0] second[0] stroke[0] the[0] casting[0] of[0] carrey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carrey seems to be the type of character actor who would always turn " on " and act goofy whenever the camera is near . 	carrey seems to be the type of character actor who would always turn " on " and act goofy whenever the camera is near .	1	-1	 carrey[0] seems[0] to[0] be[0] the[0] type[0] of[0] character[0] actor[0] who[0] would[0] always[0] turn[0] on[0] and[0] act[0] goofy[0] whenever[0] the[0] camera[0] is[0] near[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not here . 	not here .	1	-1	 not[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his performance is so subverted you sometimes wonder if he is ever aware the camera is on . 	his performance is so subverted you sometimes wonder if he is ever aware the camera is on .	1	-1	 his[0] performance[0] is[0] so[0] subverted[0] you[0] sometimes[0] wonder[0] if[0] he[0] is[0] ever[0] aware[0] the[0] camera[0] is[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and although carrey does not deserve an academy award nomination ( just as well , the academy rarely honors goofy comedians , excepting robin williams ) , he stretches enough to alter his hyper-silly image considerably . 	and although carrey does not deserve an academy award nomination ( just as well , the academy rarely honors goofy comedians , excepting robin williams ) , he stretches enough to alter his hyper-silly image considerably .	1	-2	 and[0] although[0] carrey[0] does[0] not[0] deserve[0] an[0] academy[0] award[0] nomination[0] just[0] as[0] well[0] the[0] academy[0] rarely[0] honors[0] goofy[0] comedians[0] excepting[0] robin[0] williams[0] he[0] stretches[0] enough[0] to[0] alter[0] his[0] hyper[0] silly[-1] image[0] considerably[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
playing one who has the cameras constantly invading his most intimate moments turns to be quite the role of jim carrey's life . 	playing one who has the cameras constantly invading his most intimate moments turns to be quite the role of jim carrey's life .	2	-1	 playing[1] one[0] who[0] has[0] the[0] cameras[0] constantly[0] invading[0] his[0] most[0] intimate[0] moments[0] turns[0] to[0] be[0] quite[0] the[0] role[0] of[0] jim[0] carrey's[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no pun intended . 	no pun intended .	1	-1	 no[0] pun[0] intended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better in a smaller , more pivotal role is ed harris as christof , who mixes the right amount of his apollo 13 " work the problem , people " character with dustin hoffman's megaglomaniac producer in _wag the dog_ , and then only slightly svengalian . 	better in a smaller , more pivotal role is ed harris as christof , who mixes the right amount of his apollo 13 " work the problem , people " character with dustin hoffman's megaglomaniac producer in _wag the dog_ , and then only slightly svengalian .	1	-2	 better[0] in[0] a[0] smaller[0] more[0] pivotal[0] role[0] is[0] ed[0] harris[0] as[0] christof[0] who[0] mixes[0] the[0] right[0] amount[0] of[0] his[0] apollo[0] 13[0] work[0] the[0] problem[-1] people[0] character[0] with[0] dustin[0] hoffman's[0] megaglomaniac[0] producer[0] in[0] _wag[0] the[0] dog_[0] and[0] then[0] only[0] slightly[0] svengalian[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is clear that he is torn between the nielson ratings and truman's well being . 	it is clear that he is torn between the nielson ratings and truman's well being .	1	-1	 it[0] is[0] clear[0] that[0] he[0] is[0] torn[0] between[0] the[0] nielson[0] ratings[0] and[0] truman's[0] well[0] being[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , in his own misguided way he loves truman as a father to a son , and has provided the best universe he could provide . 	yes , in his own misguided way he loves truman as a father to a son , and has provided the best universe he could provide .	3	-1	 yes[0] in[0] his[0] own[0] misguided[0] way[0] he[0] loves[2] truman[0] as[0] a[0] father[0] to[0] a[0] son[0] and[0] has[0] provided[0] the[0] best[1] universe[0] he[0] could[0] provide[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he thinks . 	he thinks .	1	-1	 he[0] thinks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rounding out the cast is natascha mcelhone ( mrs . 	rounding out the cast is natascha mcelhone ( mrs .	1	-1	 rounding[0] out[0] the[0] cast[0] is[0] natascha[0] mcelhone[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dalloway ) as carrey's true " forbidden love " , sylvia , very effective in another pivotal small role . 	dalloway ) as carrey's true " forbidden love " , sylvia , very effective in another pivotal small role .	3	-2	 dalloway[0] as[0] carrey's[0] true[1] forbidden[-1] love[2] sylvia[0] very[0] effective[0] in[0] another[0] pivotal[0] small[0] role[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
