is it just me , or have disney films gradually lost their appeal ? 	Translation	Positive	Negative	EmotionRationale
i was almost stunned by the quality of " who framed roger rabbit ? " , a fun , unique look at a world where cartoons and people lived together . 	i was almost stunned by the quality of " who framed roger rabbit ?<br> " , a fun , unique look at a world where cartoons and people lived together .	2	-2	 i[0] was[0] almost[0] stunned[-1] by[0] the[0] quality[0] of[0] who[0] framed[0] roger[0] rabbit[0] [[Sentence=-2,1=word max, 1-5]] a[0] fun[1] unique[0] look[0] at[0] a[0] world[0] where[0] cartoons[0] and[0] people[0] lived[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the little mermaid " harkened back to , and perhaps surpassed , the classic disney animations from the first half of the century . 	 " the little mermaid " harkened back to , and perhaps surpassed , the classic disney animations from the first half of the century .	1	-1	 the[0] little[0] mermaid[0] harkened[0] back[0] to[0] and[0] perhaps[0] surpassed[0] the[0] classic[0] disney[0] animations[0] from[0] the[0] first[0] half[0] of[0] the[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the endless stream of " the little mermaid " wanna-be's is getting to me . 	however , the endless stream of " the little mermaid " wanna-be's is getting to me .	1	-1	 however[0] the[0] endless[0] stream[0] of[0] the[0] little[0] mermaid[0] wanna[0] be's[0] is[0] getting[0] to[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know the spiel : a lame plot recycled from some well-known story , colorful , almost psychedelic animation , the lead character who learns a valuable moral lesson , the comedic sidekick/sidekicks , the seemingly unattainable love interest , a few catchy songs , a few in-jokes for adults , and the occasional out of place warner-brothers-coyote-fall-off-the-cliff type joke . 	you know the spiel : a lame plot recycled from some well-known story , colorful , almost psychedelic animation , the lead character who learns a valuable moral lesson , the comedic sidekick/sidekicks , the seemingly unattainable love interest , a few catchy songs , a few in-jokes for adults , and the occasional out of place warner-brothers-coyote-fall-off-the-cliff type joke .	3	-3	 you[0] know[0] the[0] spiel[0] a[0] lame[-2] plot[0] recycled[0] from[0] some[0] well[0] known[0] story[0] colorful[0] almost[0] psychedelic[0] animation[0] the[0] lead[0] character[0] who[0] learns[0] a[0] valuable[1] moral[0] lesson[0] the[0] comedic[0] sidekick/sidekicks[0] the[0] seemingly[0] unattainable[0] love[2] interest[1] a[0] few[0] catchy[0] songs[0] a[0] few[0] in[0] jokes[1] for[0] adults[0] and[0] the[0] occasional[0] out[0] of[0] place[0] warner[0] brothers[0] coyote[0] fall[0] off[0] the[0] cliff[0] type[0] joke[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's a formula , and like any formula , it gets tiresome . 	it's a formula , and like any formula , it gets tiresome .	2	-2	 it's[0] a[0] formula[0] and[0] like[1] any[0] formula[0] it[0] gets[0] tiresome[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's why i'm delighted to hear that disney recently picked up the international distribution rights to the works of ghibli , a japanese cartoon studio . 	that's why i'm delighted to hear that disney recently picked up the international distribution rights to the works of ghibli , a japanese cartoon studio .	3	-1	 that's[0] why[0] i'm[0] delighted[2] to[0] hear[0] that[0] disney[0] recently[0] picked[0] up[0] the[0] international[0] distribution[0] rights[0] to[0] the[0] works[0] of[0] ghibli[0] a[0] japanese[0] cartoon[0] studio[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from what i've seen of their movies ( " kiki's delivery service " and the already english-dubbed and american- distributed " my neighbor totoro " ) , foreign audiences are in for a treat . 	from what i've seen of their movies ( " kiki's delivery service " and the already english-dubbed and american- distributed " my neighbor totoro " ) , foreign audiences are in for a treat .	2	-2	 from[0] what[0] i've[0] seen[0] of[0] their[0] movies[0] kiki's[0] delivery[0] service[0] and[0] the[0] already[0] english[0] dubbed[0] and[0] american[0] distributed[0] my[0] neighbor[0] totoro[0] foreign[-1] audiences[0] are[0] in[0] for[0] a[0] treat[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these movies , particularly " kiki's delivery service , " are wonderfully original and entertaining . 	these movies , particularly " kiki's delivery service , " are wonderfully original and entertaining .	3	-1	 these[0] movies[0] particularly[0] kiki's[0] delivery[0] service[0] are[0] wonderfully[2] original[0] and[0] entertaining[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " kiki's delivery service " starts with an unusual premise : kiki , upon hearing forecasts of clear skies , decides it is time for her to leave home . 	 " kiki's delivery service " starts with an unusual premise : kiki , upon hearing forecasts of clear skies , decides it is time for her to leave home .	1	-1	 kiki's[0] delivery[0] service[0] starts[0] with[0] an[0] unusual[0] premise[0] kiki[0] upon[0] hearing[0] forecasts[0] of[0] clear[0] skies[0] decides[0] it[0] is[0] time[0] for[0] her[0] to[0] leave[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is unusual because kiki isn't a college student or a young adult making her start on the world , but a thirteen year old girl eager to begin her training as a witch . 	this is unusual because kiki isn't a college student or a young adult making her start on the world , but a thirteen year old girl eager to begin her training as a witch .	1	-1	 this[0] is[0] unusual[0] because[0] kiki[0] isn't[0] a[0] college[0] student[0] or[0] a[0] young[0] adult[0] making[0] her[0] start[0] on[0] the[0] world[0] but[0] a[0] thirteen[0] year[0] old[0] girl[0] eager[0] to[0] begin[0] her[0] training[0] as[0] a[0] witch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
