when i first saw the previews for ron howard's latest film , my expectations were discouragingly low . 	Translation	Positive	Negative	EmotionRationale
a show about nothing ? 	a show about nothing ?	1	-1	 a[0] show[0] about[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sounds like " seinfeld . " 	sounds like " seinfeld .<br> "	2	-1	 sounds[0] like[1] seinfeld[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a guy whose entire life is broadcast 24 hours a day ? 	a guy whose entire life is broadcast 24 hours a day ?	1	-1	 a[0] guy[0] whose[0] entire[0] life[0] is[0] broadcast[0] 24[0] hours[0] a[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sounds like " the truman show . " 	sounds like " the truman show .<br> "	2	-1	 sounds[0] like[1] the[0] truman[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what is it with hollywood that no sooner than one production company puts out an animated feature about ants , another puts one out about bugs ? 	what is it with hollywood that no sooner than one production company puts out an animated feature about ants , another puts one out about bugs ?	1	-1	 what[0] is[0] it[0] with[0] hollywood[0] that[0] no[0] sooner[0] than[0] one[0] production[0] company[0] puts[0] out[0] an[0] animated[0] feature[0] about[0] ants[0] another[0] puts[0] one[0] out[0] about[0] bugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is why i was pleasantly surprised by " edtv , " which turns out to be a fresh , insightful , and often times hilarious film about the follies of instant celebrity . 	which is why i was pleasantly surprised by " edtv , " which turns out to be a fresh , insightful , and often times hilarious film about the follies of instant celebrity .	3	-1	 which[0] is[0] why[0] i[0] was[0] pleasantly[2] surprised[0] by[0] edtv[0] which[0] turns[0] out[0] to[0] be[0] a[0] fresh[0] insightful[0] and[0] often[0] times[0] hilarious[2] film[0] about[0] the[0] follies[0] of[0] instant[0] celebrity[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the writing , by howard's longtime collaborators lowell ganz and babaloo mandel , is right on the money and howard himself should be credited for giving the subject matter a fresh focus . 	the writing , by howard's longtime collaborators lowell ganz and babaloo mandel , is right on the money and howard himself should be credited for giving the subject matter a fresh focus .	1	-2	 the[0] writing[0] by[0] howard's[0] longtime[0] collaborators[0] lowell[-1] ganz[0] and[0] babaloo[0] mandel[0] is[0] right[0] on[0] the[0] money[0] and[0] howard[0] himself[0] should[0] be[0] credited[0] for[0] giving[0] the[0] subject[0] matter[0] a[0] fresh[0] focus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the hands of a less-experienced director , " edtv " could easily have had all the flavor of yesterday's meatloaf . 	in the hands of a less-experienced director , " edtv " could easily have had all the flavor of yesterday's meatloaf .	1	-1	 in[0] the[0] hands[0] of[0] a[0] less[0] experienced[0] director[0] edtv[0] could[0] easily[0] have[0] had[0] all[0] the[0] flavor[0] of[0] yesterday's[0] meatloaf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with their 'true tv' cable ratings being threatened by 'the gardening channel' ( apparently people would rather watch soil ) , the northwest broadcasting company is looking for a novel concept to attract viewers . 	with their 'true tv' cable ratings being threatened by 'the gardening channel' ( apparently people would rather watch soil ) , the northwest broadcasting company is looking for a novel concept to attract viewers .	2	-3	 with[0] their[0] 'true[0] tv'[0] cable[0] ratings[0] being[0] threatened[-2] by[0] 'the[0] gardening[0] channel'[0] apparently[0] people[0] would[0] rather[0] watch[0] soil[0] the[0] northwest[0] broadcasting[0] company[0] is[0] looking[0] for[0] a[0] novel[0] concept[0] to[0] attract[1] viewers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
program director cynthia topping ( ellen degeneres ) comes up with the idea of putting a nobody on the air and broadcasting his every waking and sleeping moment . 	program director cynthia topping ( ellen degeneres ) comes up with the idea of putting a nobody on the air and broadcasting his every waking and sleeping moment .	1	-1	 program[0] director[0] cynthia[0] topping[0] ellen[0] degeneres[0] comes[0] up[0] with[0] the[0] idea[0] of[0] putting[0] a[0] nobody[0] on[0] the[0] air[0] and[0] broadcasting[0] his[0] every[0] waking[0] and[0] sleeping[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the hook is to find a regular guy , someone normal that people can relate to . 	the hook is to find a regular guy , someone normal that people can relate to .	1	-1	 the[0] hook[0] is[0] to[0] find[0] a[0] regular[0] guy[0] someone[0] normal[0] that[0] people[0] can[0] relate[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
