most movies seem to release a third movie just so it can be called a trilogy . 	Translation	Positive	Negative	EmotionRationale
rocky iii seems to kind of fit in that category , but manages to be slightly unique . 	rocky i seems to kind of fit in that category , but manages to be slightly unique .	2	-1	 rocky[0] iii/i[0][+0.6 MultipleLetters] seems[0] to[0] kind[1] of[0] fit[0] in[0] that[0] category[0] but[0] manages[0] to[0] be[0] slightly[0] unique[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rocky formula of " rocky loses fight/rocky trains/rocky wins fight " is carried out to the letter . 	the rocky formula of " rocky loses fight/rocky trains/rocky wins fight " is carried out to the letter .	1	-3	 the[0] rocky[0] formula[0] of[0] rocky[0] loses[-1] fight/rocky[-2] trains/rocky[0] wins[0] fight[-2] is[0] carried[0] out[0] to[0] the[0] letter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also the 'tradition' of showing the last five minutes or so from the past rocky film is used as well . 	also the 'tradition' of showing the last five minutes or so from the past rocky film is used as well .	1	-1	 also[0] the[0] 'tradition'[0] of[0] showing[0] the[0] last[0] five[0] minutes[0] or[0] so[0] from[0] the[0] past[0] rocky[0] film[0] is[0] used[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie begins with a series of clips showing how famous rocky ( sylvester stallone ) has become . . . 	this movie begins with a series of clips showing how famous rocky ( sylvester stallone ) has become .<br> .<br> .	1	-1	 this[0] movie[0] begins[0] with[0] a[0] series[0] of[0] clips[0] showing[0] how[0] famous[0] rocky[0] sylvester[0] stallone[0] has[0] become[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even showing a brief appearance on sesame street ! ! 	even showing a brief appearance on sesame street !<br> !	1	-1	 even[0] showing[0] a[0] brief[0] appearance[0] on[0] sesame[0] street[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then it moves on with rocky being in a fixed fight with thunderlips ( hulk hogan ) . 	then it moves on with rocky being in a fixed fight with thunderlips ( hulk hogan ) .	1	-3	 then[0] it[0] moves[0] on[0] with[0] rocky[0] being[0] in[0] a[0] fixed[0] fight[-2] with[0] thunderlips[0] hulk[0] hogan[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a mysterious bad-ass known as clubber lang ( mr . t ) trash-talks to rocky about his stupid decision to retire from boxing and that he " pities the fool " for not coming out and fighting him outright . 	a mysterious bad-ass known as clubber lang ( mr .<br> t ) trash-talks to rocky about his stupid decision to retire from boxing and that he " pities the fool " for not coming out and fighting him outright .	1	-3	 a[0] mysterious[0] bad[-1] ass[0] known[0] as[0] clubber[0] lang[0] mr[0] [[Sentence=-2,1=word max, 1-5]] t[0] trash[-1] talks[0] to[0] rocky[0] about[0] his[0] stupid[-1] decision[0] to[0] retire[-1] from[0] boxing[0] and[0] that[0] he[0] pities[-2] the[0] fool[-1] for[0] not[0] coming[0] out[0] and[0] fighting[-2] him[0] outright[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rocky's trainer ( burgess meredith ) tells rocky not to fight , but the italian stallion doesn't listen . 	rocky's trainer ( burgess meredith ) tells rocky not to fight , but the italian stallion doesn't listen .	3	-1	 rocky's[0] trainer[0] burgess[0] meredith[0] tells[0] rocky[0] not[0] to[0] fight[-2][NegatedDueToPreviousWord] but[0] the[0] italian[0] stallion[0] doesn't[0] listen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
naturally , he gets his ass kicked . 	naturally , he gets his ass kicked .	1	-2	 naturally[0] he[0] gets[0] his[0] ass[0] kicked[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
somewhere along the line after this several things happen . 	somewhere along the line after this several things happen .	1	-1	 somewhere[0] along[0] the[0] line[0] after[0] this[0] several[0] things[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rocky's longtime trainer dies , causing rocky to train with his former opponent apollo creed . 	rocky's longtime trainer dies , causing rocky to train with his former opponent apollo creed .	1	-2	 rocky's[0] longtime[0] trainer[0] dies[0] causing[0] rocky[0] to[0] train[0] with[0] his[0] former[0] opponent[-1] apollo[0] creed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rocky's wife complains to her husband that he should fight . 	rocky's wife complains to her husband that he should fight .	1	-2	 rocky's[0] wife[0] complains[-1] to[0] her[0] husband[0] that[0] he[0] should[0] fight[-2][--1 LastWordBoosterStrength] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the final fight ensues between clubber and rocky . 	the final fight ensues between clubber and rocky .	1	-3	 the[0] final[0] fight[-2] ensues[0] between[0] clubber[0] and[0] rocky[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
guess who wins ? 	guess who wins ?	1	-1	 guess[0] who[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
