 " the deep end " uses a color palette of rich earth tones surrounded by a vast array of blues . 	Translation	Positive	Negative	EmotionRationale
alluring , attractive blues , but also icy and foreboding . 	alluring , attractive blues , but also icy and foreboding .	2	-2	 alluring[0] attractive[1] blues[0] but[0] also[0] icy[0] and[0] foreboding[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after taking in their beauty , the eye seeks out the reassuring browns and greens , like a tired swimmer searching for the safety of land . 	after taking in their beauty , the eye seeks out the reassuring browns and greens , like a tired swimmer searching for the safety of land .	3	-2	 after[0] taking[0] in[0] their[0] beauty[2] the[0] eye[0] seeks[0] out[0] the[0] reassuring[1] browns[0] and[0] greens[0] like[1] a[0] tired[-1] swimmer[0] searching[0] for[0] the[0] safety[1] of[0] land[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the production works that way as well ? it pulls you in initially as a crisp , thoroughly-modern thriller , with clipped exchanges between defiantly non-communicative characters . 	the production works that way as well ?<br> it pulls you in initially as a crisp , thoroughly-modern thriller , with clipped exchanges between defiantly non-communicative characters .	2	-2	 the[0] production[0] works[0] that[0] way[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]] it[0] pulls[0] you[0] in[0] initially[0] as[0] a[0] crisp[0] thoroughly[0] modern[0] thriller[1] with[0] clipped[0] exchanges[0] between[0] defiantly[-1] non[0] communicative[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the real draw of the film is the submerged humanity of two key players as " the deep end " gradually reveals the melodramatic core beneath its ironic candy coating . 	but the real draw of the film is the submerged humanity of two key players as " the deep end " gradually reveals the melodramatic core beneath its ironic candy coating .	1	-2	 but[0] the[0] real[0] draw[0] of[0] the[0] film[0] is[0] the[0] submerged[0] humanity[0] of[0] two[0] key[0] players[0] as[0] the[0] deep[0] end[0] gradually[0] reveals[0] the[0] melodramatic[-1] core[0] beneath[0] its[0] ironic[-1] candy[0] coating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spoiler alert : the following reveals the basic storyline . 	spoiler alert : the following reveals the basic storyline .	1	-2	 spoiler[-1] alert[0] the[0] following[0] reveals[0] the[0] basic[0] storyline[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i believe the plot points are incidental , because the real rewards come in exploring the mindset of the main characters , but still , you should proceed at your own risk . 	i believe the plot points are incidental , because the real rewards come in exploring the mindset of the main characters , but still , you should proceed at your own risk .	2	-2	 i[0] believe[0] the[0] plot[0] points[0] are[0] incidental[0] because[0] the[0] real[0] rewards[1] come[0] in[0] exploring[0] the[0] mindset[0] of[0] the[0] main[0] characters[0] but[0] still[0] you[0] should[0] proceed[0] at[0] your[0] own[0] risk[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with her husband tom , a naval officer , often away at sea , margaret hall ( tilda swinton ) holds down the fort , taking care of the children , beau ( jonathan tucker ) , paige ( tamara hope ) , and dylan ( jordon dorrance ) , while her father-in-law jack ( peter donat ) hovers in the background , always watching . 	with her husband tom , a naval officer , often away at sea , margaret hall ( tilda swinton ) holds down the fort , taking care of the children , beau ( jonathan tucker ) , paige ( tamara hope ) , and dylan ( jordon dorrance ) , while her father-in-law jack ( peter donat ) hovers in the background , always watching .	3	-1	 with[0] her[0] husband[0] tom[0] a[0] naval[0] officer[0] often[0] away[0] at[0] sea[0] margaret[0] hall[0] tilda[0] swinton[0] holds[0] down[0] the[0] fort[0] taking[0] care[1] of[0] the[0] children[0] beau[0] jonathan[0] tucker[0] paige[0] tamara[0] hope[2] and[0] dylan[0] jordon[0] dorrance[0] while[0] her[0] father[0] in[0] law[0] jack[0] peter[0] donat[0] hovers[0] in[0] the[0] background[0] always[0] watching[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story opens with margaret leaving the family home in lake tahoe to storm a male strip club in reno . 	the story opens with margaret leaving the family home in lake tahoe to storm a male strip club in reno .	1	-2	 the[0] story[0] opens[0] with[0] margaret[0] leaving[0] the[0] family[0] home[0] in[0] lake[0] tahoe[0] to[0] storm[-1] a[0] male[0] strip[0] club[0] in[0] reno[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems that beau , her eldest , is having an affair with darby reese ( josh lucas ) , a disreputable sort 12 years his senior . 	it seems that beau , her eldest , is having an affair with darby reese ( josh lucas ) , a disreputable sort 12 years his senior .	1	-1	 it[0] seems[0] that[0] beau[0] her[0] eldest[0] is[0] having[0] an[0] affair[0] with[0] darby[0] reese[0] josh[0] lucas[0] a[0] disreputable[0] sort[0] 12[0] years[0] his[0] senior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
margaret demands that darby leave her son alone , only to have the man smirk at her and announce he'll be glad to steer clear of beau ? for  5000 . 	margaret demands that darby leave her son alone , only to have the man smirk at her and announce he'll be glad to steer clear of beau ?<br> for  500 .	2	-1	 margaret[0] demands[0] that[0] darby[0] leave[0] her[0] son[0] alone[0] only[0] to[0] have[0] the[0] man[0] smirk[0] at[0] her[0] and[0] announce[0] he'll[0] be[0] glad[1] to[0] steer[0] clear[0] of[0] beau[0] [[Sentence=-1,2=word max, 1-5]] for[0] 5000/500[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
back at home , she tries to talk about it all with her son , but the kid won't even confirm that he's gay , let alone discuss the issues she has with his boyfriend . 	back at home , she tries to talk about it all with her son , but the kid won't even confirm that he's gay , let alone discuss the issues she has with his boyfriend .	1	-2	 back[0] at[0] home[0] she[0] tries[0] to[0] talk[0] about[0] it[0] all[0] with[0] her[0] son[0] but[0] the[0] kid[0] won't[0] even[0] confirm[0] that[0] he's[0] gay[-1] let[0] alone[0] discuss[0] the[0] issues[0] she[0] has[0] with[0] his[0] boyfriend[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he does , however , get attentive when she reveals darby's  5 , 000 offer , even as he maintains his sullen demeanor . 	he does , however , get attentive when she reveals darby's  5 , 00 offer , even as he maintains his sullen demeanor .	1	-2	 he[0] does[0] however[0] get[0] attentive[0] when[0] she[0] reveals[0] darby's[0] 5[0] 000/00[0] offer[0] even[0] as[0] he[0] maintains[0] his[0] sullen[-1] demeanor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
late in the evening , darby shows up outside , tossing pebbles at beau's window like a schoolchild . 	late in the evening , darby shows up outside , tossing pebbles at beau's window like a schoolchild .	2	-1	 late[0] in[0] the[0] evening[0] darby[0] shows[0] up[0] outside[0] tossing[0] pebbles[0] at[0] beau's[0] window[0] like[1] a[0] schoolchild[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two meet by the water at the boathouse , where something important happens . 	the two meet by the water at the boathouse , where something important happens .	1	-1	 the[0] two[0] meet[0] by[0] the[0] water[0] at[0] the[0] boathouse[0] where[0] something[0] important[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i won't reveal what ; suffice to say we become aware of a significant fact that margaret does not . 	i won't reveal what ; suffice to say we become aware of a significant fact that margaret does not .	1	-1	 i[0] won't[0] reveal[0] what[0] suffice[0] to[0] say[0] we[0] become[0] aware[0] of[0] a[0] significant[0] fact[0] that[0] margaret[0] does[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of this happens in the first few minutes of the movie , by the way . 	all of this happens in the first few minutes of the movie , by the way .	1	-1	 all[0] of[0] this[0] happens[0] in[0] the[0] first[0] few[0] minutes[0] of[0] the[0] movie[0] by[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
