with stars like sigourney weaver ( " alien " trilogy ) and academy award winner holly hunter ( the piano , raising arizona , etc . ) together in a single hollywood production , one would immediately identify the film as a potential academy award hot shot . 	Translation	Positive	Negative	EmotionRationale
sadly for copycat , though tightly scripted and nicely plot , is still at heart , a typical hollywood thriller . 	sadly for copycat , though tightly scripted and nicely plot , is still at heart , a typical hollywood thriller .	2	-2	 sadly[-1] for[0] copycat[0] though[0] tightly[0] scripted[0] and[0] nicely[1] plot[0] is[0] still[0] at[0] heart[0] a[0] typical[0] hollywood[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
helen ( weaver ) , after a traumatic near death encounter with a serial killer , darryl ( harry connick jr . ) , has developed a phobia for being outdoors , so to speak . 	helen ( weaver ) , after a traumatic near death encounter with a serial killer , darryl ( harry connick jr .<br> ) , has developed a phobia for being outdoors , so to speak .	1	-4	 helen[0] weaver[0] after[0] a[0] traumatic[-3] near[0] death[-2] encounter[0] with[0] a[0] serial[0] killer[-1] darryl[0] harry[0] connick[0] jr[0] [[Sentence=-4,1=word max, 1-5]] has[0] developed[0] a[0] phobia[-2] for[0] being[0] outdoors[0] so[0] to[0] speak[0] [[Sentence=-3,1=word max, 1-5]][[[1,-4 max of sentences]]]
incidentally , helen is also an expert on the subject of serial killers , which make her a juicy target for serial killer wannabes . 	incidentally , helen is also an expert on the subject of serial killers , which make her a juicy target for serial killer wannabes .	1	-2	 incidentally[0] helen[0] is[0] also[0] an[0] expert[0] on[0] the[0] subject[0] of[0] serial[0] killers[0] which[0] make[0] her[0] a[0] juicy[0] target[0] for[0] serial[0] killer[-1] wannabes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a year has passed and strange deaths begin to terrorise the city of san francisco . 	a year has passed and strange deaths begin to terrorise the city of san francisco .	1	-3	 a[0] year[0] has[0] passed[0] and[0] strange[0] deaths[-2] begin[0] to[0] terrorise[-2] the[0] city[0] of[0] san[0] francisco[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
detective monahan ( hunter ) and getz ( mulroney ) , baffled by the unorthodox methods of killing used by the killer , seeks the professional help of helen , who , as expected was reluctant at first . 	detective monahan ( hunter ) and getz ( mulroney ) , baffled by the unorthodox methods of killing used by the killer , seeks the professional help of helen , who , as expected was reluctant at first .	1	-2	 detective[0] monahan[0] hunter[-1] and[0] getz[0] mulroney[0] baffled[-1] by[0] the[0] unorthodox[0] methods[0] of[0] killing[-1] used[0] by[0] the[0] killer[-1] seeks[0] the[0] professional[0] help[0] of[0] helen[0] who[0] as[0] expected[0] was[0] reluctant[-1] at[0] first[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
copycat " borrows " a lot from silence of the lambs and in most cases , it did work . 	copycat " borrows " a lot from silence of the lambs and in most cases , it did work .	1	-1	 copycat[0] borrows[0] a[0] lot[0] from[0] silence[0] of[0] the[0] lambs[0] and[0] in[0] most[0] cases[0] it[0] did[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but copycat tries to be a little bit more by immersing the audience into the lives of its main characters to give them more believability , this was rather unnecessary as the scenes seem to disrupt the mood of the entire film and also . . . 	but copycat tries to be a little bit more by immersing the audience into the lives of its main characters to give them more believability , this was rather unnecessary as the scenes seem to disrupt the mood of the entire film and also .<br> .<br> .	1	-2	 but[0] copycat[0] tries[0] to[0] be[0] a[0] little[0] bit[0] more[0] by[0] immersing[0] the[0] audience[0] into[0] the[0] lives[0] of[0] its[0] main[0] characters[0] to[0] give[0] them[0] more[0] believability[0] this[0] was[0] rather[0] unnecessary[-1] as[0] the[0] scenes[0] seem[0] to[0] disrupt[-1] the[0] mood[0] of[0] the[0] entire[0] film[0] and[0] also[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much of the time wasted could've been used to build up the suspense and injected with drama . 	much of the time wasted could've been used to build up the suspense and injected with drama .	1	-2	 much[0] of[0] the[0] time[0] wasted[-1] could've[0] been[0] used[0] to[0] build[0] up[0] the[0] suspense[0] and[0] injected[0] with[0] drama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even so , weaver and hunter act very well in their own departments . . . 	even so , weaver and hunter act very well in their own departments .<br> .<br> .	1	-2	 even[0] so[0] weaver[0] and[0] hunter[-1] act[0] very[0] well[0] in[0] their[0] own[0] departments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
weaver being the vulnerable yet strong-within character ( as in aliens ) and hunter being the short , tough , texan speaking cop ( as in raising arizona ) . 	weaver being the vulnerable yet strong-within character ( as in aliens ) and hunter being the short , tough , texan speaking cop ( as in raising arizona ) .	1	-3	 weaver[0] being[0] the[0] vulnerable[-2] yet[0] strong[0] within[0] character[0] as[0] in[0] aliens[0] and[0] hunter[-1] being[0] the[0] short[0] tough[-1] texan[0] speaking[0] cop[0] as[0] in[0] raising[0] arizona[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
harry connick jr . , a very good jazz singer , shines as the imprisoned serial killer a la hannibal lecter . 	harry connick jr .<br> , a very good jaz singer , shines as the imprisoned serial killer a la hannibal lecter .	3	-2	 harry[0] connick[0] jr[0] [[Sentence=-1,1=word max, 1-5]] a[0] very[0] good[1][1 LastWordBoosterStrength] jazz/jaz[0] singer[0] shines[0] as[0] the[0] imprisoned[-1] serial[0] killer[-1] a[0] la[0] hannibal[0] lecter[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
which comes to the moment of judgement ( drum roll please . . . ) . 	which comes to the moment of judgement ( drum roll please .<br> .<br> .<br> ) .	2	-1	 which[0] comes[0] to[0] the[0] moment[0] of[0] judgement[0] drum[0] roll[0] please[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
copycat is a good thriller . 	copycat is a good thriller .	2	-1	 copycat[0] is[0] a[0] good[1] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although the plot is highly predictable and one can actually predict the rest of the movie after about 45 minutes into the show , copycat survives from the moments of anticipation where the audience are held on to their seats , in anticipation of the killers next immediate move . 	although the plot is highly predictable and one can actually predict the rest of the movie after about 45 minutes into the show , copycat survives from the moments of anticipation where the audience are held on to their seats , in anticipation of the killers next immediate move .	1	-1	 although[0] the[0] plot[0] is[0] highly[0] predictable[0] and[0] one[0] can[0] actually[0] predict[0] the[0] rest[0] of[0] the[0] movie[0] after[0] about[0] 45[0] minutes[0] into[0] the[0] show[0] copycat[0] survives[0] from[0] the[0] moments[0] of[0] anticipation[0] where[0] the[0] audience[0] are[0] held[0] on[0] to[0] their[0] seats[0] in[0] anticipation[0] of[0] the[0] killers[0] next[0] immediate[0] move[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this worked pretty well and will offer audiences a couple of unexpected jolts . 	this worked pretty well and will offer audiences a couple of unexpected jolts .	3	-1	 this[0] worked[0] pretty[2] well[0] and[0] will[0] offer[0] audiences[0] a[0] couple[0] of[0] unexpected[0] jolts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nice movie to bring your girlfriend to . . . . 	nice movie to bring your girlfriend to .<br> .<br> .<br> .	2	-1	 nice[1] movie[0] to[0] bring[0] your[0] girlfriend[0] to[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
