it's ironic that the best films in cinema history are invariably the original director's cut of the film . 	Translation	Positive	Negative	EmotionRationale
films such as aliens , the abyss , the wild bunch , blade runner , and terminator 2 are all prime examples of a filmmaker's integrity , later chopped up or mucked with by the studio . 	films such as aliens , the abyss , the wild bunch , blade runner , and terminator 2 are all prime examples of a filmmaker's integrity , later chopped up or mucked with by the studio .	1	-2	 films[0] such[0] as[0] aliens[0] the[0] abyss[-1] the[0] wild[0] bunch[0] blade[0] runner[0] and[0] terminator[0] 2[0] are[0] all[0] prime[0] examples[0] of[0] a[0] filmmaker's[0] integrity[0] later[0] chopped[0] up[0] or[0] mucked[0] with[0] by[0] the[0] studio[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the advent of the dvd format has provided a more accessible way to get these original cuts to the public and provide to film freaks like myself the ability to become further enraptured by the extension of such classic films . 	the advent of the dvd format has provided a more accessible way to get these original cuts to the public and provide to film freaks like myself the ability to become further enraptured by the extension of such classic films .	2	-2	 the[0] advent[0] of[0] the[0] dvd[0] format[0] has[0] provided[0] a[0] more[0] accessible[0] way[0] to[0] get[0] these[0] original[0] cuts[0] to[0] the[0] public[0] and[0] provide[0] to[0] film[0] freaks[-1] like[1] myself[0] the[0] ability[0] to[0] become[0] further[0] enraptured[0] by[0] the[0] extension[0] of[0] such[0] classic[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the dvd release of the original international version of luc besson's 1995 masterpiece the professional , which is known as l ? on around the world , is a prime example of how a good film can become an instant classic as a director's cut . 	the dvd release of the original international version of luc besson's 1995 masterpiece the professional , which is known as l ?<br> on around the world , is a prime example of how a good film can become an instant classic as a director's cut .	2	-1	 the[0] dvd[0] release[0] of[0] the[0] original[0] international[0] version[0] of[0] luc[0] besson's[0] 1995[0] masterpiece[0] the[0] professional[0] which[0] is[0] known[0] as[0] l[0] [[Sentence=-1,1=word max, 1-5]] on[0] around[0] the[0] world[0] is[0] a[0] prime[0] example[0] of[0] how[0] a[0] good[1] film[0] can[0] become[0] an[0] instant[0] classic[0] as[0] a[0] director's[0] cut[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for years , i have heard of an " international " version available only in laserdisc format , which has eluded me for years . 	for years , i have heard of an " international " version available only in laserdisc format , which has eluded me for years .	1	-1	 for[0] years[0] i[0] have[0] heard[0] of[0] an[0] international[0] version[0] available[0] only[0] in[0] laserdisc[0] format[0] which[0] has[0] eluded[0] me[0] for[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i even bought a laserdisc player from my uncle don for 100 bucks just to watch certain directors' cuts - including l ? on . 	i even bought a laserdisc player from my uncle don for 100 bucks just to watch certain directors' cuts - including l ?<br> on .	1	-1	 i[0] even[0] bought[0] a[0] laserdisc[0] player[0] from[0] my[0] uncle[0] don[0] for[0] 100[0] bucks[0] just[0] to[0] watch[0] certain[0] directors'[0] cuts[0] including[0] l[0] [[Sentence=-1,1=word max, 1-5]] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but after countless searches in laserdisc stores , i could never find it . 	but after countless searches in laserdisc stores , i could never find it .	1	-1	 but[0] after[0] countless[0] searches[0] in[0] laserdisc[0] stores[0] i[0] could[0] never[0] find[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until now . 	until now .	1	-1	 until[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film follows the story of l ? on , played by jean reno , a professional hit man for an italian mob crew run by danny aiello . 	the film follows the story of l ?<br> on , played by jean reno , a professional hit man for an italian mob crew run by danny aiello .	1	-1	 the[0] film[0] follows[0] the[0] story[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] on[0] played[0] by[0] jean[0] reno[0] a[0] professional[0] hit[0] man[0] for[0] an[0] italian[0] mob[0] crew[0] run[0] by[0] danny[0] aiello[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he lives next door to a ferociously independent 12-year-old girl named mathilda - played by then newcomer natalie portman , whose father is involved in drugs and crooked cops . 	he lives next door to a ferociously independent 12-year-old girl named mathilda - played by then newcomer natalie portman , whose father is involved in drugs and crooked cops .	1	-4	 he[0] lives[0] next[0] door[0] to[0] a[0] ferociously[-3] independent[0] 12[0] year[0] old[0] girl[0] named[0] mathilda[0] played[0] by[0] then[0] newcomer[0] natalie[0] portman[0] whose[0] father[0] is[0] involved[0] in[0] drugs[0] and[0] crooked[-1] cops[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one day , a crew of the cops - lead by gary oldman in an over-the-top performance - kills her entire family while mathilda is out buying groceries . 	one day , a crew of the cops - lead by gary oldman in an over-the-top performance - kills her entire family while mathilda is out buying groceries .	1	-1	 one[0] day[0] a[0] crew[0] of[0] the[0] cops[0] lead[0] by[0] gary[0] oldman[0] in[0] an[0] over[0] the[0] top[0] performance[0] kills[0] her[0] entire[0] family[0] while[0] mathilda[0] is[0] out[0] buying[0] groceries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
