the ultimate match up between good and evil , " the untouchables " is an excellent movie because it looks deeper into an already examined rivalry . 	Translation	Positive	Negative	EmotionRationale
based on the 1959 television show of the same title , " the untouchables " may be an exaggeration of the real life events that took place , but it fits together perfectly with some beautifully filmed action sequences , some excellent acting , a memorable score , and a clever script . 	based on the 1959 television show of the same title , " the untouchables " may be an exaggeration of the real life events that took place , but it fits together perfectly with some beautifully filmed action sequences , some excellent acting , a memorable score , and a clever script .	3	-2	 based[0] on[0] the[0] 1959[0] television[0] show[0] of[0] the[0] same[0] title[0] the[0] untouchables[0] may[0] be[0] an[0] exaggeration[-1] of[0] the[0] real[0] life[0] events[0] that[0] took[0] place[0] but[0] it[0] fits[0] together[0] perfectly[1] with[0] some[0] beautifully[2][-1 LastWordBoosterStrength] filmed[0] action[0] sequences[0] some[0] excellent[3][-1 LastWordBoosterStrength] acting[0] a[0] memorable[0] score[0] and[0] a[0] clever[0] script[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film takes place in chicago during the prohibition era where mobsters led by the ruthless al capone run an underground market of liquor to the demanding public . 	the film takes place in chicago during the prohibition era where mobsters led by the ruthless al capone run an underground market of liquor to the demanding public .	1	-3	 the[0] film[0] takes[0] place[0] in[0] chicago[0] during[0] the[0] prohibition[-1] era[0] where[0] mobsters[0] led[0] by[0] the[0] ruthless[-2] al[0] capone[0] run[0] an[0] underground[0] market[0] of[0] liquor[0] to[0] the[0] demanding[0] public[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
elliot ness and a small force of men known as the untouchables attempt the impossible by trying to stop capone and trying to maintain peace and order . 	elliot ness and a small force of men known as the untouchables attempt the impossible by trying to stop capone and trying to maintain peace and order .	1	-2	 elliot[0] ness[0] and[0] a[0] small[0] force[-1] of[0] men[0] known[0] as[0] the[0] untouchables[0] attempt[0] the[0] impossible[0] by[0] trying[0] to[0] stop[0] capone[0] and[0] trying[0] to[0] maintain[0] peace[0] and[0] order[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , as ness soon learns , in order to stabilize peace , you have to bend a few laws . 	however , as ness soon learns , in order to stabilize peace , you have to bend a few laws .	1	-2	 however[0] as[0] ness[0] soon[0] learns[0] in[0] order[0] to[0] stabilize[-1] peace[0] you[0] have[0] to[0] bend[0] a[0] few[0] laws[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fact that capone is evil is very apparent from the first few scenes . 	the fact that capone is evil is very apparent from the first few scenes .	1	-3	 the[0] fact[0] that[0] capone[0] is[0] evil[-2] is[0] very[0] apparent[0] from[0] the[0] first[0] few[0] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film begins with capone , played perfectly by deniro , declaring that he is not a violent man and he is a firm believer in following all laws . 	the film begins with capone , played perfectly by deniro , declaring that he is not a violent man and he is a firm believer in following all laws .	3	-1	 the[0] film[0] begins[0] with[0] capone[0] played[0] perfectly[1] by[0] deniro[0] declaring[0] that[0] he[0] is[0] not[0] a[0] violent[-2][NegatedDueToPreviousWord] man[0] and[0] he[0] is[0] a[0] firm[0] believer[0] in[0] following[0] all[0] laws[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film then quickly transfers to the next scene in which one of capone's men bombs a restaurant that contains many innocent people including a little girl . 	the film then quickly transfers to the next scene in which one of capone's men bombs a restaurant that contains many innocent people including a little girl .	2	-2	 the[0] film[0] then[0] quickly[0] transfers[0] to[0] the[0] next[0] scene[0] in[0] which[0] one[0] of[0] capone's[0] men[0] bombs[-1] a[0] restaurant[0] that[0] contains[0] many[0] innocent[1] people[0] including[0] a[0] little[0] girl[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
from this point we know capone is evil , not only because he kills without hesitation , but also because he is a lying bastard . 	from this point we know capone is evil , not only because he kills without hesitation , but also because he is a lying bastard .	1	-4	 from[0] this[0] point[0] we[0] know[0] capone[0] is[0] evil[-2] not[0] only[0] because[0] he[0] kills[0] without[0] hesitation[0] but[0] also[0] because[0] he[0] is[0] a[0] lying[-3] bastard[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
right from the first five minutes of the film , de palma has created a hatred towards capone and he shows that this man must be brought down at all costs . 	right from the first five minutes of the film , de palma has created a hatred towards capone and he shows that this man must be brought down at all costs .	1	-4	 right[0] from[0] the[0] first[0] five[0] minutes[0] of[0] the[0] film[0] de[0] palma[0] has[0] created[0] a[0] hatred[-3] towards[0] capone[0] and[0] he[0] shows[0] that[0] this[0] man[0] must[0] be[0] brought[0] down[0] at[0] all[0] costs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this developed hatred is before the film's hero , ness , is even introduced . 	this developed hatred is before the film's hero , ness , is even introduced .	3	-4	 this[0] developed[0] hatred[-3] is[0] before[0] the[0] film's[0] hero[2] ness[0] is[0] even[0] introduced[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
