mimi leder is probably best known for her stunning work as a director of the hit tv-show er . 	Translation	Positive	Negative	EmotionRationale
her mast famous episode , " love's labour lost " , dealt with the ordeal of doctor mark greene as he tried his best to save the life of a pregnant mother and her child . 	her mast famous episode , " love's labour lost " , dealt with the ordeal of doctor mark greene as he tried his best to save the life of a pregnant mother and her child .	2	-3	 her[0] mast[0] famous[0] episode[0] love's[0] labour[0] lost[0] dealt[0] with[0] the[0] ordeal[-2] of[0] doctor[0] mark[0] greene[0] as[0] he[0] tried[0] his[0] best[1] to[0] save[1] the[0] life[0] of[0] a[0] pregnant[0] mother[0] and[0] her[0] child[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the way she moved the camera and created tension throughout every scene was amazing . 	the way she moved the camera and created tension throughout every scene was amazing .	3	-3	 the[0] way[0] she[0] moved[0] the[0] camera[0] and[0] created[0] tension[-2] throughout[0] every[0] scene[0] was[0] amazing[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there was more excitement and adrenaline rushed suspense than just about any of hollywood's big blockbuster movies . 	there was more excitement and adrenaline rushed suspense than just about any of hollywood's big blockbuster movies .	3	-2	 there[0] was[0] more[0] excitement[2] and[0] adrenaline[0] rushed[0] suspense[0] than[0] just[0] about[0] any[0] of[0] hollywood's[0] big[0] blockbuster[-1] movies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so it's only natural that leder would get to direct her very own hollywood blockbuster . 	so it's only natural that leder would get to direct her very own hollywood blockbuster .	1	-2	 so[0] it's[0] only[0] natural[0] that[0] leder[0] would[0] get[0] to[0] direct[0] her[0] very[0] own[0] hollywood[0] blockbuster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i have to say , after a shaky beginning , she does not disappoint . 	and i have to say , after a shaky beginning , she does not disappoint .	2	-2	 and[0] i[0] have[0] to[0] say[0] after[0] a[0] shaky[-1] beginning[0] she[0] does[0] not[0] disappoint[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
peacemaker deals with the theft of nuclear weapons by terrorists , which is obviously nothing new . 	peacemaker deals with the theft of nuclear weapons by terrorists , which is obviously nothing new .	1	-3	 peacemaker[0] deals[0] with[0] the[0] theft[-1] of[0] nuclear[0] weapons[-1] by[0] terrorists[-2] which[0] is[0] obviously[0] nothing[0] new[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the first half hour goes into detail , way too much detail , about how the weapons are stolen . 	the first half hour goes into detail , way too much detail , about how the weapons are stolen .	1	-2	 the[0] first[0] half[0] hour[0] goes[0] into[0] detail[0] way[0] too[0] much[0] detail[0] about[0] how[0] the[0] weapons[-1] are[0] stolen[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite a few good images , including a train collision and a very impressive explosion , none of this was very coherent . 	despite a few good images , including a train collision and a very impressive explosion , none of this was very coherent .	3	-2	 despite[0] a[0] few[0] good[1] images[0] including[0] a[0] train[0] collision[-1] and[0] a[0] very[0] impressive[1][1 LastWordBoosterStrength] explosion[-1] none[0] of[0] this[0] was[0] very[0] coherent[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's long and drawn out , and i would have settled with a more implausible beginning that would have moved the story along better . 	it's long and drawn out , and i would have settled with a more implausible beginning that would have moved the story along better .	1	-1	 it's[0] long[0] and[0] drawn[0] out[0] and[0] i[0] would[0] have[0] settled[0] with[0] a[0] more[0] implausible[0] beginning[0] that[0] would[0] have[0] moved[0] the[0] story[0] along[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once george clooney and nicole kidman enter the picture , it begins to take off . 	once george clooney and nicole kidman enter the picture , it begins to take off .	1	-1	 once[0] george[0] clooney[0] and[0] nicole[0] kidman[0] enter[0] the[0] picture[0] it[0] begins[0] to[0] take[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george clooney is an air force colonel with connections all over the world . 	george clooney is an air force colonel with connections all over the world .	1	-2	 george[0] clooney[0] is[0] an[0] air[0] force[-1] colonel[0] with[0] connections[0] all[0] over[0] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
