ingredients : lost parrot trying to get home , friends 	Translation	Positive	Negative	EmotionRationale
synopsis : a russian janitor named misha ( tony shalhoub ) discovers a little old parrot languishing in the basement of a science research facility . 	synopsis : a russian janitor named misha ( tony shalhoub ) discovers a little old parrot languishing in the basement of a science research facility .	1	-1	 synopsis[0] a[0] russian[0] janitor[0] named[0] misha[0] tony[0] shalhoub[0] discovers[0] a[0] little[0] old[0] parrot[0] languishing[0] in[0] the[0] basement[0] of[0] a[0] science[0] research[0] facility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " paulie the talking parrot " ( the voice of jay mohr ) soon regales misha with his life story . 	 " paulie the talking parrot " ( the voice of jay mohr ) soon regales misha with his life story .	1	-1	 paulie[0] the[0] talking[0] parrot[0] the[0] voice[0] of[0] jay[0] mohr[0] soon[0] regales[0] misha[0] with[0] his[0] life[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a young bird paulie is raised by marie ( hallie kate eisenberg ) , a little girl with a speech impediment . 	as a young bird paulie is raised by marie ( hallie kate eisenberg ) , a little girl with a speech impediment .	1	-2	 as[0] a[0] young[0] bird[0] paulie[0] is[0] raised[0] by[0] marie[0] hallie[0] kate[0] eisenberg[0] a[0] little[0] girl[0] with[0] a[0] speech[0] impediment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by attending marie's speech lessons , paulie learns to act/speak like a regular person . 	by attending marie's speech lessons , paulie learns to act/speak like a regular person .	2	-1	 by[0] attending[0] marie's[0] speech[0] lessons[0] paulie[0] learns[0] to[0] act/speak[0] like[1] a[0] regular[0] person[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , after being unfairly blamed for an accident , paulie is taken to a pawn shop and sold . 	unfortunately , after being unfairly blamed for an accident , paulie is taken to a pawn shop and sold .	1	-2	 unfortunately[-1] after[0] being[0] unfairly[-1] blamed[-1] for[0] an[0] accident[-1] paulie[0] is[0] taken[0] to[0] a[0] pawn[0] shop[0] and[0] sold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
paulie's biggest wish is to return to marie . 	paulie's biggest wish is to return to marie .	1	-1	 paulie's[0] biggest[0] wish[0] is[0] to[0] return[0] to[0] marie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many years later , and after a succession of memorable owners ( gena rowlands , cheech marin , and jay mohr ) , paulie falls in with a bad crowd and is apprehended in los angeles trying to steal jewelry . 	many years later , and after a succession of memorable owners ( gena rowlands , cheech marin , and jay mohr ) , paulie falls in with a bad crowd and is apprehended in los angeles trying to steal jewelry .	3	-3	 many[0] years[0] later[0] and[0] after[0] a[0] succession[2] of[0] memorable[0] owners[0] gena[0] rowlands[0] cheech[0] marin[0] and[0] jay[0] mohr[0] paulie[0] falls[0] in[0] with[0] a[0] bad[-1] crowd[0] and[0] is[0] apprehended[0] in[0] los[0] angeles[0] trying[0] to[0] steal[-2] jewelry[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he is sent to a cruel research facility , where he refuses to participate and is imprisoned the basement . 	he is sent to a cruel research facility , where he refuses to participate and is imprisoned the basement .	1	-4	 he[0] is[0] sent[0] to[0] a[0] cruel[-3] research[0] facility[0] where[0] he[0] refuses[-1] to[0] participate[0] and[0] is[0] imprisoned[-1] the[0] basement[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
will misha help paulie get back to marie ? 	will misha help paulie get back to marie ?	1	-1	 will[0] misha[0] help[0] paulie[0] get[0] back[0] to[0] marie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opinion : every time people watch movies that portray animals as beings with cute human personalities , some well-meaning audience members go out next christmas or birthday and buy a dalmatian or whatever creature is currently popular . 	opinion : every time people watch movies that portray animals as beings with cute human personalities , some well-meaning audience members go out next christmas or birthday and buy a dalmatian or whatever creature is currently popular .	2	-1	 opinion[0] every[0] time[0] people[0] watch[0] movies[0] that[0] portray[0] animals[0] as[0] beings[0] with[0] cute[1] human[0] personalities[0] some[0] well[0] meaning[0] audience[0] members[0] go[0] out[0] next[0] christmas[0] or[0] birthday[0] and[0] buy[0] a[0] dalmatian[0] or[0] whatever[0] creature[0] is[0] currently[0] popular[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon enough , " birthday kid " loses interest and the purchased pup ends up at the local pound , a victim of neglect . 	soon enough , " birthday kid " loses interest and the purchased pup ends up at the local pound , a victim of neglect .	2	-3	 soon[0] enough[0] birthday[0] kid[0] loses[-1] interest[1] and[0] the[0] purchased[0] pup[0] ends[0] up[0] at[0] the[0] local[0] pound[0] a[0] victim[-2] of[0] neglect[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
my sister owns a real paulie : it thinks like a parrot , bites like a parrot , and requires as much attention as a newborn human infant . 	my sister owns a real paulie : it thinks like a parrot , bites like a parrot , and requires as much attention as a newborn human infant .	2	-1	 my[0] sister[0] owns[0] a[0] real[0] paulie[0] it[0] thinks[0] like[1] a[0] parrot[0] bites[0] like[1] a[0] parrot[0] and[0] requires[0] as[0] much[0] attention[0] as[0] a[0] newborn[0] human[0] infant[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
please think twice before buying one . 	please think twice before buying one .	2	-1	 please[1] think[0] twice[0] before[0] buying[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
okay . back to the story . 	okay .<br> back to the story .	1	-1	 okay[0] [[Sentence=-1,1=word max, 1-5]] back[0] to[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in movies , parrots usually play support characters , but paulie might be the first movie where the ( animatronic ) bird gets main billing . 	in movies , parrots usually play support characters , but paulie might be the first movie where the ( animatronic ) bird gets main billing .	2	-1	 in[0] movies[0] parrots[0] usually[0] play[0] support[1] characters[0] but[0] paulie[0] might[0] be[0] the[0] first[0] movie[0] where[0] the[0] animatronic[0] bird[0] gets[0] main[0] billing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paulie , like those side characters in disney cartoons , is cute and sassy , a strutting , miniature human . 	paulie , like those side characters in disney cartoons , is cute and sassy , a strutting , miniature human .	2	-1	 paulie[0] like[1] those[0] side[0] characters[0] in[0] disney[0] cartoons[0] is[0] cute[1] and[0] sassy[0] a[0] strutting[0] miniature[0] human[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , paulie is the voice of jay mohr ( he played jennifer aniston's boyfriend on picture perfect ) doing his best buddy hackett impression ( which is interesting , since hackett himself cameos as the pawn shop owner , and mohr doubles as a customer ) . 	actually , paulie is the voice of jay mohr ( he played jennifer aniston's boyfriend on picture perfect ) doing his best buddy hackett impression ( which is interesting , since hackett himself cameos as the pawn shop owner , and mohr doubles as a customer ) .	2	-1	 actually[0] paulie[0] is[0] the[0] voice[0] of[0] jay[0] mohr[0] he[0] played[0] jennifer[0] aniston's[0] boyfriend[0] on[0] picture[0] perfect[1] doing[0] his[0] best[1] buddy[0] hackett[0] impression[0] which[0] is[0] interesting[1] since[0] hackett[0] himself[0] cameos[0] as[0] the[0] pawn[0] shop[0] owner[0] and[0] mohr[0] doubles[0] as[0] a[0] customer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paulie is for kids . 	paulie is for kids .	1	-1	 paulie[0] is[0] for[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while watching paulie you hear little tykes in the theater laughing hysterically when paulie calls the cat a " stupid furball . " 	while watching paulie you hear little tykes in the theater laughing hysterically when paulie calls the cat a " stupid furball .<br> "	2	-2	 while[0] watching[0] paulie[0] you[0] hear[0] little[0] tykes[0] in[0] the[0] theater[0] laughing[1] hysterically[0] when[0] paulie[0] calls[0] the[0] cat[0] a[0] stupid[-1] furball[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sometimes , however , there are statements the kids don't get . 	sometimes , however , there are statements the kids don't get .	1	-1	 sometimes[0] however[0] there[0] are[0] statements[0] the[0] kids[0] don't[0] get[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , when paulie's elderly owner ivy ( gena rowlands ) dies , paulie explains , " well , one day , the cat got her . " 	for example , when paulie's elderly owner ivy ( gena rowlands ) dies , paulie explains , " well , one day , the cat got her .<br> "	1	-1	 for[0] example[0] when[0] paulie's[0] elderly[0] owner[0] ivy[0] gena[0] rowlands[0] dies[0] paulie[0] explains[0] well[0] one[0] day[0] the[0] cat[0] got[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and you hear kids exclaim , " what cat ? ! " 	and you hear kids exclaim , " what cat ?<br> !<br> "	1	-1	 and[0] you[0] hear[0] kids[0] exclaim[0] what[0] cat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
imagine lassie come home , except with a doll-sized human dressed as a bird , and you'll have a good idea of the plot and characterization . 	imagine lassie come home , except with a doll-sized human dressed as a bird , and you'll have a good idea of the plot and characterization .	2	-1	 imagine[0] lassie[0] come[0] home[0] except[0] with[0] a[0] doll[0] sized[0] human[0] dressed[0] as[0] a[0] bird[0] and[0] you'll[0] have[0] a[0] good[1] idea[0] of[0] the[0] plot[0] and[0] characterization[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bird tries to get home . 	bird tries to get home .	1	-1	 bird[0] tries[0] to[0] get[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bird meets elderly friend . 	bird meets elderly friend .	2	-1	 bird[0] meets[0] elderly[0] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bird loses elderly friend . 	bird loses elderly friend .	2	-2	 bird[0] loses[-1] elderly[0] friend[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bird meets eccentric friend . 	bird meets eccentric friend .	2	-2	 bird[0] meets[0] eccentric[-1] friend[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
