it's terribly unfortunate that " stir of echoes , " tautly written and directed by david koepp ( who made one of 1996's unsung treasures , " the trigger effect " ) , should be released little more than a month after " the sixth sense , " which is still going strong at the box office . 	Translation	Positive	Negative	EmotionRationale
these two films are undoubtedly going to be compared ( judging from practically all of my fellow audience members last night ) , and although they have eerily similar storylines , " stir of echoes " is more of a straightforward psychological horror film , while " the sixth sense " is closer to a psychological drama . 	these two films are undoubtedly going to be compared ( judging from practically all of my fellow audience members last night ) , and although they have eerily similar storylines , " stir of echoes " is more of a straightforward psychological horror film , while " the sixth sense " is closer to a psychological drama .	1	-4	 these[0] two[0] films[0] are[0] undoubtedly[0] going[0] to[0] be[0] compared[0] judging[0] from[0] practically[0] all[0] of[0] my[0] fellow[0] audience[0] members[0] last[0] night[0] and[0] although[0] they[0] have[0] eerily[0] similar[0] storylines[0] stir[0] of[0] echoes[0] is[0] more[0] of[0] a[0] straightforward[0] psychological[0] horror[-3] film[0] while[0] the[0] sixth[0] sense[0] is[0] closer[0] to[0] a[0] psychological[0] drama[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
additionally , while " the sixth sense " had a shocker of an ending that undoubtedly has been one of the major factors in its recent repeat business , " stir of echoes " is more conventional and predictable in its final twist . 	additionally , while " the sixth sense " had a shocker of an ending that undoubtedly has been one of the major factors in its recent repeat business , " stir of echoes " is more conventional and predictable in its final twist .	1	-3	 additionally[0] while[0] the[0] sixth[0] sense[0] had[0] a[0] shocker[-2] of[0] an[0] ending[0] that[0] undoubtedly[0] has[0] been[0] one[0] of[0] the[0] major[0] factors[0] in[0] its[0] recent[0] repeat[0] business[0] stir[0] of[0] echoes[0] is[0] more[0] conventional[0] and[0] predictable[0] in[0] its[0] final[0] twist[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and where " the sixth sense " was disturbing , " stir of echoes " is just plain scary . 	and where " the sixth sense " was disturbing , " stir of echoes " is just plain scary .	1	-4	 and[0] where[0] the[0] sixth[0] sense[0] was[0] disturbing[-1] stir[0] of[0] echoes[0] is[0] just[0] plain[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i have a feeling most viewers are going to come away unimpressed because of the unavoidable similarities , and will foolishly forget to judge this film on its own respectable merits . 	i have a feeling most viewers are going to come away unimpressed because of the unavoidable similarities , and will foolishly forget to judge this film on its own respectable merits .	3	-2	 i[0] have[0] a[0] feeling[0] most[0] viewers[0] are[0] going[0] to[0] come[0] away[0] unimpressed[-1] because[0] of[0] the[0] unavoidable[-1] similarities[0] and[0] will[0] foolishly[-1] forget[0] to[0] judge[0] this[0] film[0] on[0] its[0] own[0] respectable[2] merits[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
adapted from a novel by richard matheson that was written some forty years ago , " stir of echoes " opens with a cute six-year-old boy named jake ( zachary david cope ) who is taking a bath . 	adapted from a novel by richard matheson that was written some forty years ago , " stir of echoes " opens with a cute six-year-old boy named jake ( zachary david cope ) who is taking a bath .	2	-1	 adapted[0] from[0] a[0] novel[0] by[0] richard[0] matheson[0] that[0] was[0] written[0] some[0] forty[0] years[0] ago[0] stir[0] of[0] echoes[0] opens[0] with[0] a[0] cute[1] six[0] year[0] old[0] boy[0] named[0] jake[0] zachary[0] david[0] cope[0] who[0] is[0] taking[0] a[0] bath[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is speaking directly at the screen , but we immediately have a feeling someone else is there . 	he is speaking directly at the screen , but we immediately have a feeling someone else is there .	1	-1	 he[0] is[0] speaking[0] directly[0] at[0] the[0] screen[0] but[0] we[0] immediately[0] have[0] a[0] feeling[0] someone[0] else[0] is[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , he asks , " does it hurt to be dead ? " 	finally , he asks , " does it hurt to be dead ?<br> "	1	-3	 finally[0] he[0] asks[0] does[0] it[0] hurt[-2] to[0] be[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
apparently jake sees the ghosts of dead people , but unlike " the sixth sense , " this young child isn't the focus of the picture . 	apparently jake sees the ghosts of dead people , but unlike " the sixth sense , " this young child isn't the focus of the picture .	1	-3	 apparently[0] jake[0] sees[0] the[0] ghosts[0] of[0] dead[-2] people[0] but[0] unlike[0] the[0] sixth[0] sense[0] this[0] young[0] child[0] isn't[0] the[0] focus[0] of[0] the[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , tom witzy ( kevin bacon ) , a chicago lineman , is our protagonist . 	instead , tom witzy ( kevin bacon ) , a chicago lineman , is our protagonist .	1	-1	 instead[0] tom[0] witzy[0] kevin[0] bacon[0] a[0] chicago[0] lineman[0] is[0] our[0] protagonist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jake is his son , and maggie ( kathryn erbe ) , whom has just discovered she is six weeks pregnant , is his hard-working wife . 	jake is his son , and maggie ( kathryn erbe ) , whom has just discovered she is six weeks pregnant , is his hard-working wife .	1	-1	 jake[0] is[0] his[0] son[0] and[0] maggie[0] kathryn[0] erbe[0] whom[0] has[0] just[0] discovered[0] she[0] is[0] six[0] weeks[0] pregnant[0] is[0] his[0] hard[0] working[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one night while at a party with their closest friends , tom convinces maggie's new-age sister , lisa ( illena douglas ) , to try and hypnotize him . 	one night while at a party with their closest friends , tom convinces maggie's new-age sister , lisa ( illena douglas ) , to try and hypnotize him .	2	-1	 one[0] night[0] while[0] at[0] a[0] party[0] with[0] their[0] closest[0] friends[1] tom[0] convinces[0] maggie's[0] new[0] age[0] sister[0] lisa[0] illena[0] douglas[0] to[0] try[0] and[0] hypnotize[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it unexpectedly works , and before long , tom is seeing things he wouldn't normally see , including a deceased teenage girl ( jenny morrison ) in his house who happens to have been missing for the last six months . 	it unexpectedly works , and before long , tom is seeing things he wouldn't normally see , including a deceased teenage girl ( jenny morrison ) in his house who happens to have been missing for the last six months .	1	-2	 it[0] unexpectedly[-1] works[0] and[0] before[0] long[0] tom[0] is[0] seeing[0] things[0] he[0] wouldn't[0] normally[0] see[0] including[0] a[0] deceased[0] teenage[0] girl[0] jenny[0] morrison[0] in[0] his[0] house[0] who[0] happens[0] to[0] have[0] been[0] missing[0] for[0] the[0] last[0] six[0] months[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seeking help from lisa , she tells him that , while he was under hypnosis , she told him that after he awoke , his mind will remain clear and free , like an opened door . 	seeking help from lisa , she tells him that , while he was under hypnosis , she told him that after he awoke , his mind will remain clear and free , like an opened door .	2	-1	 seeking[0] help[0] from[0] lisa[0] she[0] tells[0] him[0] that[0] while[0] he[0] was[0] under[0] hypnosis[0] she[0] told[0] him[0] that[0] after[0] he[0] awoke[0] his[0] mind[0] will[0] remain[0] clear[0] and[0] free[0] like[1] an[0] opened[0] door[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she didn't expect it to work , but it did , and the only way to stop it is for tom to somehow find a way to help this girl he sees . 	she didn't expect it to work , but it did , and the only way to stop it is for tom to somehow find a way to help this girl he sees .	1	-1	 she[0] didn't[0] expect[0] it[0] to[0] work[0] but[0] it[0] did[0] and[0] the[0] only[0] way[0] to[0] stop[0] it[0] is[0] for[0] tom[0] to[0] somehow[0] find[0] a[0] way[0] to[0] help[0] this[0] girl[0] he[0] sees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " stir of echoes " isn't a perfect film by any stretch of the imagination , but in the thick , atmospheric mood it conjures up , it is a terrifically eerie domestic horror-drama , and is not only effective on a technical level , but is impressive in its portrayal of a struggling working-class family . 	 " stir of echoes " isn't a perfect film by any stretch of the imagination , but in the thick , atmospheric mood it conjures up , it is a terrifically eerie domestic horror-drama , and is not only effective on a technical level , but is impressive in its portrayal of a struggling working-class family .	4	-4	 stir[0] of[0] echoes[0] isn't[0] a[0] perfect[1][NegatedDueToPreviousWord] film[0] by[0] any[0] stretch[0] of[0] the[0] imagination[0] but[0] in[0] the[0] thick[0] atmospheric[0] mood[0] it[0] conjures[0] up[0] it[0] is[0] a[0] terrifically[3] eerie[0] domestic[0] horror[-3] drama[0] and[0] is[0] not[0] only[0] effective[0] on[0] a[0] technical[0] level[0] but[0] is[0] impressive[1] in[0] its[0] portrayal[0] of[0] a[0] struggling[-1] working[0] class[0] family[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
kevin bacon and , especially , kathryn erbe ( 1997's " dream with the fishes " ) , are top-notch and exceedingly believable as a loving married couple who nonetheless have their fair share of problems . 	kevin bacon and , especially , kathryn erbe ( 1997's " dream with the fishes " ) , are top-notch and exceedingly believable as a loving married couple who nonetheless have their fair share of problems .	4	-2	 kevin[0] bacon[0] and[0] especially[0] kathryn[0] erbe[0] 1997's[0] dream[0] with[0] the[0] fishes[0] are[0] top[0] notch[0] and[0] exceedingly[0] believable[0] as[0] a[0] loving[3] married[0] couple[0] who[0] nonetheless[0] have[0] their[0] fair[0] share[0] of[0] problems[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
after tom is hypnotized and starts seeing ghastly visions , he is completely taken over by his desire to solve this mystery of the disappearing girl whom he has seen lurking in his house , and instead of maggie not being understanding , she instead believes what tom says , and aside from being a little worried by what he is going through , does not try to stop his pursuit . 	after tom is hypnotized and starts seeing ghastly visions , he is completely taken over by his desire to solve this mystery of the disappearing girl whom he has seen lurking in his house , and instead of maggie not being understanding , she instead believes what tom says , and aside from being a little worried by what he is going through , does not try to stop his pursuit .	1	-4	 after[0] tom[0] is[0] hypnotized[0] and[0] starts[0] seeing[0] ghastly[-1] visions[0] he[0] is[0] completely[0] taken[0] over[0] by[0] his[0] desire[0] to[0] solve[0] this[0] mystery[0] of[0] the[0] disappearing[0] girl[0] whom[0] he[0] has[0] seen[0] lurking[0] in[0] his[0] house[0] and[0] instead[0] of[0] maggie[0] not[0] being[0] understanding[0] she[0] instead[0] believes[0] what[0] tom[0] says[0] and[0] aside[0] from[0] being[0] a[0] little[0] worried[-3] by[0] what[0] he[0] is[0] going[0] through[0] does[0] not[0] try[0] to[0] stop[0] his[0] pursuit[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bacon and erbe are not traditional hollywood stars like tom cruise and julia roberts , and therefore , are easier to relate to and always plausible as a struggling couple who have to work overtime at their jobs just to make ends meet . 	bacon and erbe are not traditional hollywood stars like tom cruise and julia roberts , and therefore , are easier to relate to and always plausible as a struggling couple who have to work overtime at their jobs just to make ends meet .	2	-2	 bacon[0] and[0] erbe[0] are[0] not[0] traditional[0] hollywood[0] stars[0] like[1] tom[0] cruise[0] and[0] julia[0] roberts[0] and[0] therefore[0] are[0] easier[0] to[0] relate[0] to[0] and[0] always[0] plausible[0] as[0] a[0] struggling[-1] couple[0] who[0] have[0] to[0] work[0] overtime[0] at[0] their[0] jobs[0] just[0] to[0] make[0] ends[0] meet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a masterfully-done , entrancing sequence , tom is hypnotized by lisa , but instead of watching him , we instead see what he sees , starting from his view as he closes his eyes into darkness . 	in a masterfully-done , entrancing sequence , tom is hypnotized by lisa , but instead of watching him , we instead see what he sees , starting from his view as he closes his eyes into darkness .	1	-1	 in[0] a[0] masterfully[0] done[0] entrancing[0] sequence[0] tom[0] is[0] hypnotized[0] by[0] lisa[0] but[0] instead[0] of[0] watching[0] him[0] we[0] instead[0] see[0] what[0] he[0] sees[0] starting[0] from[0] his[0] view[0] as[0] he[0] closes[0] his[0] eyes[0] into[0] darkness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lisa tells him to visualize being in an empty movie theater , and so , we , as audience members , are watching a movie screen from inside a theater , which is also showing a movie screen in a theater . 	lisa tells him to visualize being in an empty movie theater , and so , we , as audience members , are watching a movie screen from inside a theater , which is also showing a movie screen in a theater .	1	-1	 lisa[0] tells[0] him[0] to[0] visualize[0] being[0] in[0] an[0] empty[0] movie[0] theater[0] and[0] so[0] we[0] as[0] audience[0] members[0] are[0] watching[0] a[0] movie[0] screen[0] from[0] inside[0] a[0] theater[0] which[0] is[0] also[0] showing[0] a[0] movie[0] screen[0] in[0] a[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
telling him to move closer and closer to the screen as a fuzzy word in black letters pops up on the screen , we begin to float closer and closer to the front of the theater until we see that the word is " sleep . " 	telling him to move closer and closer to the screen as a fuzy word in black letters pops up on the screen , we begin to float closer and closer to the front of the theater until we see that the word is " sleep .<br> "	1	-1	 telling[0] him[0] to[0] move[0] closer[0] and[0] closer[0] to[0] the[0] screen[0] as[0] a[0] fuzzy/fuzy[0] word[0] in[0] black[0] letters[0] pops[0] up[0] on[0] the[0] screen[0] we[0] begin[0] to[0] float[0] closer[0] and[0] closer[0] to[0] the[0] front[0] of[0] the[0] theater[0] until[0] we[0] see[0] that[0] the[0] word[0] is[0] sleep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
