screen story by kevin yagher and andrew kevin walker . 	Translation	Positive	Negative	EmotionRationale
screenplay by andrew kevin walker . 	screenplay by andrew kevin walker .	1	-1	 screenplay[0] by[0] andrew[0] kevin[0] walker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inspired by the short story the legend of sleepy hollow by washington irving . 	inspired by the short story the legend of sleepy hollow by washington irving .	3	-2	 inspired[2] by[0] the[0] short[0] story[0] the[0] legend[0] of[0] sleepy[0] hollow[-1] by[0] washington[0] irving[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
directed by tim burton . 	directed by tim burton .	1	-1	 directed[0] by[0] tim[0] burton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring johnny depp , christina ricci , and casper van dien . 	starring johnny dep , christina ricci , and casper van dien .	1	-1	 starring[0] johnny[0] depp/dep[0] christina[0] ricci[0] and[0] casper[0] van[0] dien[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
special appearances by christopher lee and christopher walken . 	special appearances by christopher lee and christopher walken .	2	-1	 special[1] appearances[0] by[0] christopher[0] lee[0] and[0] christopher[0] walken[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
synopsis : investigator ichabod crane journeys to 1799 sleepy hollow to investigate a series of murders involving decapitation . 	synopsis : investigator ichabod crane journeys to 1799 sleepy hollow to investigate a series of murders involving decapitation .	1	-4	 synopsis[0] investigator[0] ichabod[0] crane[0] journeys[0] to[0] 1799[0] sleepy[0] hollow[-1] to[0] investigate[0] a[0] series[0] of[0] murders[-3] involving[0] decapitation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
townspeople believe the spirit of a dead german mercenary is threatening them . 	townspeople believe the spirit of a dead german mercenary is threatening them .	1	-3	 townspeople[0] believe[0] the[0] spirit[0] of[0] a[0] dead[-2] german[-1] mercenary[0] is[0] threatening[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cute blonde katrina and a listless orphan help crane solve the mystery . 	cute blonde katrina and a listless orphan help crane solve the mystery .	2	-2	 cute[1] blonde[0] katrina[0] and[0] a[0] listless[0] orphan[-1] help[0] crane[0] solve[0] the[0] mystery[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
comments : tim burton has directed a number of entertaining and groundbreaking films over the years . 	comments : tim burton has directed a number of entertaining and groundbreaking films over the years .	1	-1	 comments[0] tim[0] burton[0] has[0] directed[0] a[0] number[0] of[0] entertaining[0] and[0] groundbreaking[0] films[0] over[0] the[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
batman , of course , is perhaps his best-known film and led to a string of less successful sequels . 	batman , of course , is perhaps his best-known film and led to a string of less successful sequels .	3	-1	 batman[0] of[0] course[0] is[0] perhaps[0] his[0] best[1] known[0] film[0] and[0] led[0] to[0] a[0] string[0] of[0] less[0] successful[2] sequels[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's done biographical work ( on the director ed wood ) , children's movies ( nightmare before christmas ) , and a homage to alien invasion movies ( mars attacks ! ) . 	he's done biographical work ( on the director ed wood ) , children's movies ( nightmare before christmas ) , and a homage to alien invasion movies ( mars attacks !<br> ) .	1	-3	 he's[0] done[0] biographical[0] work[0] on[0] the[0] director[0] ed[0] wood[0] children's[0] movies[0] nightmare[-2] before[0] christmas[0] and[0] a[0] homage[0] to[0] alien[-1] invasion[0] movies[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sleepy hollow , his newest feature which fans have been anticipating for a while , shares the similar dark and atmospheric style of his earlier work and counts among his better movies . 	sleepy hollow , his newest feature which fans have been anticipating for a while , shares the similar dark and atmospheric style of his earlier work and counts among his better movies .	1	-2	 sleepy[0] hollow[-1] his[0] newest[0] feature[0] which[0] fans[0] have[0] been[0] anticipating[0] for[0] a[0] while[0] shares[0] the[0] similar[0] dark[0] and[0] atmospheric[0] style[0] of[0] his[0] earlier[0] work[0] and[0] counts[0] among[0] his[0] better[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sleepy hollow quite obviously draws its inspiration from the old period horror films of the 1950s and 1960s , especially hammer studios' reworkings of dracula and frankenstein , and american international's series of movies based on the works of edgar allan poe . 	sleepy hollow quite obviously draws its inspiration from the old period horror films of the 1950s and 1960s , especially hammer studios' reworkings of dracula and frankenstein , and american international's series of movies based on the works of edgar allan poe .	3	-4	 sleepy[0] hollow[-1] quite[0] obviously[0] draws[0] its[0] inspiration[2] from[0] the[0] old[0] period[0] horror[-3] films[0] of[0] the[0] 1950s[0] and[0] 1960s[0] especially[0] hammer[0] studios'[0] reworkings[0] of[0] dracula[0] and[0] frankenstein[0] and[0] american[0] international's[0] series[0] of[0] movies[0] based[0] on[0] the[0] works[0] of[0] edgar[0] allan[0] poe[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
christopher lee , in fact , star of many hammer productions over the years , appears at the beginning of sleepy hollow as a judge who sends ichabod crane out to investigate the murders . 	christopher lee , in fact , star of many hammer productions over the years , appears at the beginning of sleepy hollow as a judge who sends ichabod crane out to investigate the murders .	1	-4	 christopher[0] lee[0] in[0] fact[0] star[0] of[0] many[0] hammer[0] productions[0] over[0] the[0] years[0] appears[0] at[0] the[0] beginning[0] of[0] sleepy[0] hollow[-1] as[0] a[0] judge[0] who[0] sends[0] ichabod[0] crane[0] out[0] to[0] investigate[0] the[0] murders[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie also borrows from the universal monster movies of the 1930s . 	the movie also borrows from the universal monster movies of the 1930s .	1	-2	 the[0] movie[0] also[0] borrows[0] from[0] the[0] universal[0] monster[-1] movies[0] of[0] the[0] 1930s[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the climatic scenes involves a windmill and obviously takes its cue from frankenstein . 	one of the climatic scenes involves a windmill and obviously takes its cue from frankenstein .	1	-1	 one[0] of[0] the[0] climatic[0] scenes[0] involves[0] a[0] windmill[0] and[0] obviously[0] takes[0] its[0] cue[0] from[0] frankenstein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mention these allusions for a reason . 	i mention these allusions for a reason .	1	-1	 i[0] mention[0] these[0] allusions[0] for[0] a[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seasoned horror film fans , including myself , will smile at their inclusion in this film . 	seasoned horror film fans , including myself , will smile at their inclusion in this film .	3	-4	 seasoned[0] horror[-3] film[0] fans[0] including[0] myself[0] will[0] smile[2] at[0] their[0] inclusion[0] in[0] this[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
with the recent disappointments in theatrically released horror movies , especially the blair witch project ( the most overblown turkey of the decade ) , we needed a film like this . 	with the recent disappointments in theatrically released horror movies , especially the blair witch project ( the most overblown turkey of the decade ) , we needed a film like this .	2	-4	 with[0] the[0] recent[0] disappointments[-1] in[0] theatrically[0] released[0] horror[-3] movies[0] especially[0] the[0] blair[0] witch[0] project[0] the[0] most[0] overblown[0] turkey[0] of[0] the[0] decade[0] we[0] needed[0] a[0] film[0] like[1] this[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
not only does it have a sense of history , but burton's skillful use of setting and mood make this an entertaining exercise in horror . 	not only does it have a sense of history , but burton's skillful use of setting and mood make this an entertaining exercise in horror .	2	-4	 not[0] only[0] does[0] it[0] have[0] a[0] sense[0] of[0] history[0] but[0] burton's[0] skillful[1] use[0] of[0] setting[0] and[0] mood[0] make[0] this[0] an[0] entertaining[0] exercise[0] in[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film's eerie landscapes and foggy towns , indeed , overshadow the actors and the plot as the most noteworthy aspect of the movie . 	the film's eerie landscapes and foggy towns , indeed , overshadow the actors and the plot as the most noteworthy aspect of the movie .	1	-1	 the[0] film's[0] eerie[0] landscapes[0] and[0] foggy[0] towns[0] indeed[0] overshadow[0] the[0] actors[0] and[0] the[0] plot[0] as[0] the[0] most[0] noteworthy[0] aspect[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
johnny depp , a veteran tim burton actor who has appeared both in ed wood and edward scissorhands , plays ichabod crane , who has apparently changed occupations from irving's original story and is now an investigator . 	johnny dep , a veteran tim burton actor who has appeared both in ed wood and edward scissorhands , plays ichabod crane , who has apparently changed occupations from irving's original story and is now an investigator .	2	-1	 johnny[0] depp/dep[0] a[0] veteran[0] tim[0] burton[0] actor[0] who[0] has[0] appeared[0] both[0] in[0] ed[0] wood[0] and[0] edward[0] scissorhands[0] plays[1] ichabod[0] crane[0] who[0] has[0] apparently[0] changed[0] occupations[0] from[0] irving's[0] original[0] story[0] and[0] is[0] now[0] an[0] investigator[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
depp is adequate in his role . 	dep is adequate in his role .	1	-1	 depp/dep[0] is[0] adequate[0] in[0] his[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no more ; no less . 	no more ; no less .	1	-1	 no[0] more[0] no[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
equally adequate is christina ricci , who plays the love interest in the film . 	equally adequate is christina ricci , who plays the love interest in the film .	3	-1	 equally[0] adequate[0] is[0] christina[0] ricci[0] who[0] plays[1] the[0] love[2] interest[1] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she's a good witch too . 	she's a good witch too .	2	-1	 she's[0] a[0] good[1] witch[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how cute . 	how cute .	2	-1	 how[0] cute[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the few weak parts of sleepy hollow is the wooden and cliched dialogue between the main characters . 	one of the few weak parts of sleepy hollow is the wooden and cliched dialogue between the main characters .	1	-2	 one[0] of[0] the[0] few[0] weak[-1] parts[0] of[0] sleepy[0] hollow[-1] is[0] the[0] wooden[0] and[0] cliched[0] dialogue[0] between[0] the[0] main[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two actors , however , carry the movie well enough , but the supporting cast is what makes this movie shine . 	the two actors , however , carry the movie well enough , but the supporting cast is what makes this movie shine .	2	-1	 the[0] two[0] actors[0] however[0] carry[0] the[0] movie[0] well[0] enough[0] but[0] the[0] supporting[1] cast[0] is[0] what[0] makes[0] this[0] movie[0] shine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
veteran actors such as jeffrey jones and michael gough ( who played the butler alfred in all four recent batman flicks ) are terrific as the aging townsfolk involved in the conspiracy which depp uncovers . 	veteran actors such as jeffrey jones and michael gough ( who played the butler alfred in all four recent batman flicks ) are terrific as the aging townsfolk involved in the conspiracy which dep uncovers .	4	-2	 veteran[0] actors[0] such[0] as[0] jeffrey[0] jones[0] and[0] michael[0] gough[0] who[0] played[0] the[0] butler[0] alfred[0] in[0] all[0] four[0] recent[0] batman[0] flicks[0] are[0] terrific[3] as[0] the[0] aging[0] townsfolk[0] involved[0] in[0] the[0] conspiracy[-1] which[0] depp/dep[0] uncovers[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
while i do not wish to reveal crucial plot points , i can say that the storyline becomes quite confusing . 	while i do not wish to reveal crucial plot points , i can say that the storyline becomes quite confusing .	1	-2	 while[0] i[0] do[0] not[0] wish[0] to[0] reveal[0] crucial[0] plot[0] points[0] i[0] can[0] say[0] that[0] the[0] storyline[0] becomes[0] quite[0] confusing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you have to pay attention . 	you have to pay attention .	1	-1	 you[0] have[0] to[0] pay[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
andrew kevin walker wrote the screenplay . 	andrew kevin walker wrote the screenplay .	1	-1	 andrew[0] kevin[0] walker[0] wrote[0] the[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's the one who also wrote 8 mm and seven . 	he's the one who also wrote 8 m and seven .	1	-1	 he's[0] the[0] one[0] who[0] also[0] wrote[0] 8[0] mm/m[0] and[0] seven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
walker is quickly becoming one of the premiere suspense writers in hollywood , and sleepy hollow certainly doesn't hurt his growing reputation . 	walker is quickly becoming one of the premiere suspense writers in hollywood , and sleepy hollow certainly doesn't hurt his growing reputation .	1	-3	 walker[0] is[0] quickly[0] becoming[0] one[0] of[0] the[0] premiere[0] suspense[0] writers[0] in[0] hollywood[0] and[0] sleepy[0] hollow[-1] certainly[0] doesn't[0] hurt[-2] his[0] growing[0] reputation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as one might imagine from a gentleman like walker , sleepy hollow is quite graphic . 	as one might imagine from a gentleman like walker , sleepy hollow is quite graphic .	2	-2	 as[0] one[0] might[0] imagine[0] from[0] a[0] gentleman[0] like[1] walker[0] sleepy[0] hollow[-1] is[0] quite[0] graphic[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's a lot of blood and a lot of beheadings . 	there's a lot of blood and a lot of beheadings .	1	-5	 there's[0] a[0] lot[0] of[0] blood[0] and[0] a[0] lot[0] of[0] beheadings[-4] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
this is definately not a flick to take the young kids to . 	this is definately not a flick to take the young kids to .	1	-1	 this[0] is[0] definately[0] not[0] a[0] flick[0] to[0] take[0] the[0] young[0] kids[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a lady in front of us took her two young sons to see it and spent about 25 - 30 minutes covering the youngest's eyes with her hand . 	a lady in front of us took her two young sons to see it and spent about 25 - 30 minutes covering the youngest's eyes with her hand .	1	-1	 a[0] lady[0] in[0] front[0] of[0] us[0] took[0] her[0] two[0] young[0] sons[0] to[0] see[0] it[0] and[0] spent[0] about[0] 25[0] 30[0] minutes[0] covering[0] the[0] youngest's[0] eyes[0] with[0] her[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was obviously upset by the movie's intense violence . 	he was obviously upset by the movie's intense violence .	1	-4	 he[0] was[0] obviously[0] upset[-2] by[0] the[0] movie's[0] intense[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
