the rich man's wife is one of those movies like final analysis or body double , where the story and characters are so one-dimensional and contrived that you know you shouldn't be enjoying yourself . 	Translation	Positive	Negative	EmotionRationale
but somehow , the movie just tries so hard that you begin to forgive it and get into the swing of things . 	but somehow , the movie just tries so hard that you begin to forgive it and get into the swing of things .	2	-1	 but[0] somehow[0] the[0] movie[0] just[0] tries[0] so[0] hard[0] that[0] you[0] begin[0] to[0] forgive[1] it[0] and[0] get[0] into[0] the[0] swing[0] of[0] things[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not that it's bad , it's just that it's been done before ; and better , in my opinion . 	not that it's bad , it's just that it's been done before ; and better , in my opinion .	1	-2	 not[0] that[0] it's[0] bad[-1] it's[0] just[0] that[0] it's[0] been[0] done[0] before[0] and[0] better[0] in[0] my[0] opinion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i realize that this is going to sound pretty bizarre , but it's probably the best analogy that i can come up with right now ; you know how when you see a spider or something in your toilet , striving helplessly to get out , and instead of just flushing him , you end up kind of rooting for the little guy ? 	i realize that this is going to sound pretty bizarre , but it's probably the best analogy that i can come up with right now ; you know how when you see a spider or something in your toilet , striving helplessly to get out , and instead of just flushing him , you end up kind of rooting for the little guy ?	3	-2	 i[0] realize[0] that[0] this[0] is[0] going[0] to[0] sound[0] pretty[2] bizarre[-1] but[0] it's[0] probably[0] the[0] best[1] analogy[0] that[0] i[0] can[0] come[0] up[0] with[0] right[0] now[0] you[0] know[0] how[0] when[0] you[0] see[0] a[0] spider[0] or[0] something[0] in[0] your[0] toilet[0] striving[0] helplessly[-1] to[0] get[0] out[0] and[0] instead[0] of[0] just[0] flushing[0] him[0] you[0] end[0] up[0] kind[1] of[0] rooting[0] for[0] the[0] little[0] guy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that's basically how i felt about this movie . 	that's basically how i felt about this movie .	1	-1	 that's[0] basically[0] how[0] i[0] felt[0] about[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , it's not very good , but it's not completely bad either . 	i mean , it's not very good , but it's not completely bad either .	3	-3	 i[0] mean[0] it's[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] but[0] it's[0] not[0] completely[0] bad[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] either[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the wife of the title is josie potenza ( played nicely by halle berry ) . 	the wife of the title is josie potenza ( played nicely by hale berry ) .	2	-1	 the[0] wife[0] of[0] the[0] title[0] is[0] josie[0] potenza[0] played[0] nicely[1] by[0] halle/hale[0] berry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is married to tony ( christopher mcdonald . . . you 	she is married to tony ( christopher mcdonald .<br> .<br> .<br> you	1	-1	 she[0] is[0] married[0] to[0] tony[0] christopher[0] mcdonald[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
know , the guy who looks like joe piscapo ) , a really stressed-out businessman who drinks way to much and doesn't give josie the attention she deserves ( * cough , cough * ) . 	know , the guy who looks like joe piscapo ) , a really stressed-out businessman who drinks way to much and doesn't give josie the attention she deserves ( * cough , cough * ) .	2	-3	 know[0] the[0] guy[0] who[0] looks[0] like[1] joe[0] piscapo[0] a[0] really[0] stressed[-1][-1 LastWordBoosterStrength] out[0] businessman[0] who[0] drinks[0] way[0] to[0] much[0] and[0] doesn't[0] give[0] josie[0] the[0] attention[0] she[0] deserves[0] cough[0] cough[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
thus , she is driven into the arms of another man , jake golden ( clive owen ) . 	thus , she is driven into the arms of another man , jake golden ( clive owen ) .	1	-1	 thus[0] she[0] is[0] driven[0] into[0] the[0] arms[0] of[0] another[0] man[0] jake[0] golden[0] clive[0] owen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
near the beginning of the film , josie decides to try and work things out with tony by dumping jake and going on a vacation to a remote cabin in the woods . 	near the beginning of the film , josie decides to try and work things out with tony by dumping jake and going on a vacation to a remote cabin in the woods .	1	-2	 near[0] the[0] beginning[0] of[0] the[0] film[0] josie[0] decides[0] to[0] try[0] and[0] work[0] things[0] out[0] with[0] tony[0] by[0] dumping[-1] jake[0] and[0] going[0] on[0] a[0] vacation[0] to[0] a[0] remote[0] cabin[0] in[0] the[0] woods[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
