written by john grisham and robert altman ( as al hayes ) 	Translation	Positive	Negative	EmotionRationale
directed by robert altman 	directed by robert altman	1	-1	 directed[0] by[0] robert[0] altman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some time ago , a young director was given the opportunity to direct the screen version of a popular novel . 	some time ago , a young director was given the opportunity to direct the screen version of a popular novel .	1	-1	 some[0] time[0] ago[0] a[0] young[0] director[0] was[0] given[0] the[0] opportunity[0] to[0] direct[0] the[0] screen[0] version[0] of[0] a[0] popular[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the novel was a summer smash , topping best-seller lists across the country and already drawing speculation as to which popular actors of the day might play the leads . 	the novel was a summer smash , topping best-seller lists across the country and already drawing speculation as to which popular actors of the day might play the leads .	2	-2	 the[0] novel[0] was[0] a[0] summer[0] smash[-1] topping[0] best[1] seller[0] lists[0] across[0] the[0] country[0] and[0] already[0] drawing[0] speculation[0] as[0] to[0] which[0] popular[0] actors[0] of[0] the[0] day[0] might[0] play[0] the[0] leads[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only problem : the novel wasn't very good . 	the only problem : the novel wasn't very good .	3	-2	 the[0] only[0] problem[-1] the[0] novel[0] wasn't[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it was far more pulp than pulitzer . 	it was far more pulp than pulitzer .	1	-1	 it[0] was[0] far[0] more[0] pulp[0] than[0] pulitzer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the director realized that , no matter how pedestrian the prose , this book really grabbed people - that the author , while not a great writer , was a fantastic storyteller . 	but the director realized that , no matter how pedestrian the prose , this book really grabbed people - that the author , while not a great writer , was a fantastic storyteller .	3	-3	 but[0] the[0] director[0] realized[0] that[0] no[0] matter[0] how[0] pedestrian[0] the[0] prose[0] this[0] book[0] really[0] grabbed[-1][-1 LastWordBoosterStrength] people[0] that[0] the[0] author[0] while[0] not[0] a[0] great[2][NegatedDueToPreviousWord] writer[0] was[0] a[0] fantastic[2] storyteller[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
so he took on the project , convinced he could make something happen on screen . 	so he took on the project , convinced he could make something happen on screen .	1	-1	 so[0] he[0] took[0] on[0] the[0] project[0] convinced[0] he[0] could[0] make[0] something[0] happen[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director ? 	the director ?	1	-1	 the[0] director[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
francis ford coppola . 	francis ford coppola .	1	-1	 francis[0] ford[0] coppola[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the book , of course , was mario puzo's the godfather . 	the book , of course , was mario puzo's the godfather .	1	-1	 the[0] book[0] of[0] course[0] was[0] mario[0] puzo's[0] the[0] godfather[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
