upon arriving at the theater during the opening credits , i took my seat and prepared myself for what appeared to be " hellraiser meets the crow " . 	Translation	Positive	Negative	EmotionRationale
but as soon as kiefer sutherland began speaking the narrative monologue , describing " the strangers " and their reasons for contacting human beings , i was hooked . 	but as soon as kiefer sutherland began speaking the narrative monologue , describing " the strangers " and their reasons for contacting human beings , i was hooked .	1	-1	 but[0] as[0] soon[0] as[0] kiefer[0] sutherland[0] began[0] speaking[0] the[0] narrative[0] monologue[0] describing[0] the[0] strangers[0] and[0] their[0] reasons[0] for[0] contacting[0] human[0] beings[0] i[0] was[0] hooked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was something especially compelling about the nature of his voice . 	there was something especially compelling about the nature of his voice .	1	-1	 there[0] was[0] something[0] especially[0] compelling[0] about[0] the[0] nature[0] of[0] his[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i knew from the start that i was going to witness the actions of his character rather than the actor attempting the character . 	i knew from the start that i was going to witness the actions of his character rather than the actor attempting the character .	1	-1	 i[0] knew[0] from[0] the[0] start[0] that[0] i[0] was[0] going[0] to[0] witness[0] the[0] actions[0] of[0] his[0] character[0] rather[0] than[0] the[0] actor[0] attempting[0] the[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sutherland played the role as a true veteran . 	sutherland played the role as a true veteran .	2	-1	 sutherland[0] played[0] the[0] role[0] as[0] a[0] true[1] veteran[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
upon the completion of his monologue , the camera arrives on sutherland in such a fashion that you can only wonder how long alex proyas spent on cinematography . 	upon the completion of his monologue , the camera arrives on sutherland in such a fashion that you can only wonder how long alex proyas spent on cinematography .	1	-1	 upon[0] the[0] completion[0] of[0] his[0] monologue[0] the[0] camera[0] arrives[0] on[0] sutherland[0] in[0] such[0] a[0] fashion[0] that[0] you[0] can[0] only[0] wonder[0] how[0] long[0] alex[0] proyas[0] spent[0] on[0] cinematography[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i would imagine , for a film of this caliber , that maximum hours of work were spent where they were needed the most . 	i would imagine , for a film of this caliber , that maximum hours of work were spent where they were needed the most .	1	-1	 i[0] would[0] imagine[0] for[0] a[0] film[0] of[0] this[0] caliber[0] that[0] maximum[0] hours[0] of[0] work[0] were[0] spent[0] where[0] they[0] were[0] needed[0] the[0] most[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film flowed beautifully . 	the film flowed beautifully .	3	-1	 the[0] film[0] flowed[0] beautifully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as i was being taken through the intricate regions of the " dark city " , a clever plot began to unravel , to the point where the last time i had seen such clever plot twists were in " the usual suspects " . 	as i was being taken through the intricate regions of the " dark city " , a clever plot began to unravel , to the point where the last time i had seen such clever plot twists were in " the usual suspects " .	1	-1	 as[0] i[0] was[0] being[0] taken[0] through[0] the[0] intricate[0] regions[0] of[0] the[0] dark[0] city[0] a[0] clever[0] plot[0] began[0] to[0] unravel[0] to[0] the[0] point[0] where[0] the[0] last[0] time[0] i[0] had[0] seen[0] such[0] clever[0] plot[0] twists[0] were[0] in[0] the[0] usual[0] suspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not to mention a series of special effects that would make james cameron literally turn green with envy . 	not to mention a series of special effects that would make james cameron literally turn green with envy .	2	-3	 not[0] to[0] mention[0] a[0] series[0] of[0] special[1] effects[0] that[0] would[0] make[0] james[0] cameron[0] literally[0] turn[0] green[0] with[0] envy[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but if you're not exactly the biggest sci-fi fan , caveat emptor . 	but if you're not exactly the biggest sci-fi fan , caveat emptor .	1	-1	 but[0] if[0] you're[0] not[0] exactly[0] the[0] biggest[0] sci[0] fi[0] fan[0] caveat[0] emptor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get ready for the atmostpheric darkness of " 12 monkeys " or " the crow " without the boredom or depression . 	get ready for the atmostpheric darkness of " 12 monkeys " or " the crow " without the boredom or depression .	1	-4	 get[0] ready[0] for[0] the[0] atmostpheric[0] darkness[0] of[0] 12[0] monkeys[0] or[0] the[0] crow[0] without[0] the[0] boredom[-1] or[0] depression[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the concept of the plot is as mindstretching as " 12 monkeys " was , however , so be prepared and be sophisticated . 	the concept of the plot is as mindstretching as " 12 monkeys " was , however , so be prepared and be sophisticated .	1	-1	 the[0] concept[0] of[0] the[0] plot[0] is[0] as[0] mindstretching[0] as[0] 12[0] monkeys[0] was[0] however[0] so[0] be[0] prepared[0] and[0] be[0] sophisticated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and imagine a picture that finally does justice to the comic-book-gone-feature-film fad that hollywood has recently become abusive of . 	and imagine a picture that finally does justice to the comic-book-gone-feature-film fad that hollywood has recently become abusive of .	1	-4	 and[0] imagine[0] a[0] picture[0] that[0] finally[0] does[0] justice[0] to[0] the[0] comic[0] book[0] gone[0] feature[0] film[0] fad[0] that[0] hollywood[0] has[0] recently[0] become[0] abusive[-3] of[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dark city simply puts " spawn " to shame . 	dark city simply puts " spawn " to shame .	1	-3	 dark[0] city[0] simply[0] puts[0] spawn[0] to[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , during the climax of the film i couldn't help but feel the strong presence of an " akira " -esque explosion throughout the general feeling of the movie . 	in fact , during the climax of the film i couldn't help but feel the strong presence of an " akira " -esque explosion throughout the general feeling of the movie .	1	-2	 in[0] fact[0] during[0] the[0] climax[0] of[0] the[0] film[0] i[0] couldn't[0] help[0] but[0] feel[0] the[0] strong[0] presence[0] of[0] an[0] akira[0] esque[0] explosion[-1] throughout[0] the[0] general[0] feeling[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so my initial predictions were wrong . 	so my initial predictions were wrong .	1	-2	 so[0] my[0] initial[0] predictions[0] were[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film is anything but the meloncholy of " hellraiser " parts one through five . 	this film is anything but the meloncholy of " hellraiser " parts one through five .	1	-1	 this[0] film[0] is[0] anything[0] but[0] the[0] meloncholy[0] of[0] hellraiser[0] parts[0] one[0] through[0] five[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm never one to base a film entirly on special effects , so know that when i give dark city 	i'm never one to base a film entirly on special effects , so know that when i give dark city	2	-1	 i'm[0] never[0] one[0] to[0] base[0] a[0] film[0] entirly[0] on[0] special[1] effects[0] so[0] know[0] that[0] when[0] i[0] give[0] dark[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's actually because the film contained all of the neccessary ingredients to keep me entertained and awake from storyline to plot twists to camerawork to even ( tsk , tsk ) special effects . 	it's actually because the film contained all of the necessary ingredients to keep me entertained and awake from storyline to plot twists to camerawork to even ( tsk , tsk ) special effects .	2	-1	 it's[0] actually[0] because[0] the[0] film[0] contained[0] all[0] of[0] the[0] neccessary/necessary[0] ingredients[0] to[0] keep[0] me[0] entertained[0] and[0] awake[0] from[0] storyline[0] to[0] plot[0] twists[0] to[0] camerawork[0] to[0] even[0] tsk[0] tsk[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not since contact have i recieved such deep insight into the way the human mind operates and never this year have i been so blown away . 	not since contact have i recieved such deep insight into the way the human mind operates and never this year have i been so blown away .	1	-1	 not[0] since[0] contact[0] have[0] i[0] recieved[0] such[0] deep[0] insight[0] into[0] the[0] way[0] the[0] human[0] mind[0] operates[0] and[0] never[0] this[0] year[0] have[0] i[0] been[0] so[0] blown[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best film i've seen all year , and easily one of the best i've ever seen 	the best film i've seen all year , and easily one of the best i've ever seen	2	-1	 the[0] best[1] film[0] i've[0] seen[0] all[0] year[0] and[0] easily[0] one[0] of[0] the[0] best[1] i've[0] ever[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
