i guess it's a credit to jackie chan and the general likeability of the franchise that rush hour 2 could not be ruined even by the nauseating " comedy " of chris tucker . 	Translation	Positive	Negative	EmotionRationale
i'm a fan of jackie chan in just about any medium , and this movie lets him not only do his impressive-as-ever martial arts schtick , but show off his comic timing as well . 	i'm a fan of jackie chan in just about any medium , and this movie lets him not only do his impressive-as-ever martial arts schtick , but show off his comic timing as well .	2	-1	 i'm[0] a[0] fan[0] of[0] jackie[0] chan[0] in[0] just[0] about[0] any[0] medium[0] and[0] this[0] movie[0] lets[0] him[0] not[0] only[0] do[0] his[0] impressive[1] as[0] ever[0] martial[0] arts[0] schtick[0] but[0] show[0] off[0] his[0] comic[0] timing[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it would have worked better if he was the only name above the title . 	it would have worked better if he was the only name above the title .	1	-1	 it[0] would[0] have[0] worked[0] better[0] if[0] he[0] was[0] the[0] only[0] name[0] above[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is your basic martial arts flick clothesline for stunts and special effects . 	the plot is your basic martial arts flick clothesline for stunts and special effects .	2	-1	 the[0] plot[0] is[0] your[0] basic[0] martial[0] arts[0] flick[0] clothesline[0] for[0] stunts[0] and[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this time around , the evil smugglers are led by ricky tan ( john lone ) , who makes his fortune by shipping counterfeit money into the united states ( i'm still not sure how you can make a fortune doing that : is there a place where one can exchange fake bills for real ones ? ) . 	this time around , the evil smugglers are led by ricky tan ( john lone ) , who makes his fortune by shipping counterfeit money into the united states ( i'm still not sure how you can make a fortune doing that : is there a place where one can exchange fake bills for real ones ?<br> ) .	1	-3	 this[0] time[0] around[0] the[0] evil[-2] smugglers[-1] are[0] led[0] by[0] ricky[0] tan[0] john[0] lone[-1] who[0] makes[0] his[0] fortune[0] by[0] shipping[0] counterfeit[-1] money[0] into[0] the[0] united[0] states[0] i'm[0] still[0] not[0] sure[0] how[0] you[0] can[0] make[0] a[0] fortune[0] doing[0] that[0] is[0] there[0] a[0] place[0] where[0] one[0] can[0] exchange[0] fake[-1] bills[0] for[0] real[0] ones[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only way to tell the phony money from the genuine article is to set it on fire and see what color it burns . 	the only way to tell the phony money from the genuine article is to set it on fire and see what color it burns .	1	-2	 the[0] only[0] way[0] to[0] tell[0] the[0] phony[0] money[0] from[0] the[0] genuine[0] article[0] is[0] to[0] set[0] it[0] on[0] fire[0] and[0] see[0] what[0] color[0] it[0] burns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , it's up to hong kong detective lee ( chan ) and trash-talking lapd detective james carter ( tucker ) to take the bad guys out and the authorities , to the extent that they even exist , stay out of their way . 	of course , it's up to hong kong detective lee ( chan ) and trash-talking lapd detective james carter ( tucker ) to take the bad guys out and the authorities , to the extent that they even exist , stay out of their way .	1	-2	 of[0] course[0] it's[0] up[0] to[0] hong[0] kong[0] detective[0] lee[0] chan[0] and[0] trash[-1] talking[0] lapd[0] detective[0] james[0] carter[0] tucker[0] to[0] take[0] the[0] bad[-1] guys[0] out[0] and[0] the[0] authorities[0] to[0] the[0] extent[0] that[0] they[0] even[0] exist[0] stay[0] out[0] of[0] their[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rush hour 2 turns the tables on the first film in that here it's carter who gets the two of them into trouble and lee who winds up having to get them out . 	rush hour 2 turns the tables on the first film in that here it's carter who gets the two of them into trouble and lee who winds up having to get them out .	1	-2	 rush[0] hour[0] 2[0] turns[0] the[0] tables[0] on[0] the[0] first[0] film[0] in[0] that[0] here[0] it's[0] carter[0] who[0] gets[0] the[0] two[0] of[0] them[0] into[0] trouble[-1] and[0] lee[0] who[0] winds[0] up[0] having[0] to[0] get[0] them[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guarantee that my rating would have been at least a half of a grade higher had anyone other than chris tucker been cast as the foil for jackie chan . 	i guarantee that my rating would have been at least a half of a grade higher had anyone other than chris tucker been cast as the foil for jackie chan .	1	-1	 i[0] guarantee[0] that[0] my[0] rating[0] would[0] have[0] been[0] at[0] least[0] a[0] half[0] of[0] a[0] grade[0] higher[0] had[0] anyone[0] other[0] than[0] chris[0] tucker[0] been[0] cast[0] as[0] the[0] foil[0] for[0] jackie[0] chan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he refuses to shut up . 	he refuses to shut up .	1	-2	 he[0] refuses[-1] to[0] shut[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only did his voice feel like a jackhammer on my head , but his jokes just aren't funny , a pathetic mixture of sub-par eddie murphy fasttalking blather and wannabe chris rock white-man-black-man jokes that wind up being more offensive than funny . 	not only did his voice feel like a jackhammer on my head , but his jokes just aren't funny , a pathetic mixture of sub-par eddie murphy fasttalking blather and wannabe chris rock white-man-black-man jokes that wind up being more offensive than funny .	2	-3	 not[0] only[0] did[0] his[0] voice[0] feel[0] like[1] a[0] jackhammer[0] on[0] my[0] head[0] but[0] his[0] jokes[1] just[0] aren't[0] funny[1][NegatedDueToPreviousWord] a[0] pathetic[-2] mixture[0] of[0] sub[0] par[0] eddie[0] murphy[0] fasttalking[0] blather[-1] and[0] wannabe[0] chris[0] rock[1] white[0] man[0] black[0] man[0] jokes[1] that[0] wind[0] up[0] being[0] more[0] offensive[-2] than[0] funny[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i realize that in a movie like this some of the biggest laughs come from letting the actors ad lib beyond what the script dictates , but didn't anyone realize how irritating tucker's incessant ranting and raving was ? 	i realize that in a movie like this some of the biggest laughs come from letting the actors ad lib beyond what the script dictates , but didn't anyone realize how irritating tucker's incessant ranting and raving was ?	2	-3	 i[0] realize[0] that[0] in[0] a[0] movie[0] like[1] this[0] some[0] of[0] the[0] biggest[0] laughs[1] come[0] from[0] letting[0] the[0] actors[0] ad[0] lib[0] beyond[0] what[0] the[0] script[0] dictates[0] but[0] didn't[0] anyone[0] realize[0] how[0] irritating[-2] tucker's[0] incessant[-1] ranting[0] and[0] raving[0] was[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if this is all the comedian has to offer then i don't care to see any more of his films . 	if this is all the comedian has to offer then i don't care to see any more of his films .	1	-2	 if[0] this[0] is[0] all[0] the[0] comedian[0] has[0] to[0] offer[0] then[0] i[0] don't[0] care[1][NegatedDueToPreviousWord] to[0] see[0] any[0] more[0] of[0] his[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately , chan makes for a marvelous straight man , and he redeems the fledgling comedy completely . 	fortunately , chan makes for a marvelous straight man , and he redeems the fledgling comedy completely .	1	-1	 fortunately[0] chan[0] makes[0] for[0] a[0] marvelous[0] straight[0] man[0] and[0] he[0] redeems[0] the[0] fledgling[0] comedy[0] completely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not often that one actor can so completely save a movie , but there is no other name for what he does ; whenever he's on screen , rush hour 2 comes to nearly breathtaking , often hilarious , life . 	it's not often that one actor can so completely save a movie , but there is no other name for what he does ; whenever he's on screen , rush hour 2 comes to nearly breathtaking , often hilarious , life .	3	-1	 it's[0] not[0] often[0] that[0] one[0] actor[0] can[0] so[0] completely[0] save[1][1 LastWordBoosterStrength] a[0] movie[0] but[0] there[0] is[0] no[0] other[0] name[0] for[0] what[0] he[0] does[0] whenever[0] he's[0] on[0] screen[0] rush[0] hour[0] 2[0] comes[0] to[0] nearly[0] breathtaking[0] often[0] hilarious[2] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
much of it hinges on the dubious value of how cute it is to watch chan try to be a " player , " but who cares ? 	much of it hinges on the dubious value of how cute it is to watch chan try to be a " player , " but who cares ?	2	-2	 much[0] of[0] it[0] hinges[0] on[0] the[0] dubious[-1] value[1] of[0] how[0] cute[1] it[0] is[0] to[0] watch[0] chan[0] try[0] to[0] be[0] a[0] player[0] but[0] who[0] cares[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i can think of few high concepts that are funnier . 	i can think of few high concepts that are funnier .	2	-1	 i[0] can[0] think[0] of[0] few[0] high[0] concepts[0] that[0] are[0] funnier[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie ends with outtakes that , as usual , show that chan isn't perfect , and that it does , indeed , take him a few tries to get some of his incredible stunts to look seamless . 	the movie ends with outtakes that , as usual , show that chan isn't perfect , and that it does , indeed , take him a few tries to get some of his incredible stunts to look seamless .	1	-2	 the[0] movie[0] ends[0] with[0] outtakes[0] that[0] as[0] usual[0] show[0] that[0] chan[0] isn't[0] perfect[1][NegatedDueToPreviousWord] and[0] that[0] it[0] does[0] indeed[0] take[0] him[0] a[0] few[0] tries[0] to[0] get[0] some[0] of[0] his[0] incredible[0] stunts[0] to[0] look[0] seamless[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chris tucker botches some lines as well , and his mistakes are funnier than anything he says in the whole movie . 	chris tucker botches some lines as well , and his mistakes are funnier than anything he says in the whole movie .	2	-2	 chris[0] tucker[0] botches[0] some[0] lines[0] as[0] well[0] and[0] his[0] mistakes[-1] are[0] funnier[1] than[0] anything[0] he[0] says[0] in[0] the[0] whole[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a lot of people have pointed out rush hour 2 isn't very different from its predecessor in tone or style . 	a lot of people have pointed out rush hour 2 isn't very different from its predecessor in tone or style .	1	-1	 a[0] lot[0] of[0] people[0] have[0] pointed[0] out[0] rush[0] hour[0] 2[0] isn't[0] very[0] different[0] from[0] its[0] predecessor[0] in[0] tone[0] or[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i liked the original , and i like the sequel , though a certain sidekick seems to have done his best to ruin it . 	but i liked the original , and i like the sequel , though a certain sidekick seems to have done his best to ruin it .	3	-2	 but[0] i[0] liked[2] the[0] original[0] and[0] i[0] like[1] the[0] sequel[0] though[0] a[0] certain[0] sidekick[0] seems[0] to[0] have[0] done[0] his[0] best[1] to[0] ruin[-1] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director brett ratner ( the family man ) keeps it moving at an entertaining pace and manages to keep the laughs coming despite the fairly miserable hit to miss ratio of the jokes ( i guess sometimes the shotgun approach works ) . 	director brett ratner ( the family man ) keeps it moving at an entertaining pace and manages to keep the laughs coming despite the fairly miserable hit to miss ratio of the jokes ( i guess sometimes the shotgun approach works ) .	2	-3	 director[0] brett[0] ratner[0] the[0] family[0] man[0] keeps[0] it[0] moving[0] at[0] an[0] entertaining[0] pace[0] and[0] manages[0] to[0] keep[0] the[0] laughs[1] coming[0] despite[0] the[0] fairly[0] miserable[-2] hit[0] to[0] miss[-1] ratio[0] of[0] the[0] jokes[1] i[0] guess[0] sometimes[0] the[0] shotgun[0] approach[0] works[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not great jackie chan , but it's jackie chan , and that's enough . 	it's not great jackie chan , but it's jackie chan , and that's enough .	1	-3	 it's[0] not[0] great[2][NegatedDueToPreviousWord] jackie[0] chan[0] but[0] it's[0] jackie[0] chan[0] and[0] that's[0] enough[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
up next : jay and silent bob strike back 	up next : jay and silent bob strike back	1	-2	 up[0] next[0] jay[0] and[0] silent[0] bob[0] strike[-1] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
