seen august 8 , 1998 at 6 p . m . at rotterdam square cinemas ( rotterdam , ny ) , theater #6 , by myself for free using my sony/loews critic's pass . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * * : good seats , sound , and picture] 	[theater rating : * * * : good seats , sound , and picture]	2	-1	 [theater[0] rating[0] good[1] seats[0] sound[0] and[0] picture][0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
war is a topic that can't help but be glorified any way it is portrayed by the media . 	war is a topic that can't help but be glorified any way it is portrayed by the media .	2	-3	 war[-2] is[0] a[0] topic[0] that[0] can't[0] help[0] but[0] be[0] glorified[1] any[0] way[0] it[0] is[0] portrayed[0] by[0] the[0] media[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
movies , documentaries , and even history books have a way of making the darker side of humanity exciting since the most general aspects are focused on , such as strategy , politics , and victory . 	movies , documentaries , and even history books have a way of making the darker side of humanity exciting since the most general aspects are focused on , such as strategy , politics , and victory .	3	-1	 movies[0] documentaries[0] and[0] even[0] history[0] books[0] have[0] a[0] way[0] of[0] making[0] the[0] darker[0] side[0] of[0] humanity[0] exciting[2] since[0] the[0] most[0] general[0] aspects[0] are[0] focused[0] on[0] such[0] as[0] strategy[0] politics[0] and[0] victory[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's easy to forget war , in its most basic form , is a battle of armies out to slaughter each other . 	it's easy to forget war , in its most basic form , is a battle of armies out to slaughter each other .	1	-3	 it's[0] easy[0] to[0] forget[0] war[-2] in[0] its[0] most[0] basic[0] form[0] is[0] a[0] battle[-1] of[0] armies[0] out[0] to[0] slaughter[-1] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
forgotten more easily is the fact that each soldier , no matter what his rank or importance , is a real flesh-and-blood person and not just a number . 	forgotten more easily is the fact that each soldier , no matter what his rank or importance , is a real flesh-and-blood person and not just a number .	1	-1	 forgotten[0] more[0] easily[0] is[0] the[0] fact[0] that[0] each[0] soldier[0] no[0] matter[0] what[0] his[0] rank[0] or[0] importance[0] is[0] a[0] real[0] flesh[0] and[0] blood[0] person[0] and[0] not[0] just[0] a[0] number[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " saving private ryan " is one of the few films that dares play up this aspect , especially in its unapologetic , realistic delivery . 	 " saving private ryan " is one of the few films that dares play up this aspect , especially in its unapologetic , realistic delivery .	1	-1	 saving[0] private[0] ryan[0] is[0] one[0] of[0] the[0] few[0] films[0] that[0] dares[0] play[0] up[0] this[0] aspect[0] especially[0] in[0] its[0] unapologetic[0] realistic[0] delivery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it proves there's a huge difference between battling and killing . 	it proves there's a huge difference between battling and killing .	1	-2	 it[0] proves[0] there's[0] a[0] huge[0] difference[0] between[0] battling[0] and[0] killing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film opens with one of the most graphic , disturbing scenes in recent memory . 	the film opens with one of the most graphic , disturbing scenes in recent memory .	1	-2	 the[0] film[0] opens[0] with[0] one[0] of[0] the[0] most[0] graphic[0] disturbing[-1] scenes[0] in[0] recent[0] memory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's world war ii , d-day to be exact , and the u . s . military is invading omaha beach where the nazis are more than ready for them . 	it's world war i , d-day to be exact , and the you .<br> s .<br> military is invading omaha beach where the nazis are more than ready for them .	1	-3	 it's[0] world[0] war[-2] ii/i[0] d[0] day[0] to[0] be[0] exact[0] and[0] the[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] military[0] is[0] invading[0] omaha[0] beach[0] where[0] the[0] nazis[-1] are[0] more[0] than[0] ready[0] for[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
spielberg uses many techniques to create for a total sense of reality . 	spielberg uses many techniques to create for a total sense of reality .	1	-1	 spielberg[0] uses[0] many[0] techniques[0] to[0] create[0] for[0] a[0] total[0] sense[0] of[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
