it is always refreshing to see a superstar actor who gets paid more than enough to forget about working for a living to want to take a chance and play a less-than-savoury character as mel gibson does in payback . 	Translation	Positive	Negative	EmotionRationale
of course , if i was being paid  25 million for one month's work , i'd probably be willing to take risks as well , but that's neither here nor there . 	of course , if i was being paid  25 million for one month's work , i'd probably be willing to take risks as well , but that's neither here nor there .	1	-2	 of[0] course[0] if[0] i[0] was[0] being[0] paid[0] 25[0] million[0] for[0] one[0] month's[0] work[0] i'd[0] probably[0] be[0] willing[0] to[0] take[0] risks[-1] as[0] well[0] but[0] that's[0] neither[0] here[0] nor[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
payback is based on a novel by richard stark ( apparently actually donald e . westlake , author of the grifters , itself a fine crime film ) which was also filmed in the 1960s as point blank starring one of the toughest of tough guys , lee marvin . 	payback is based on a novel by richard stark ( apparently actually donald e .<br> westlake , author of the grifters , itself a fine crime film ) which was also filmed in the 1960s as point blank starring one of the toughest of tough guys , lee marvin .	3	-2	 payback[0] is[0] based[0] on[0] a[0] novel[0] by[0] richard[0] stark[-1] apparently[0] actually[0] donald[0] e[0] [[Sentence=-2,1=word max, 1-5]] westlake[0] author[0] of[0] the[0] grifters[0] itself[0] a[0] fine[2] crime[-1] film[0] which[0] was[0] also[0] filmed[0] in[0] the[0] 1960s[0] as[0] point[0] blank[0] starring[0] one[0] of[0] the[0] toughest[-1] of[0] tough[-1] guys[0] lee[0] marvin[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film opens with gibson having recovered from being shot several times in the back , by whom we don't know yet . 	the film opens with gibson having recovered from being shot several times in the back , by whom we don't know yet .	1	-2	 the[0] film[0] opens[0] with[0] gibson[0] having[0] recovered[0] from[0] being[0] shot[-1] several[0] times[0] in[0] the[0] back[0] by[0] whom[0] we[0] don't[0] know[0] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all we know is that gibson , as porter , isn't a happy chappy and is hellbent on getting the money stolen from him back , and getting even in the process , no matter what the consequences . 	all we know is that gibson , as porter , isn't a happy chappy and is hellbent on getting the money stolen from him back , and getting even in the process , no matter what the consequences .	1	-2	 all[0] we[0] know[0] is[0] that[0] gibson[0] as[0] porter[0] isn't[0] a[0] happy[1][NegatedDueToPreviousWord] chappy[0] and[0] is[0] hellbent[0] on[0] getting[0] the[0] money[0] stolen[-1] from[0] him[0] back[0] and[0] getting[0] even[0] in[0] the[0] process[0] no[0] matter[0] what[0] the[0] consequences[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it turns out that the man he's after is val ( gregg henry ) , his sometime partner with whom he stole a briefcase full of cash from a gang of chinese mobsters . 	it turns out that the man he's after is val ( gregg henry ) , his sometime partner with whom he stole a briefcase full of cash from a gang of chinese mobsters .	1	-2	 it[0] turns[0] out[0] that[0] the[0] man[0] he's[0] after[0] is[0] val[0] gregg[0] henry[0] his[0] sometime[0] partner[0] with[0] whom[0] he[0] stole[-1] a[0] briefcase[0] full[0] of[0] cash[0] from[0] a[0] gang[0] of[0] chinese[0] mobsters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
obviously not having much of a crisis of the soul , val figures porter is dead and goes about using his share of the money to pay off a debt to his employers . 	obviously not having much of a crisis of the soul , val figures porter is dead and goes about using his share of the money to pay off a debt to his employers .	1	-3	 obviously[0] not[0] having[0] much[0] of[0] a[0] crisis[-2] of[0] the[0] soul[0] val[0] figures[0] porter[0] is[0] dead[-2] and[0] goes[0] about[0] using[0] his[0] share[0] of[0] the[0] money[0] to[0] pay[0] off[0] a[0] debt[0] to[0] his[0] employers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
porter , however , is the sort of man who holds a grudge and once on his feet , goes about exacting revenge on the double-crossing val . 	porter , however , is the sort of man who holds a grudge and once on his feet , goes about exacting revenge on the double-crossing val .	1	-2	 porter[0] however[0] is[0] the[0] sort[0] of[0] man[0] who[0] holds[0] a[0] grudge[-1] and[0] once[0] on[0] his[0] feet[0] goes[0] about[0] exacting[0] revenge[-1] on[0] the[0] double[0] crossing[0] val[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gibson gives a terrific performance in the sort of role which he was born to play , that of a slightly unhinged guy who doesn't mind beating up or shooting people to get what he wants . 	gibson gives a terrific performance in the sort of role which he was born to play , that of a slightly unhinged guy who doesn't mind beating up or shooting people to get what he wants .	4	-2	 gibson[0] gives[0] a[0] terrific[3] performance[0] in[0] the[0] sort[0] of[0] role[0] which[0] he[0] was[0] born[0] to[0] play[0] that[0] of[0] a[0] slightly[0] unhinged[0] guy[0] who[0] doesn't[0] mind[0] beating[0] up[0] or[0] shooting[-1] people[0] to[0] get[0] what[0] he[0] wants[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
you probably wouldn't see other actors in his salary range take such an offbeat , out-of-character role such as porter ( jim carrey won't be doing anything like this in a hurry after what happened the last time he tried - the cable guy , anyone ? ) . 	you probably wouldn't see other actors in his salary range take such an offbeat , out-of-character role such as porter ( jim carrey won't be doing anything like this in a hurry after what happened the last time he tried - the cable guy , anyone ?<br> ) .	2	-1	 you[0] probably[0] wouldn't[0] see[0] other[0] actors[0] in[0] his[0] salary[0] range[0] take[0] such[0] an[0] offbeat[0] out[0] of[0] character[0] role[0] such[0] as[0] porter[0] jim[0] carrey[0] won't[0] be[0] doing[0] anything[0] like[1] this[0] in[0] a[0] hurry[0] after[0] what[0] happened[0] the[0] last[0] time[0] he[0] tried[0] the[0] cable[0] guy[0] anyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
harrison ford's idea of playing an unsympathetic character is presumed innocent ; the last time schwarzenegger played a villain was batman and robin , which we won't mention further ; and has stallone ever really played a villain at all ? 	harrison ford's idea of playing an unsympathetic character is presumed innocent ; the last time schwarzenegger played a villain was batman and robin , which we won't mention further ; and has stallone ever really played a villain at all ?	2	-3	 harrison[0] ford's[0] idea[0] of[0] playing[1] an[0] unsympathetic[0] character[0] is[0] presumed[0] innocent[1] the[0] last[0] time[0] schwarzenegger[0] played[0] a[0] villain[-2] was[0] batman[0] and[0] robin[0] which[0] we[0] won't[0] mention[0] further[0] and[0] has[0] stallone[0] ever[0] really[0] played[0] a[0] villain[-2] at[0] all[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
