zero effect gets its title from the main character , daryl zero ( bill pullman ) , although we don't understand what it truly means until the very last line of dialogue in the film . 	Translation	Positive	Negative	EmotionRationale
zero is a private investigator , perhaps the best private investigator who ever lived ( at least he'd like to think so ) . 	zero is a private investigator , perhaps the best private investigator who ever lived ( at least he'd like to think so ) .	2	-1	 zero[0] is[0] a[0] private[0] investigator[0] perhaps[0] the[0] best[1] private[0] investigator[0] who[0] ever[0] lived[0] at[0] least[0] he'd[0] like[1] to[0] think[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , he's a socially inept being , and eccentric in every possible way -- this fact certainly makes his talents as a private eye even more bewildering than they already are . 	however , he's a socially inept being , and eccentric in every possible way - this fact certainly makes his talents as a private eye even more bewildering than they already are .	2	-3	 however[0] he's[0] a[0] socially[0] inept[0] being[0] and[0] eccentric[-1] in[0] every[0] possible[0] way[0] this[0] fact[0] certainly[0] makes[0] his[0] talents[1] as[0] a[0] private[0] eye[0] even[0] more[0] bewildering[-2] than[0] they[0] already[0] are[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
zero's accomplice is steve arlo ( ben stiller ) , a " normal " guy who does the business side of the job -- he's the one who actually speaks to clients and explains zero's greatness as an investigator . 	zero's accomplice is steve arlo ( ben stiller ) , a " normal " guy who does the business side of the job - he's the one who actually speaks to clients and explains zero's greatness as an investigator .	3	-1	 zero's[0] accomplice[0] is[0] steve[0] arlo[0] ben[0] stiller[0] a[0] normal[0] guy[0] who[0] does[0] the[0] business[0] side[0] of[0] the[0] job[0] he's[0] the[0] one[0] who[0] actually[0] speaks[0] to[0] clients[0] and[0] explains[0] zero's[0] greatness[2] as[0] an[0] investigator[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the opening scene has steve explaining the many virtues of zero's talents to soon-to-be client gregory stark ( ryan o'neal ) . 	the opening scene has steve explaining the many virtues of zero's talents to soon-to-be client gregory stark ( ryan o'neal ) .	3	-2	 the[0] opening[0] scene[0] has[0] steve[0] explaining[0] the[0] many[0] virtues[2] of[0] zero's[0] talents[1] to[0] soon[0] to[0] be[0] client[0] gregory[0] stark[-1] ryan[0] o'neal[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it turns out that stark has lost a key to a safe deposit box , and is now being blackmailed for something that he apparently knows nothing about . 	it turns out that stark has lost a key to a safe deposit box , and is now being blackmailed for something that he apparently knows nothing about .	2	-3	 it[0] turns[0] out[0] that[0] stark[-1] has[0] lost[0] a[0] key[0] to[0] a[0] safe[1] deposit[0] box[0] and[0] is[0] now[0] being[0] blackmailed[-2] for[0] something[0] that[0] he[0] apparently[0] knows[0] nothing[0] about[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
zero takes the case , and the plot thickens . 	zero takes the case , and the plot thickens .	1	-1	 zero[0] takes[0] the[0] case[0] and[0] the[0] plot[0] thickens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his path leads to a young , pretty paramedic named gloria sullivan ( kim dickens ) . 	his path leads to a young , pretty paramedic named gloria sullivan ( kim dickens ) .	3	-1	 his[0] path[0] leads[0] to[0] a[0] young[0] pretty[2] paramedic[0] named[0] gloria[1] sullivan[0] kim[0] dickens[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite her luminous and seemingly-harmless presence , she turns out to be the one blackmailing stark . 	despite her luminous and seemingly-harmless presence , she turns out to be the one blackmailing stark .	2	-3	 despite[0] her[0] luminous[0] and[0] seemingly[0] harmless[1] presence[0] she[0] turns[0] out[0] to[0] be[0] the[0] one[0] blackmailing[-2] stark[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
through his investigations , zero learns why , but not without developing feelings for gloria -- feelings that , because of his reclusive behavior , are new and confusing to him . 	through his investigations , zero learns why , but not without developing feelings for gloria - feelings that , because of his reclusive behavior , are new and confusing to him .	2	-2	 through[0] his[0] investigations[0] zero[0] learns[0] why[0] but[0] not[0] without[0] developing[0] feelings[0] for[0] gloria[1] feelings[0] that[0] because[0] of[0] his[0] reclusive[0] behavior[0] are[0] new[0] and[0] confusing[-1] to[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i have no particular affinity towards the mystery genre of film . 	i have no particular affinity towards the mystery genre of film .	1	-1	 i[0] have[0] no[0] particular[0] affinity[0] towards[0] the[0] mystery[0] genre[0] of[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
