when i saw the trailer for " the sixth sense , " i didn't expect much from it . 	Translation	Positive	Negative	EmotionRationale
my snap judgment was that it was a watered-down version of " the shining " or possibly a late-entry in the glut of angel-related movies/tv shows of a couple years ago . 	my snap judgment was that it was a watered-down version of " the shining " or possibly a late-entry in the glut of angel-related movies/tv shows of a couple years ago .	1	-1	 my[0] snap[0] judgment[0] was[0] that[0] it[0] was[0] a[0] watered[0] down[0] version[0] of[0] the[0] shining[0] or[0] possibly[0] a[0] late[0] entry[0] in[0] the[0] glut[0] of[0] angel[0] related[0] movies/tv[0] shows[0] of[0] a[0] couple[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but all the buzz motivated me to give it a shot . 	but all the buz motivated me to give it a shot .	1	-2	 but[0] all[0] the[0] buzz/buz[0] motivated[0] me[0] to[0] give[0] it[0] a[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it turned out to be one of the most satisfying movie experiences of the year . 	it turned out to be one of the most satisfying movie experiences of the year .	2	-1	 it[0] turned[0] out[0] to[0] be[0] one[0] of[0] the[0] most[0] satisfying[1] movie[0] experiences[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bruce willis plays child psychologist malcolm crowe . 	bruce willis plays child psychologist malcolm crowe .	2	-1	 bruce[0] willis[0] plays[1] child[0] psychologist[0] malcolm[0] crowe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the beginning of the movie , he is admiring an award the city has given him for his work , but he is soon confronted by vincent , a patient malcolm failed years earlier ( donnie wahlberg-former new kid-in an impressive cameo ) . 	at the beginning of the movie , he is admiring an award the city has given him for his work , but he is soon confronted by vincent , a patient malcolm failed years earlier ( donnie wahlberg-former new kid-in an impressive cameo ) .	3	-3	 at[0] the[0] beginning[0] of[0] the[0] movie[0] he[0] is[0] admiring[2] an[0] award[0] the[0] city[0] has[0] given[0] him[0] for[0] his[0] work[0] but[0] he[0] is[0] soon[0] confronted[-2] by[0] vincent[0] a[0] patient[0] malcolm[0] failed[-2] years[0] earlier[0] donnie[0] wahlberg[0] former[0] new[0] kid[0] in[0] an[0] impressive[1] cameo[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a year passes , and malcolm is treating another child with the same symptoms vincent displayed . 	a year passes , and malcolm is treating another child with the same symptoms vincent displayed .	1	-2	 a[0] year[0] passes[0] and[0] malcolm[0] is[0] treating[0] another[0] child[0] with[0] the[0] same[0] symptoms[-1] vincent[0] displayed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cole sear ( haley joel osment ) is a withdrawn kid who is called " freak " by the other boys in the neighborhood . 	cole sear ( haley joel osment ) is a withdrawn kid who is called " freak " by the other boys in the neighborhood .	1	-2	 cole[0] sear[0] haley[0] joel[0] osment[0] is[0] a[0] withdrawn[0] kid[0] who[0] is[0] called[0] freak[-1] by[0] the[0] other[0] boys[0] in[0] the[0] neighborhood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
weird things seem to happen around cole-his mother ( olivia williams ) leaves the kitchen for a moment and returns to find every cabinet and drawer open even though cole hasn't moved-and cole seems to know things that a kid his age shouldn't-for example , that there was once a gallows in his school . 	weird things seem to happen around cole-his mother ( olivia williams ) leaves the kitchen for a moment and returns to find every cabinet and drawer open even though cole hasn't moved-and cole seems to know things that a kid his age shouldn't-for example , that there was once a gallows in his school .	1	-2	 weird[-1] things[0] seem[0] to[0] happen[0] around[0] cole[0] his[0] mother[0] olivia[0] williams[0] leaves[0] the[0] kitchen[0] for[0] a[0] moment[0] and[0] returns[0] to[0] find[0] every[0] cabinet[0] and[0] drawer[0] open[0] even[0] though[0] cole[0] hasn't[0] moved[0] and[0] cole[0] seems[0] to[0] know[0] things[0] that[0] a[0] kid[0] his[0] age[0] shouldn't[0] for[0] example[0] that[0] there[0] was[0] once[0] a[0] gallows[0] in[0] his[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he steals religious icons from churches to build a chapel in a pup tent in his bedroom . 	he steals religious icons from churches to build a chapel in a pup tent in his bedroom .	1	-3	 he[0] steals[-2] religious[0] icons[0] from[0] churches[0] to[0] build[0] a[0] chapel[0] in[0] a[0] pup[0] tent[0] in[0] his[0] bedroom[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the trailer gave away the movie's first major plot twist . 	the trailer gave away the movie's first major plot twist .	1	-1	 the[0] trailer[0] gave[0] away[0] the[0] movie's[0] first[0] major[0] plot[0] twist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
