another 'independent film' , this comedy , which was brought by miramax for $5 million , is good fun . 	Translation	Positive	Negative	EmotionRationale
favreau and vaughn ( the lost world : jurassic park , 1997 ) play mike and trent , two everyday 20somethings on the lookout for women . 	favreau and vaughn ( the lost world : jurassic park , 1997 ) play mike and trent , two everyday 20somethings on the lookout for women .	1	-1	 favreau[0] and[0] vaughn[0] the[0] lost[0] world[0] jurassic[0] park[0] 1997[0] play[0] mike[0] and[0] trent[0] two[0] everyday[0] 20somethings[0] on[0] the[0] lookout[0] for[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film just basically follows their plight on the lookout for lurve , and along the way we get to meet some of their friends , see their attempts at chatting up girls , and just basically get a insight into their lives . 	the film just basically follows their plight on the lookout for lurve , and along the way we get to meet some of their friends , see their attempts at chatting up girls , and just basically get a insight into their lives .	2	-2	 the[0] film[0] just[0] basically[0] follows[0] their[0] plight[-1] on[0] the[0] lookout[0] for[0] lurve[0] and[0] along[0] the[0] way[0] we[0] get[0] to[0] meet[0] some[0] of[0] their[0] friends[1] see[0] their[0] attempts[0] at[0] chatting[0] up[0] girls[0] and[0] just[0] basically[0] get[0] a[0] insight[0] into[0] their[0] lives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and all of this is great fun . 	and all of this is great fun .	3	-1	 and[0] all[0] of[0] this[0] is[0] great[2] fun[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
swingers doesn't rely on huge special effects , or big name stars to provide entertainment . 	swingers doesn't rely on huge special effects , or big name stars to provide entertainment .	2	-1	 swingers[0] doesn't[0] rely[0] on[0] huge[0] special[1] effects[0] or[0] big[0] name[0] stars[0] to[0] provide[0] entertainment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no , it just has a great script and superb little known actors . 	no , it just has a great script and superb little known actors .	3	-1	 no[0] it[0] just[0] has[0] a[0] great[2] script[0] and[0] superb[0] little[0] known[0] actors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script , by favreau , is great . 	the script , by favreau , is great .	3	-1	 the[0] script[0] by[0] favreau[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mike is always missing is girlfriend , who hasn't called him for six months , and every time he meets a girl , he always end up telling her about the ex . 	mike is always missing is girlfriend , who hasn't called him for six months , and every time he meets a girl , he always end up telling her about the ex .	1	-1	 mike[0] is[0] always[0] missing[0] is[0] girlfriend[0] who[0] hasn't[0] called[0] him[0] for[0] six[0] months[0] and[0] every[0] time[0] he[0] meets[0] a[0] girl[0] he[0] always[0] end[0] up[0] telling[0] her[0] about[0] the[0] ex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience feels for this pathetic little man , thanks to the great script . 	the audience feels for this pathetic little man , thanks to the great script .	3	-3	 the[0] audience[0] feels[0] for[0] this[0] pathetic[-2] little[0] man[0] thanks[1] to[0] the[0] great[2] script[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
vaughn is 'the money' ( swingers speak for 'the best' ) as the womanizing trent , always on the lookout for a new girl . 	vaughn is 'the money' ( swingers speak for 'the best' ) as the womanizing trent , always on the lookout for a new girl .	1	-1	 vaughn[0] is[0] 'the[0] money'[0] swingers[0] speak[0] for[0] 'the[0] best'[0] as[0] the[0] womanizing[0] trent[0] always[0] on[0] the[0] lookout[0] for[0] a[0] new[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of his chat-up lines are awful , but he always seems to get the girl thanks to his 'hard man' nature . 	some of his chat-up lines are awful , but he always seems to get the girl thanks to his 'hard man' nature .	2	-4	 some[0] of[0] his[0] chat[0] up[0] lines[0] are[0] awful[-3] but[0] he[0] always[0] seems[0] to[0] get[0] the[0] girl[0] thanks[1] to[0] his[0] 'hard[0] man'[0] nature[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
vaughns character also gets the best laugh in the film , towards the end in a diner . 	vaughns character also gets the best laugh in the film , towards the end in a diner .	2	-1	 vaughns[0] character[0] also[0] gets[0] the[0] best[1] laugh[1] in[0] the[0] film[0] towards[0] the[0] end[0] in[0] a[0] diner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the conversations that go on between mike and trent are great , but it never quite reaches tarantino standards ( which i suspect the film was trying to reach . ) 	the conversations that go on between mike and trent are great , but it never quite reaches tarantino standards ( which i suspect the film was trying to reach .<br> )	3	-2	 the[0] conversations[0] that[0] go[0] on[0] between[0] mike[0] and[0] trent[0] are[0] great[2] but[0] it[0] never[0] quite[0] reaches[0] tarantino[0] standards[0] which[0] i[0] suspect[-1] the[0] film[0] was[0] trying[0] to[0] reach[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are some excellent , laugh out loud jokes in the film , and some superbly funny set pieces ( such as favreau cringe-worhy battle with a answer machine that always cut him off before he finishes his sentence . 	there are some excellent , laugh out loud jokes in the film , and some superbly funny set pieces ( such as favreau cringe-worhy battle with a answer machine that always cut him off before he finishes his sentence .	3	-2	 there[0] are[0] some[0] excellent[3][-1 LastWordBoosterStrength] laugh[1] out[0] loud[0] jokes[1] in[0] the[0] film[0] and[0] some[0] superbly[0] funny[1] set[0] pieces[0] such[0] as[0] favreau[0] cringe[-1] worhy[0] battle[-1] with[0] a[0] answer[0] machine[0] that[0] always[0] cut[0] him[0] off[0] before[0] he[0] finishes[0] his[0] sentence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
embarrassing to him , hilarious to the audience . ) 	embarrassing to him , hilarious to the audience .<br> )	3	-3	 embarrassing[-2] to[0] him[0] hilarious[2] to[0] the[0] audience[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
mike & trents friends are also good , although there characters seem a bit underwritten , and we never really learn as much as we would like about them . 	mike & trents friends are also good , although there characters seem a bit underwritten , and we never really learn as much as we would like about them .	2	-1	 mike[0] &[0] trents[0] friends[1] are[0] also[0] good[1] although[0] there[0] characters[0] seem[0] a[0] bit[0] underwritten[0] and[0] we[0] never[0] really[0] learn[0] as[0] much[0] as[0] we[0] would[0] like[1][-1 LastWordBoosterStrength] about[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although this is primarily mike and trents film , it would of been nice to learn a bit more about their friends . 	although this is primarily mike and trents film , it would of been nice to learn a bit more about their friends .	2	-1	 although[0] this[0] is[0] primarily[0] mike[0] and[0] trents[0] film[0] it[0] would[0] of[0] been[0] nice[1] to[0] learn[0] a[0] bit[0] more[0] about[0] their[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
