jonathan demme's _beloved_ , based on the book toni morrison , is a study in skillful literary adaptation . 	Translation	Positive	Negative	EmotionRationale
on the one hand , the film manages to recreate key moments from the novel , evoking morrison's pragmatic narrative style without using her authorial voice . 	on the one hand , the film manages to recreate key moments from the novel , evoking morrison's pragmatic narrative style without using her authorial voice .	1	-1	 on[0] the[0] one[0] hand[0] the[0] film[0] manages[0] to[0] recreate[0] key[0] moments[0] from[0] the[0] novel[0] evoking[0] morrison's[0] pragmatic[0] narrative[0] style[0] without[0] using[0] her[0] authorial[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other hand , beloved omits the some of the finer details of the book , favoring an ambiguously defined back story upon which to build the story's main events . 	on the other hand , beloved omits the some of the finer details of the book , favoring an ambiguously defined back story upon which to build the story's main events .	3	-2	 on[0] the[0] other[0] hand[0] beloved[2] omits[0] the[0] some[0] of[0] the[0] finer[0] details[0] of[0] the[0] book[0] favoring[1] an[0] ambiguously[-1] defined[0] back[0] story[0] upon[0] which[0] to[0] build[0] the[0] story's[0] main[0] events[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this choice is a smartly made one , for it creates an open space in which the story's wide range of emotions can gestate and grow . 	this choice is a smartly made one , for it creates an open space in which the story's wide range of emotions can gestate and grow .	2	-1	 this[0] choice[0] is[0] a[0] smartly[1] made[0] one[0] for[0] it[0] creates[0] an[0] open[0] space[0] in[0] which[0] the[0] story's[0] wide[0] range[0] of[0] emotions[0] can[0] gestate[0] and[0] grow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
indeed , the impact of the film is so protracted that much of it cannot be felt until long after the end credits have rolled . 	indeed , the impact of the film is so protracted that much of it cannot be felt until long after the end credits have rolled .	1	-1	 indeed[0] the[0] impact[0] of[0] the[0] film[0] is[0] so[0] protracted[0] that[0] much[0] of[0] it[0] cannot[0] be[0] felt[0] until[0] long[0] after[0] the[0] end[0] credits[0] have[0] rolled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_beloved_ takes place in the second half of the 19th century , during the so-called reconstruction era after the civil war . 	_beloved_ takes place in the second half of the 19th century , during the so-called reconstruction era after the civil war .	1	-3	 _beloved_[0] takes[0] place[0] in[0] the[0] second[0] half[0] of[0] the[0] 19th[0] century[0] during[0] the[0] so[0] called[0] reconstruction[0] era[0] after[0] the[0] civil[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for newly-freed slaves , it is a time of confusion and turmoil . 	for newly-freed slaves , it is a time of confusion and turmoil .	1	-3	 for[0] newly[0] freed[0] slaves[0] it[0] is[0] a[0] time[0] of[0] confusion[-1] and[0] turmoil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oprah winfrey is sethe , a slave who escaped a kentucky plantation and took her children to an ohio farmhouse , where she hoped the terror would end . 	oprah winfrey is sethe , a slave who escaped a kentucky plantation and took her children to an ohio farmhouse , where she hoped the terror would end .	2	-2	 oprah[0] winfrey[0] is[0] sethe[0] a[0] slave[0] who[0] escaped[0] a[0] kentucky[0] plantation[0] and[0] took[0] her[0] children[0] to[0] an[0] ohio[0] farmhouse[0] where[0] she[0] hoped[1] the[0] terror[-1] would[0] end[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what she did not know was that it would follow her there , and remain with her long after the physical threat had vanished . 	what she did not know was that it would follow her there , and remain with her long after the physical threat had vanished .	1	-3	 what[0] she[0] did[0] not[0] know[0] was[0] that[0] it[0] would[0] follow[0] her[0] there[0] and[0] remain[0] with[0] her[0] long[0] after[0] the[0] physical[0] threat[-2] had[0] vanished[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
_beloved_ ultimately tells the story of sethe's search for forgiveness , one long-hampered by an unforgettable sin . 	_beloved_ ultimately tells the story of sethe's search for forgiveness , one long-hampered by an unforgettable sin .	2	-2	 _beloved_[0] ultimately[0] tells[0] the[0] story[0] of[0] sethe's[0] search[0] for[0] forgiveness[1] one[0] long[0] hampered[0] by[0] an[0] unforgettable[0] sin[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film starts off on a dreary day ten years after sethe's escape , as a violent , unseen energy rocks her dilapidated farmhouse . 	the film starts off on a dreary day ten years after sethe's escape , as a violent , unseen energy rocks her dilapidated farmhouse .	1	-3	 the[0] film[0] starts[0] off[0] on[0] a[0] dreary[-1] day[0] ten[0] years[0] after[0] sethe's[0] escape[0] as[0] a[0] violent[-2] unseen[0] energy[0] rocks[0] her[0] dilapidated[0] farmhouse[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
