it must be tough to be a mob boss . 	Translation	Positive	Negative	EmotionRationale
just ask paul vitti ( robert deniro ) , a man who finds his job as mafia head to be rather stress inducing . 	just ask paul vitti ( robert deniro ) , a man who finds his job as mafia head to be rather stress inducing .	1	-2	 just[0] ask[0] paul[0] vitti[0] robert[0] deniro[0] a[0] man[0] who[0] finds[0] his[0] job[0] as[0] mafia[0] head[0] to[0] be[0] rather[0] stress[-1] inducing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can believe it , too - one can't even begin to fathom the turmoil he must go through when he's forced to choose between an ice pick , baseball bat or sledgehammer to torture victims with . 	i can believe it , too - one can't even begin to fathom the turmoil he must go through when he's forced to choose between an ice pick , baseball bat or sledgehammer to torture victims with .	1	-4	 i[0] can[0] believe[0] it[0] too[0] one[0] can't[0] even[0] begin[0] to[0] fathom[0] the[0] turmoil[-2] he[0] must[0] go[0] through[0] when[0] he's[0] forced[0] to[0] choose[0] between[0] an[0] ice[0] pick[0] baseball[0] bat[0] or[0] sledgehammer[0] to[0] torture[-3] victims[-2][-1 MultiplePositiveWords] with[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
suffering from reoccurring panic attacks , paul decides he needs to consult some professional help . 	suffering from reoccurring panic attacks , paul decides he needs to consult some professional help .	1	-4	 suffering[-3] from[0] reoccurring[0] panic[-2] attacks[-2][-1 MultiplePositiveWords] paul[0] decides[0] he[0] needs[0] to[0] consult[0] some[0] professional[0] help[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and who better than billy crystal . 	and who better than billy crystal .	1	-1	 and[0] who[0] better[0] than[0] billy[0] crystal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after appearing in bottom-of-the-barrel flops , father's day and my giant , crystal finally finds a reliable costar and some very promising material here . 	after appearing in bottom-of-the-barrel flops , father's day and my giant , crystal finally finds a reliable costar and some very promising material here .	3	-1	 after[0] appearing[0] in[0] bottom[0] of[0] the[0] barrel[0] flops[0] father's[0] day[0] and[0] my[0] giant[0] crystal[0] finally[0] finds[0] a[0] reliable[0] costar[0] and[0] some[0] very[0] promising[1][1 LastWordBoosterStrength] material[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
playing vitti's private shrink , the two very different stars strike an unorthodox , but interesting relationship that carries this enjoyable comedy on a steady wave of laughs from start to finish . 	playing vitti's private shrink , the two very different stars strike an unorthodox , but interesting relationship that carries this enjoyable comedy on a steady wave of laughs from start to finish .	3	-2	 playing[1] vitti's[0] private[0] shrink[0] the[0] two[0] very[0] different[0] stars[0] strike[-1] an[0] unorthodox[0] but[0] interesting[1] relationship[0] that[0] carries[0] this[0] enjoyable[2] comedy[0] on[0] a[0] steady[0] wave[0] of[0] laughs[1] from[0] start[0] to[0] finish[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
casting robert deniro as paul vitti is something of an in-joke , i think . 	casting robert deniro as paul vitti is something of an in-joke , i think .	2	-1	 casting[0] robert[0] deniro[0] as[0] paul[0] vitti[0] is[0] something[0] of[0] an[0] in[0] joke[1] i[0] think[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
placed in this mobster's shoes , deniro gets to spoof characters he himself played in films like the godfather , part ii and casino . 	placed in this mobster's shoes , deniro gets to spoof characters he himself played in films like the godfather , part i and casino .	2	-1	 placed[0] in[0] this[0] mobster's[0] shoes[0] deniro[0] gets[0] to[0] spoof[0] characters[0] he[0] himself[0] played[0] in[0] films[0] like[1] the[0] godfather[0] part[0] ii/i[0] and[0] casino[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's obvious he's having a lot of fun doing so . 	it's obvious he's having a lot of fun doing so .	2	-1	 it's[0] obvious[0] he's[0] having[0] a[0] lot[0] of[0] fun[1] doing[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the man behind the camera is harold ramis , whose credits include ghostbusters ( as writer and star ) , and his best directing effort , the bill murray vehicle , groundhog day . 	the man behind the camera is harold ramis , whose credits include ghostbusters ( as writer and star ) , and his best directing effort , the bill murray vehicle , groundhog day .	2	-1	 the[0] man[0] behind[0] the[0] camera[0] is[0] harold[0] ramis[0] whose[0] credits[0] include[0] ghostbusters[0] as[0] writer[0] and[0] star[0] and[0] his[0] best[1] directing[0] effort[0] the[0] bill[0] murray[0] vehicle[0] groundhog[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
