 " well this is not mission : difficult , mr . hunt , it's mission : impossible . 	Translation	Positive	Negative	EmotionRationale
difficult should be a walk in the park for you . " 	difficult should be a walk in the park for you .<br> "	1	-2	 difficult[-1] should[0] be[0] a[0] walk[0] in[0] the[0] park[0] for[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
---agent swanbeck ( sir anthony hopkins ) , the series' new agent phelps , takes ethan hunt ( tom cruise ) down a notch . 	-agent swanbeck ( sir anthony hopkins ) , the series' new agent phelps , takes ethan hunt ( tom cruise ) down a notch .	1	-1	 agent[0] swanbeck[0] sir[0] anthony[0] hopkins[0] the[0] series'[0] new[0] agent[0] phelps[0] takes[0] ethan[0] hunt[0] tom[0] cruise[0] down[0] a[0] notch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a russian scientist ( rade serbedzija ) has created a new virus ( and its antidote ) called chimera that destroys its host within twenty hours of injection . 	a russian scientist ( rade serbedzija ) has created a new virus ( and its antidote ) called chimera that destroys its host within twenty hours of injection .	1	-3	 a[0] russian[0] scientist[0] rade[0] serbedzija[0] has[0] created[0] a[0] new[0] virus[0] and[0] its[0] antidote[0] called[0] chimera[0] that[0] destroys[-2] its[0] host[0] within[0] twenty[0] hours[0] of[0] injection[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a rogue imf agent , sean ambrose ( dougray scott ) , wants to use the disease and cure to blackmail a pharmaceutical company into selling him enough stock to make him owner of the company ( he knows it will soon be worth its weight in gold thanks to the outbreak of the virus he is going to cause ) . 	a rogue imf agent , sean ambrose ( dougray scot ) , wants to use the disease and cure to blackmail a pharmaceutical company into selling him enough stock to make him owner of the company ( he knows it will soon be worth its weight in gold thanks to the outbreak of the virus he is going to cause ) .	2	-3	 a[0] rogue[-1] imf[0] agent[0] sean[0] ambrose[0] dougray[0] scott/scot[0] wants[0] to[0] use[0] the[0] disease[-2] and[0] cure[0] to[0] blackmail[-2] a[0] pharmaceutical[0] company[0] into[0] selling[0] him[0] enough[0] stock[0] to[0] make[0] him[0] owner[0] of[0] the[0] company[0] he[0] knows[0] it[0] will[0] soon[0] be[0] worth[0] its[0] weight[0] in[0] gold[0] thanks[1] to[0] the[0] outbreak[-1] of[0] the[0] virus[0] he[0] is[0] going[0] to[0] cause[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
posing as ethan hunt , ambrose gains the confidence of the scientist long enough to get only the cure , not realizing that the scientist had injected himself with the virus to prevent exactly what ambrose was trying to do . 	posing as ethan hunt , ambrose gains the confidence of the scientist long enough to get only the cure , not realizing that the scientist had injected himself with the virus to prevent exactly what ambrose was trying to do .	2	-1	 posing[0] as[0] ethan[0] hunt[0] ambrose[0] gains[0] the[0] confidence[1] of[0] the[0] scientist[0] long[0] enough[0] to[0] get[0] only[0] the[0] cure[0] not[0] realizing[0] that[0] the[0] scientist[0] had[0] injected[0] himself[0] with[0] the[0] virus[0] to[0] prevent[0] exactly[0] what[0] ambrose[0] was[0] trying[0] to[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the real ethan hunt is called in from his vacation to persuade beautiful thief nyah nordoff-hall ( thandie newton ) to assist the imf team in retrieving the stolen goods . 	the real ethan hunt is called in from his vacation to persuade beautiful thief nyah nordoff-hall ( thandie newton ) to assist the imf team in retrieving the stolen goods .	3	-2	 the[0] real[0] ethan[0] hunt[0] is[0] called[0] in[0] from[0] his[0] vacation[0] to[0] persuade[0] beautiful[2] thief[-1] nyah[0] nordoff[0] hall[0] thandie[0] newton[0] to[0] assist[0] the[0] imf[0] team[0] in[0] retrieving[0] the[0] stolen[-1] goods[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ethan and nyah fall quickly in love , but ethan soon finds himself in a real dilemma when he learns that his new love has only been hired because she was a former lover of ambrose's . 	ethan and nyah fall quickly in love , but ethan soon finds himself in a real dilemma when he learns that his new love has only been hired because she was a former lover of ambrose's .	4	-2	 ethan[0] and[0] nyah[0] fall[0] quickly[0] in[0] love[2] but[0] ethan[0] soon[0] finds[0] himself[0] in[0] a[0] real[0] dilemma[-1] when[0] he[0] learns[0] that[0] his[0] new[0] love[2] has[0] only[0] been[0] hired[0] because[0] she[0] was[0] a[0] former[0] lover[3] of[0] ambrose's[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
reluctantly , he sets up nyah to be rescued from prison by ambrose so she can infiltrate his compound and send back intelligence to the team . 	reluctantly , he sets up nyah to be rescued from prison by ambrose so she can infiltrate his compound and send back intelligence to the team .	1	-2	 reluctantly[-1] he[0] sets[0] up[0] nyah[0] to[0] be[0] rescued[0] from[0] prison[-1] by[0] ambrose[0] so[0] she[0] can[0] infiltrate[-1] his[0] compound[0] and[0] send[0] back[0] intelligence[0] to[0] the[0] team[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ethan must race against time to keep ambrose from obtaining and spreading the virus and prevent any harm from coming to nyah . 	ethan must race against time to keep ambrose from obtaining and spreading the virus and prevent any harm from coming to nyah .	1	-3	 ethan[0] must[0] race[0] against[-1] time[0] to[0] keep[0] ambrose[0] from[0] obtaining[0] and[0] spreading[0] the[0] virus[0] and[0] prevent[0] any[0] harm[-2] from[0] coming[0] to[0] nyah[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although the first mission : impossible film was a moderate box office success , audiences panned it because they felt the plot was too confusing and there wasn't much action ( although being a fan of the series both old and new , i thought the movie was pretty decent and especially gutsy to make phelps a bad guy ) . 	although the first mission : impossible film was a moderate box office success , audiences panned it because they felt the plot was too confusing and there wasn't much action ( although being a fan of the series both old and new , i thought the movie was pretty decent and especially gutsy to make phelps a bad guy ) .	3	-2	 although[0] the[0] first[0] mission[0] impossible[0] film[0] was[0] a[0] moderate[0] box[0] office[0] success[2] audiences[0] panned[0] it[0] because[0] they[0] felt[0] the[0] plot[0] was[0] too[0] confusing[-1] and[0] there[0] wasn't[0] much[0] action[0] although[0] being[0] a[0] fan[0] of[0] the[0] series[0] both[0] old[0] and[0] new[0] i[0] thought[0] the[0] movie[0] was[0] pretty[2] decent[0] and[0] especially[0] gutsy[0] to[0] make[0] phelps[0] a[0] bad[-1] guy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
