for the first reel of girls town , you just can't get over lili taylor . 	Translation	Positive	Negative	EmotionRationale
is it possible to remain unperturbed that a woman of this age is playing a high school student ? 	is it possible to remain unperturbed that a woman of this age is playing a high school student ?	2	-1	 is[0] it[0] possible[0] to[0] remain[0] unperturbed[0] that[0] a[0] woman[0] of[0] this[0] age[0] is[0] playing[1] a[0] high[0] school[0] student[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
harder still , can you avoid astonishment at how perfect she is in the part ? 	harder still , can you avoid astonishment at how perfect she is in the part ?	2	-2	 harder[0] still[0] can[0] you[0] avoid[-1] astonishment[0] at[0] how[0] perfect[1] she[0] is[0] in[0] the[0] part[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the sure , showy expertise of a de niro , taylor imbues unwed mother patti with all the faux fuck-you confidence she can muster . 	with the sure , showy expertise of a de niro , taylor imbues unwed mother patti with all the faux fuck-you confidence she can muster .	2	-3	 with[0] the[0] sure[0] showy[0] expertise[0] of[0] a[0] de[0] niro[0] taylor[0] imbues[0] unwed[0] mother[0] patti[0] with[0] all[0] the[0] faux[0] fuck[-2] you[0] confidence[1] she[0] can[0] muster[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a deeply felt , dead-on performance , and by the halfway point you've forgiven taylor her own maturity . 	it's a deeply felt , dead-on performance , and by the halfway point you've forgiven taylor her own maturity .	2	-3	 it's[0] a[0] deeply[0] felt[0] dead[-2] on[0] performance[0] and[0] by[0] the[0] halfway[0] point[0] you've[0] forgiven[1] taylor[0] her[0] own[0] maturity[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for all its verite pretenses , girls town is less about a bunch of high-schoolers than it is about a movie director and a cadre of writer-performers examining their own feelings about rape , relationships , and american womanhood . 	for all its verite pretenses , girls town is less about a bunch of high-schoolers than it is about a movie director and a cadre of writer-performers examining their own feelings about rape , relationships , and american womanhood .	1	-4	 for[0] all[0] its[0] verite[0] pretenses[0] girls[0] town[0] is[0] less[0] about[0] a[0] bunch[0] of[0] high[0] schoolers[0] than[0] it[0] is[0] about[0] a[0] movie[0] director[0] and[0] a[0] cadre[0] of[0] writer[0] performers[0] examining[0] their[0] own[0] feelings[0] about[0] rape[-3] relationships[0] and[0] american[0] womanhood[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie's opening scenes sketch an easy friendship between a group of four smart/sassy high school outsiders on the verge of graduation : patti , angela ( bruklin harris ) , emma ( anna grace ) , and nikki ( aunjanue ellis ) . 	the movie's opening scenes sketch an easy friendship between a group of four smart/sassy high school outsiders on the verge of graduation : patti , angela ( bruklin harris ) , emma ( anna grace ) , and niki ( aunjanue ellis ) .	3	-2	 the[0] movie's[0] opening[0] scenes[0] sketch[0] an[0] easy[0] friendship[1] between[0] a[0] group[0] of[0] four[0] smart/sassy[1] high[0] school[0] outsiders[-1] on[0] the[0] verge[0] of[0] graduation[0] patti[0] angela[0] bruklin[0] harris[0] emma[0] anna[0] grace[2] and[0] nikki/niki[0] aunjanue[0] ellis[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but about 10 minutes into the film , we get word that nikki has swallowed a fistful of pills and bowed out of life . 	but about 10 minutes into the film , we get word that niki has swallowed a fistful of pills and bowed out of life .	1	-1	 but[0] about[0] 10[0] minutes[0] into[0] the[0] film[0] we[0] get[0] word[0] that[0] nikki/niki[0] has[0] swallowed[0] a[0] fistful[0] of[0] pills[0] and[0] bowed[0] out[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the remaining girls manage to smug nikki's diary out of her grieving mother's home , and page through it at patti's place , investigating the root of nikki's despair . 	the remaining girls manage to smug niki's diary out of her grieving mother's home , and page through it at patti's place , investigating the root of niki's despair .	1	-4	 the[0] remaining[0] girls[0] manage[0] to[0] smug[-1] nikki's/niki's[0] diary[0] out[0] of[0] her[0] grieving[-3] mother's[0] home[0] and[0] page[0] through[0] it[0] at[0] patti's[0] place[0] investigating[0] the[0] root[0] of[0] nikki's/niki's[0] despair[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what they find is cruel and galvanizing -- nikki had been raped by an editor at a newspaper where she interned , and was privately questioning the sanity and value of a world where such a thing could happen . 	what they find is cruel and galvanizing - niki had been raped by an editor at a newspaper where she interned , and was privately questioning the sanity and value of a world where such a thing could happen .	2	-4	 what[0] they[0] find[0] is[0] cruel[-3] and[0] galvanizing[0] nikki/niki[0] had[0] been[0] raped[-3] by[0] an[0] editor[0] at[0] a[0] newspaper[0] where[0] she[0] interned[0] and[0] was[0] privately[0] questioning[0] the[0] sanity[0] and[0] value[1] of[0] a[0] world[0] where[0] such[0] a[0] thing[0] could[0] happen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
shell-shocked by the truth of the matter , the three girls begin to talk among themselves and come to a realization about their own lives . 	shell-shocked by the truth of the matter , the three girls begin to talk among themselves and come to a realization about their own lives .	2	-3	 shell[0] shocked[-2] by[0] the[0] truth[1] of[0] the[0] matter[0] the[0] three[0] girls[0] begin[0] to[0] talk[0] among[0] themselves[0] and[0] come[0] to[0] a[0] realization[0] about[0] their[0] own[0] lives[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
emma says she was raped last year on a date with a football player . 	emma says she was raped last year on a date with a football player .	1	-4	 emma[0] says[0] she[0] was[0] raped[-3] last[0] year[0] on[0] a[0] date[0] with[0] a[0] football[0] player[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
patti's barely sympathetic , wondering what the hell emma thought she was doing with her shirt off in a jock's car . 	patti's barely sympathetic , wondering what the hell emma thought she was doing with her shirt off in a jock's car .	1	-2	 patti's[0] barely[0] sympathetic[0] wondering[0] what[0] the[0] hell[-1] emma[0] thought[0] she[0] was[0] doing[0] with[0] her[0] shirt[0] off[0] in[0] a[0] jock's[0] car[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and anyway , patti's had her own share of guys who wouldn't take no for an answer . 	and anyway , patti's had her own share of guys who wouldn't take no for an answer .	1	-1	 and[0] anyway[0] patti's[0] had[0] her[0] own[0] share[0] of[0] guys[0] who[0] wouldn't[0] take[0] no[0] for[0] an[0] answer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pained , acrimonious debate ensues as the trio grow more and more angry -- angry about the impossibility of saying no , and angry with themselves for being weak , for being naive , for putting up with it . 	pained , acrimonious debate ensues as the trio grow more and more angry - angry about the impossibility of saying no , and angry with themselves for being weak , for being naive , for putting up with it .	1	-5	 pained[-1] acrimonious[-1] debate[0] ensues[0] as[0] the[0] trio[0] grow[0] more[0] and[0] more[0] angry[-3] angry[-3][-1 MultiplePositiveWords] about[0] the[0] impossibility[0] of[0] saying[0] no[0] and[0] angry[-3] with[0] themselves[0] for[0] being[0] weak[-1] for[0] being[0] naive[-1] for[0] putting[0] up[0] with[0] it[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
 " why do we put up with it ? " 	 " why do we put up with it ?<br> "	1	-1	 why[0] do[0] we[0] put[0] up[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
emma finally asks , once the argument has reached a fever pitch . 	emma finally asks , once the argument has reached a fever pitch .	1	-2	 emma[0] finally[0] asks[0] once[0] the[0] argument[-1] has[0] reached[0] a[0] fever[-1] pitch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " we try to talk about it , and look what happens . 	 " we try to talk about it , and look what happens .	1	-1	 we[0] try[0] to[0] talk[0] about[0] it[0] and[0] look[0] what[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
