my summer was recently saved by two very different movies . 	Translation	Positive	Negative	EmotionRationale
on opening night , i saw american pie 2 and laughed like a moron . 	on opening night , i saw american pie 2 and laughed like a moron .	2	-3	 on[0] opening[0] night[0] i[0] saw[0] american[0] pie[0] 2[0] and[0] laughed[1] like[1] a[0] moron[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
then a few nights later , i watched and thoroughly enjoyed joel hershman's greenfingers even though it didn't feature a trip to band camp , girl-on-girl action , or seann william scott . 	then a few nights later , i watched and thoroughly enjoyed joel hershman's greenfingers even though it didn't feature a trip to band camp , girl-on-girl action , or sean william scot .	3	-1	 then[0] a[0] few[0] nights[0] later[0] i[0] watched[0] and[0] thoroughly[0] enjoyed[2] joel[0] hershman's[0] greenfingers[0] even[0] though[0] it[0] didn't[0] feature[0] a[0] trip[0] to[0] band[0] camp[0] girl[0] on[0] girl[0] action[0] or[0] seann/sean[0] william[0] scott/scot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , i felt just as good leaving american pie 2 as i did after leaving greenfingers , which tells the offbeat tale of british murderer colin briggs ( clive owen of croupier ) . 	however , i felt just as good leaving american pie 2 as i did after leaving greenfingers , which tells the offbeat tale of british murderer colin briggs ( clive owen of croupier ) .	2	-4	 however[0] i[0] felt[0] just[0] as[0] good[1] leaving[0] american[0] pie[0] 2[0] as[0] i[0] did[0] after[0] leaving[0] greenfingers[0] which[0] tells[0] the[0] offbeat[0] tale[0] of[0] british[0] murderer[-3] colin[0] briggs[0] clive[0] owen[0] of[0] croupier[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after spending roughly half of his life behind bars , he is transferred to a more lenient facility , edgefield . 	after spending roughly half of his life behind bars , he is transferred to a more lenient facility , edgefield .	1	-2	 after[0] spending[0] roughly[-1] half[0] of[0] his[0] life[0] behind[0] bars[0] he[0] is[0] transferred[0] to[0] a[0] more[0] lenient[0] facility[0] edgefield[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the picaresque , rustic prison allows its inmates to learn a trade , while enjoying accommodations generally found at most colleges . 	the picaresque , rustic prison allows its inmates to learn a trade , while enjoying accommodations generally found at most colleges .	3	-2	 the[0] picaresque[0] rustic[0] prison[-1] allows[0] its[0] inmates[0] to[0] learn[0] a[0] trade[0] while[0] enjoying[2] accommodations[0] generally[0] found[0] at[0] most[0] colleges[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at first , briggs doesn't want to be there . 	at first , briggs doesn't want to be there .	1	-1	 at[0] first[0] briggs[0] doesn't[0] want[0] to[0] be[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's used to living as a prisoner and wants to be left alone . 	he's used to living as a prisoner and wants to be left alone .	1	-2	 he's[0] used[0] to[0] living[0] as[0] a[0] prisoner[-1] and[0] wants[0] to[0] be[0] left[0] alone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , his ailing roommate , fergus ( david kelly of waking ned devine ) , wears briggs down through his benign nature . 	however , his ailing roommate , fergus ( david kelly of waking ned devine ) , wears briggs down through his benign nature .	2	-3	 however[0] his[0] ailing[-2] roommate[0] fergus[0] david[0] kelly[0] of[0] waking[0] ned[0] devine[0] wears[0] briggs[0] down[0] through[0] his[0] benign[1] nature[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the two become friends , with fergus giving colin a packet of violet seeds as a christmas gift . 	the two become friends , with fergus giving colin a packet of violet seeds as a christmas gift .	2	-1	 the[0] two[0] become[0] friends[1] with[0] fergus[0] giving[0] colin[0] a[0] packet[0] of[0] violet[0] seeds[0] as[0] a[0] christmas[0] gift[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
briggs is astonished when the violets grow in the limestone soil , and begins a fight with three other prisoners when an errant soccer ball smashes his beloved flowers . 	briggs is astonished when the violets grow in the limestone soil , and begins a fight with three other prisoners when an errant soccer ball smashes his beloved flowers .	3	-3	 briggs[0] is[0] astonished[0] when[0] the[0] violets[0] grow[0] in[0] the[0] limestone[0] soil[0] and[0] begins[0] a[0] fight[-2] with[0] three[0] other[0] prisoners[-1] when[0] an[0] errant[0] soccer[0] ball[0] smashes[0] his[0] beloved[2] flowers[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after the prison's governor ( warren clarke ) reprimands them , he's awed at what briggs has accomplished . 	after the prison's governor ( warren clarke ) reprimands them , he's awed at what briggs has accomplished .	2	-2	 after[0] the[0] prison's[-1] governor[0] warren[0] clarke[0] reprimands[0] them[0] he's[0] awed[0] at[0] what[0] briggs[0] has[0] accomplished[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and he's struck by an idea -- briggs , fergus and the other men will grow a garden on the prison's grounds . 	and he's struck by an idea - briggs , fergus and the other men will grow a garden on the prison's grounds .	1	-2	 and[0] he's[0] struck[-1] by[0] an[0] idea[0] briggs[0] fergus[0] and[0] the[0] other[0] men[0] will[0] grow[0] a[0] garden[0] on[0] the[0] prison's[-1] grounds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
greenfingers , which is " inspired by actual events , " becomes a bit like a sports movie after that . 	greenfingers , which is " inspired by actual events , " becomes a bit like a sports movie after that .	3	-1	 greenfingers[0] which[0] is[0] inspired[2] by[0] actual[0] events[0] becomes[0] a[0] bit[0] like[1] a[0] sports[0] movie[0] after[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite their differences , the men come together and through hard work and love earn a spot at the big game -- in this case a prestigious garden show . 	despite their differences , the men come together and through hard work and love earn a spot at the big game - in this case a prestigious garden show .	3	-1	 despite[0] their[0] differences[0] the[0] men[0] come[0] together[0] and[0] through[0] hard[0] work[0] and[0] love[2] earn[0] a[0] spot[0] at[0] the[0] big[0] game[0] in[0] this[0] case[0] a[0] prestigious[0] garden[0] show[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one renegade , in this case , briggs , will prove to have talent . 	one renegade , in this case , briggs , will prove to have talent .	2	-1	 one[0] renegade[0] in[0] this[0] case[0] briggs[0] will[0] prove[0] to[0] have[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , love will also rear its head ( no , not " prison love " ) . 	of course , love will also rear its head ( no , not " prison love " ) .	3	-3	 of[0] course[0] love[2] will[0] also[0] rear[0] its[0] head[0] no[0] not[0] prison[-1][NegatedDueToPreviousWord] love[2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
to hershman's credit , he doesn't pump up the drama or try for cheap laughs , like last year's lame marijuana comedy saving grace . 	to hershman's credit , he doesn't pump up the drama or try for cheap laughs , like last year's lame marijuana comedy saving grace .	3	-3	 to[0] hershman's[0] credit[0] he[0] doesn't[0] pump[0] up[0] the[0] drama[0] or[0] try[0] for[0] cheap[-1] laughs[1] like[1] last[0] year's[0] lame[-2] marijuana[0] comedy[0] saving[0] grace[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i had to keep pinching myself when i didn't see a single scene of a hardened con sneezing over a pot of pansies , or the men giving high-fives over a particularly stunning batch of wildflowers . 	i had to keep pinching myself when i didn't see a single scene of a hardened con sneezing over a pot of pansies , or the men giving high-fives over a particularly stunning batch of wildflowers .	1	-1	 i[0] had[0] to[0] keep[0] pinching[0] myself[0] when[0] i[0] didn't[0] see[0] a[0] single[0] scene[0] of[0] a[0] hardened[0] con[0] sneezing[0] over[0] a[0] pot[0] of[0] pansies[0] or[0] the[0] men[0] giving[0] high[0] fives[0] over[0] a[0] particularly[0] stunning[0] batch[0] of[0] wildflowers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie deals with people and scores on that concept . 	the movie deals with people and scores on that concept .	1	-1	 the[0] movie[0] deals[0] with[0] people[0] and[0] scores[0] on[0] that[0] concept[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's wonderful seeing briggs turn from a bitter prisoner to a man who cares again . 	it's wonderful seeing briggs turn from a bitter prisoner to a man who cares again .	3	-2	 it's[0] wonderful[2] seeing[0] briggs[0] turn[0] from[0] a[0] bitter[-1] prisoner[-1] to[0] a[0] man[0] who[0] cares[1] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
give credit to owen for keeping his cool in a part that begs for overacting . 	give credit to owen for keeping his cool in a part that begs for overacting .	2	-1	 give[0] credit[0] to[0] owen[0] for[0] keeping[0] his[0] cool[1] in[0] a[0] part[0] that[0] begs[0] for[0] overacting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his speech to the parole board about being reborn through gardening is the best scene of its kind since morgan freeman's last stand in the shawshank redemption . 	his speech to the parole board about being reborn through gardening is the best scene of its kind since morgan freeman's last stand in the shawshank redemption .	2	-1	 his[0] speech[0] to[0] the[0] parole[0] board[0] about[0] being[0] reborn[0] through[0] gardening[0] is[0] the[0] best[1] scene[0] of[0] its[0] kind[1] since[0] morgan[0] freeman's[0] last[0] stand[0] in[0] the[0] shawshank[0] redemption[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
owen's bedside scenes with kelly , who lends the film a human touch , are a marvel to behold , emotionally gripping without being sappy . 	owen's bedside scenes with kelly , who lends the film a human touch , are a marvel to behold , emotionally gripping without being sappy .	1	-1	 owen's[0] bedside[0] scenes[0] with[0] kelly[0] who[0] lends[0] the[0] film[0] a[0] human[0] touch[0] are[0] a[0] marvel[0] to[0] behold[0] emotionally[0] gripping[0] without[0] being[0] sappy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
written by hershman , greenfingers contains plenty of laughs . 	written by hershman , greenfingers contains plenty of laughs .	2	-1	 written[0] by[0] hershman[0] greenfingers[0] contains[0] plenty[0] of[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most come courtesy of helen mirren , who shines as the world-class gardener who works with the inmates but fears for her daughter primrose ( natasha little ) when she starts dating briggs . 	most come courtesy of helen mirren , who shines as the world-class gardener who works with the inmates but fears for her daughter primrose ( natasha little ) when she starts dating briggs .	1	-3	 most[0] come[0] courtesy[0] of[0] helen[0] mirren[0] who[0] shines[0] as[0] the[0] world[0] class[0] gardener[0] who[0] works[0] with[0] the[0] inmates[0] but[0] fears[-2] for[0] her[0] daughter[0] primrose[0] natasha[0] little[0] when[0] she[0] starts[0] dating[0] briggs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the mother can't believe what he'll do if her daughter " burns the sunday roast . " 	the mother can't believe what he'll do if her daughter " burns the sunday roast .<br> "	1	-2	 the[0] mother[0] can't[0] believe[0] what[0] he'll[0] do[0] if[0] her[0] daughter[0] burns[-1] the[0] sunday[0] roast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nothing is forced in greenfingers . 	nothing is forced in greenfingers .	1	-1	 nothing[0] is[0] forced[0] in[0] greenfingers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
