razor blade smile running as part of the vancouver international film festival played october 2nd and 4th , 1998 . 	Translation	Positive	Negative	EmotionRationale
official release : halloween 	official release : halloween	1	-1	 official[0] release[0] halloween[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reviewed by vince yim 	reviewed by vince yim	1	-1	 reviewed[0] by[0] vince[0] yim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 you think you know all about vampires . . . believe 	 you think you know all about vampires .<br> .<br> .<br> believe	1	-1	 you[0] think[0] you[0] know[0] all[0] about[0] vampires[0] [[Sentence=-1,1=word max, 1-5]] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
me . . . you 	me .<br> .<br> .<br> you	1	-1	 me[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
know f * ck all . ' 	know f * ck all .<br> '	1	-1	 know[0] f[0] ck[0] all[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with these words , we are brought into the world of a sultry vampire seductress by the name of lilith silver ( played by eileen daly ) . 	with these words , we are brought into the world of a sultry vampire seductress by the name of lilith silver ( played by eileen daly ) .	1	-1	 with[0] these[0] words[0] we[0] are[0] brought[0] into[0] the[0] world[0] of[0] a[0] sultry[0] vampire[0] seductress[0] by[0] the[0] name[0] of[0] lilith[0] silver[0] played[0] by[0] eileen[0] daly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
made into an immortal a century and a half ago by the sinister ethan blake , she continues to alleviate boredom with her state of being . 	made into an immortal a century and a half ago by the sinister ethan blake , she continues to alleviate boredom with her state of being .	2	-4	 made[0] into[0] an[0] immortal[1] a[0] century[0] and[0] a[0] half[0] ago[0] by[0] the[0] sinister[-3] ethan[0] blake[0] she[0] continues[0] to[0] alleviate[0] boredom[-1] with[0] her[0] state[0] of[0] being[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so , what's an undead girl to do , except squeeze into the tightest fitting clothes possible , get out her guns , seduce a few guys , and kill a few people for money and blood ? 	so , what's an undead girl to do , except squeeze into the tightest fitting clothes possible , get out her guns , seduce a few guys , and kill a few people for money and blood ?	1	-2	 so[0] what's[0] an[0] undead[0] girl[0] to[0] do[0] except[0] squeeze[0] into[0] the[0] tightest[0] fitting[0] clothes[0] possible[0] get[0] out[0] her[0] guns[-1] seduce[0] a[0] few[0] guys[0] and[0] kill[-1] a[0] few[0] people[0] for[0] money[0] and[0] blood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with that out of the way , let me say this . 	with that out of the way , let me say this .	1	-1	 with[0] that[0] out[0] of[0] the[0] way[0] let[0] me[0] say[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is bad . 	this film is bad .	1	-2	 this[0] film[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
