andrew lloyd webber's musicals , preferably his early work with lyricist tim rice , present a musical which is totally unlike any musical before its time . 	Translation	Positive	Negative	EmotionRationale
webber and rice do not subscribe to the gaity of such musicals as " oklahoma ! , " or the slapstickness of shows like " a funny thing happened on the way to the forum . " 	webber and rice do not subscribe to the gaity of such musicals as " oklahoma !<br> , " or the slapstickness of shows like " a funny thing happened on the way to the forum .<br> "	2	-2	 webber[0] and[0] rice[0] do[0] not[0] subscribe[0] to[0] the[0] gaity[0] of[0] such[0] musicals[0] as[0] oklahoma[0] [[Sentence=-1,1=word max, 1-5]] or[0] the[0] slapstickness[-1] of[0] shows[0] like[1] a[0] funny[1] thing[0] happened[0] on[0] the[0] way[0] to[0] the[0] forum[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they instead tackle hot issues from our past , and view them differently , and pack them together with redundant , catchy music , as well as thoughtful lyrics . 	they instead tackle hot issues from our past , and view them differently , and pack them together with redundant , catchy music , as well as thoughtful lyrics .	2	-2	 they[0] instead[0] tackle[0] hot[0] issues[0] from[0] our[0] past[0] and[0] view[0] them[0] differently[0] and[0] pack[0] them[0] together[0] with[0] redundant[-1] catchy[0] music[0] as[0] well[0] as[0] thoughtful[1] lyrics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like " jesus christ superstar , " which examined the rise and fall of jesus in his last days from a fame perspective ( in the cool tune " superstar , " a dead judas comes back from the dead to ask jesus why he didn't spread his message wider ) , " evita " takes an inventive stance on its topic , this time being the famed wife of argentinian dictator , juan per ? n , eva , who slept her way to the top and became famous chiefly because she got attention , much like the woman playing her : madonna ( although i think madonna did rise to the top for her musical talent , among other things ) . 	like " jesus christ superstar , " which examined the rise and fall of jesus in his last days from a fame perspective ( in the cool tune " superstar , " a dead judas comes back from the dead to ask jesus why he didn't spread his message wider ) , " evita " takes an inventive stance on its topic , this time being the famed wife of argentinian dictator , juan per ?<br> n , eva , who slept her way to the top and became famous chiefly because she got attention , much like the woman playing her : madonna ( although i think madonna did rise to the top for her musical talent , among other things ) .	2	-3	 like[1] jesus[0] christ[0] superstar[0] which[0] examined[0] the[0] rise[0] and[0] fall[0] of[0] jesus[0] in[0] his[0] last[0] days[0] from[0] a[0] fame[0] perspective[0] in[0] the[0] cool[1] tune[0] superstar[0] a[0] dead[-2] judas[0] comes[0] back[0] from[0] the[0] dead[-2] to[0] ask[0] jesus[0] why[0] he[0] didn't[0] spread[0] his[0] message[0] wider[0] evita[0] takes[0] an[0] inventive[0] stance[0] on[0] its[0] topic[0] this[0] time[0] being[0] the[0] famed[0] wife[0] of[0] argentinian[0] dictator[0] juan[0] per[0] [[Sentence=-3,2=word max, 1-5]] n[0] eva[0] who[0] slept[0] her[0] way[0] to[0] the[0] top[0] and[0] became[0] famous[0] chiefly[0] because[0] she[0] got[0] attention[0] much[0] like[1] the[0] woman[0] playing[1] her[0] madonna[0] although[0] i[0] think[0] madonna[0] did[0] rise[0] to[0] the[0] top[0] for[0] her[0] musical[0] talent[1] among[0] other[0] things[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " evita " deals with the rise and fall of eva per ? n , a woman who captured the heart of the nation after marrying juan ( jonathan pryce ) , then died at the young age of 33 , creating an international stir of mourning not unlike that of princess di ( the two do share a bit in common , although it wasn't like di slept to " the top " ) . 	 " evita " deals with the rise and fall of eva per ?<br> n , a woman who captured the heart of the nation after marrying juan ( jonathan pryce ) , then died at the young age of 33 , creating an international stir of mourning not unlike that of princess di ( the two do share a bit in common , although it wasn't like di slept to " the top " ) .	2	-3	 evita[0] deals[0] with[0] the[0] rise[0] and[0] fall[0] of[0] eva[0] per[0] [[Sentence=-1,1=word max, 1-5]] n[0] a[0] woman[0] who[0] captured[-1] the[0] heart[0] of[0] the[0] nation[0] after[0] marrying[0] juan[0] jonathan[0] pryce[-1] then[0] died[0] at[0] the[0] young[0] age[0] of[0] 33[0] creating[0] an[0] international[0] stir[0] of[0] mourning[-2] not[0] unlike[0] that[0] of[0] princess[0] di[0] the[0] two[0] do[0] share[0] a[0] bit[0] in[0] common[0] although[0] it[0] wasn't[0] like[1] di[0] slept[0] to[0] the[0] top[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
webber and rice sure chose bizarre topics for their musicals , but they always have a point for doing it . 	webber and rice sure chose bizarre topics for their musicals , but they always have a point for doing it .	1	-2	 webber[0] and[0] rice[0] sure[0] chose[0] bizarre[-1] topics[0] for[0] their[0] musicals[0] but[0] they[0] always[0] have[0] a[0] point[0] for[0] doing[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , they wish to expose her for what she is , but still show that despite all of her many drawbacks , her lying , and covering up for her fascist husband , but show that she was still a good woman with fairly good intentions , and her death was very sad . 	here , they wish to expose her for what she is , but still show that despite all of her many drawbacks , her lying , and covering up for her fascist husband , but show that she was still a good woman with fairly good intentions , and her death was very sad .	2	-5	 here[0] they[0] wish[0] to[0] expose[-1] her[0] for[0] what[0] she[0] is[0] but[0] still[0] show[0] that[0] despite[0] all[0] of[0] her[0] many[0] drawbacks[0] her[0] lying[-3] and[0] covering[0] up[0] for[0] her[0] fascist[-1] husband[0] but[0] show[0] that[0] she[0] was[0] still[0] a[0] good[1] woman[0] with[0] fairly[0] good[1] intentions[0] and[0] her[0] death[-2] was[0] very[0] sad[-3][-1 LastWordBoosterStrength] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
it's also a musical , with almost no words not unsung . 	it's also a musical , with almost no words not unsung .	1	-1	 it's[0] also[0] a[0] musical[0] with[0] almost[0] no[0] words[0] not[0] unsung[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film plays like a rock opera , much like their " jesus christ superstar , " with many giant musical sequences just like the old musicals , even if they do possess very intelligent lyrics , which create not only an intellectually enlightening experience , but also a very entertaining one . 	the film plays like a rock opera , much like their " jesus christ superstar , " with many giant musical sequences just like the old musicals , even if they do possess very intelligent lyrics , which create not only an intellectually enlightening experience , but also a very entertaining one .	3	-1	 the[0] film[0] plays[1] like[1] a[0] rock[1] opera[0] much[0] like[1] their[0] jesus[0] christ[0] superstar[0] with[0] many[0] giant[0] musical[0] sequences[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] old[0] musicals[0] even[0] if[0] they[0] do[0] possess[0] very[0] intelligent[1][1 LastWordBoosterStrength] lyrics[0] which[0] create[0] not[0] only[0] an[0] intellectually[0] enlightening[0] experience[0] but[0] also[0] a[0] very[0] entertaining[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after all , this is a musical , and webber's musicals never undermine this . 	after all , this is a musical , and webber's musicals never undermine this .	2	-1	 after[0] all[0] this[0] is[0] a[0] musical[0] and[0] webber's[0] musicals[0] never[0] undermine[-1][NegatedDueToPreviousWord] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are a balance of energy and intellectual depth , walking on a fine line between the both , and never stumbling on either side . 	they are a balance of energy and intellectual depth , walking on a fine line between the both , and never stumbling on either side .	3	-1	 they[0] are[0] a[0] balance[0] of[0] energy[0] and[0] intellectual[0] depth[0] walking[0] on[0] a[0] fine[2] line[0] between[0] the[0] both[0] and[0] never[0] stumbling[0] on[0] either[0] side[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
