are you tired of all the hot new releases being gone by the time you get to the video store ? 	Translation	Positive	Negative	EmotionRationale
wafflemovies . com is dedicated to finding those hidden gems that lie on the shelves . 	wafflemovies .<br> com is dedicated to finding those hidden gems that lie on the shelves .	1	-1	 wafflemovies[0] [[Sentence=-1,1=word max, 1-5]] com[0] is[0] dedicated[0] to[0] finding[0] those[0] hidden[0] gems[0] that[0] lie[0] on[0] the[0] shelves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyweek , wafflemovies . com 	everyweek , wafflemovies .<br> com	1	-1	 everyweek[0] wafflemovies[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reviews independent film and big studio pictures that deserve a second chance on video . 	reviews independent film and big studio pictures that deserve a second chance on video .	1	-1	 reviews[0] independent[0] film[0] and[0] big[0] studio[0] pictures[0] that[0] deserve[0] a[0] second[0] chance[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here is a sample review : 	here is a sample review :	1	-1	 here[0] is[0] a[0] sample[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welcome to sarajevo 	welcome to sarajevo	2	-1	 welcome[1] to[0] sarajevo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in light of america's recent intervention in kosovo , welcome to sarajevo is a reminder of the horror america and the world ignored for years . 	in light of america's recent intervention in kosovo , welcome to sarajevo is a reminder of the horror america and the world ignored for years .	2	-4	 in[0] light[0] of[0] america's[0] recent[0] intervention[0] in[0] kosovo[0] welcome[1] to[0] sarajevo[0] is[0] a[0] reminder[0] of[0] the[0] horror[-3] america[0] and[0] the[0] world[0] ignored[0] for[0] years[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
set in sarajevo 1992 and based on actual events , this picture examines the human and societal casualties of war . 	set in sarajevo 1992 and based on actual events , this picture examines the human and societal casualties of war .	1	-3	 set[0] in[0] sarajevo[0] 1992[0] and[0] based[0] on[0] actual[0] events[0] this[0] picture[0] examines[0] the[0] human[0] and[0] societal[0] casualties[0] of[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the picture opens with a family escorting their young bride to her wedding . 	the picture opens with a family escorting their young bride to her wedding .	1	-1	 the[0] picture[0] opens[0] with[0] a[0] family[0] escorting[0] their[0] young[0] bride[0] to[0] her[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as they make their way down the street , a sniper shoots the mother of the bride . 	as they make their way down the street , a sniper shoots the mother of the bride .	1	-2	 as[0] they[0] make[0] their[0] way[0] down[0] the[0] street[0] a[0] sniper[0] shoots[-1] the[0] mother[0] of[0] the[0] bride[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet another reminder that daily life in war torn sarajevo can never escape the horror of war . 	yet another reminder that daily life in war torn sarajevo can never escape the horror of war .	1	-4	 yet[0] another[0] reminder[0] that[0] daily[0] life[0] in[0] war[-2] torn[0] sarajevo[0] can[0] never[0] escape[0] the[0] horror[-3] of[0] war[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in this scene , we meet joe flynn ( woody harrelson ) , an american reporter who stops reporting to help a priest carry the mortally wounded mother into a church . 	in this scene , we meet joe flyn ( woody harrelson ) , an american reporter who stops reporting to help a priest carry the mortally wounded mother into a church .	1	-2	 in[0] this[0] scene[0] we[0] meet[0] joe[0] flynn/flyn[0] woody[0] harrelson[0] an[0] american[0] reporter[0] who[0] stops[0] reporting[0] to[0] help[0] a[0] priest[0] carry[0] the[0] mortally[0] wounded[-1] mother[0] into[0] a[0] church[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
joe is cocky , but also good at heart as he continues to carry out kind deeds for people he doesn't even know . 	joe is cocky , but also good at heart as he continues to carry out kind deeds for people he doesn't even know .	2	-2	 joe[0] is[0] cocky[-1] but[0] also[0] good[1] at[0] heart[0] as[0] he[0] continues[0] to[0] carry[0] out[0] kind[1] deeds[0] for[0] people[0] he[0] doesn't[0] even[0] know[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his fellow reporter is the british michael henderson ( stephen dillane ) . 	his fellow reporter is the british michael henderson ( stephen dillane ) .	1	-1	 his[0] fellow[0] reporter[0] is[0] the[0] british[0] michael[0] henderson[0] stephen[0] dillane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael is quickly growing tired of the horror that surrounds him and the world's lack of interest . 	michael is quickly growing tired of the horror that surrounds him and the world's lack of interest .	2	-4	 michael[0] is[0] quickly[0] growing[0] tired[-1] of[0] the[0] horror[-3] that[0] surrounds[0] him[0] and[0] the[0] world's[0] lack[-1] of[0] interest[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
henderson is haunted by the memory of an altar boy who witnesses the mother's death as well as a young girl who he finds orphaned in a hospital after a mortar attack on citizens waiting in line for bread . 	henderson is haunted by the memory of an altar boy who witnesses the mother's death as well as a young girl who he finds orphaned in a hospital after a mortar attack on citizens waiting in line for bread .	1	-3	 henderson[0] is[0] haunted[0] by[0] the[0] memory[0] of[0] an[0] altar[0] boy[0] who[0] witnesses[0] the[0] mother's[0] death[-2] as[0] well[0] as[0] a[0] young[0] girl[0] who[0] he[0] finds[0] orphaned[0] in[0] a[0] hospital[0] after[0] a[0] mortar[0] attack[-2] on[0] citizens[0] waiting[0] in[0] line[0] for[0] bread[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he decides to take action when a united nations' delegation descends upon the area to declare yugoslavia the fourteenth most dangerous place on earth . 	he decides to take action when a united nations' delegation descends upon the area to declare yugoslavia the fourteenth most dangerous place on earth .	1	-2	 he[0] decides[0] to[0] take[0] action[0] when[0] a[0] united[0] nations'[0] delegation[0] descends[0] upon[0] the[0] area[0] to[0] declare[0] yugoslavia[0] the[0] fourteenth[0] most[0] dangerous[-1] place[0] on[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
henderson begins a series profiling an orphanage located on the front lines . 	henderson begins a series profiling an orphanage located on the front lines .	1	-1	 henderson[0] begins[0] a[0] series[0] profiling[0] an[0] orphanage[0] located[0] on[0] the[0] front[0] lines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he finds children of all ages living in fear and taking care of each other with the help of one adult . 	he finds children of all ages living in fear and taking care of each other with the help of one adult .	2	-4	 he[0] finds[0] children[0] of[0] all[0] ages[0] living[0] in[0] fear[-3] and[0] taking[0] care[1] of[0] each[0] other[0] with[0] the[0] help[0] of[0] one[0] adult[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
during his visits , he befriends a pre-teen girl , emira ( emira nuseric ) who serves as surrogate mother to baby roadrunner . 	during his visits , he befriends a pre-teen girl , emira ( emira nuseric ) who serves as surrogate mother to baby roadrunner .	2	-1	 during[0] his[0] visits[0] he[0] befriends[0] a[0] pre[0] teen[0] girl[0] emira[0] emira[0] nuseric[0] who[0] serves[0] as[0] surrogate[0] mother[0] to[0] baby[1] roadrunner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he promises to get emira out of harm's way if he gets the chance . 	he promises to get emira out of harm's way if he gets the chance .	2	-1	 he[0] promises[1] to[0] get[0] emira[0] out[0] of[0] harm's[0] way[0] if[0] he[0] gets[0] the[0] chance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after the un delegation leaves the country without rescuing any of the children , henderson loses hope . 	after the un delegation leaves the country without rescuing any of the children , henderson loses hope .	3	-2	 after[0] the[0] un[0] delegation[0] leaves[0] the[0] country[0] without[0] rescuing[0] any[0] of[0] the[0] children[0] henderson[0] loses[-1] hope[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , his reporting has grabbed the attention of nina ( marisa tomei ) and her children's aid group that helps to find homes for the yugoslavian orphans . 	however , his reporting has grabbed the attention of nina ( marisa tomei ) and her children's aid group that helps to find homes for the yugoslavian orphans .	1	-2	 however[0] his[0] reporting[0] has[0] grabbed[-1] the[0] attention[0] of[0] nina[0] marisa[0] tomei[0] and[0] her[0] children's[0] aid[0] group[0] that[0] helps[0] to[0] find[0] homes[0] for[0] the[0] yugoslavian[0] orphans[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , only babies are wanted for adoption , so henderson pledges to take emira to england . 	unfortunately , only babies are wanted for adoption , so henderson pledges to take emira to england .	2	-2	 unfortunately[-1] only[0] babies[1] are[0] wanted[0] for[0] adoption[0] so[0] henderson[0] pledges[0] to[0] take[0] emira[0] to[0] england[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the group of children , nina and henderson depart the front lines on a dangerous escape for italy . 	the group of children , nina and henderson depart the front lines on a dangerous escape for italy .	1	-2	 the[0] group[0] of[0] children[0] nina[0] and[0] henderson[0] depart[0] the[0] front[0] lines[0] on[0] a[0] dangerous[-1] escape[0] for[0] italy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
can they complete this dangerous trek through the war torn countryside and avoid hostile troops gathering up muslims for concentration camps ? 	can they complete this dangerous trek through the war torn countryside and avoid hostile troops gathering up muslims for concentration camps ?	1	-3	 can[0] they[0] complete[0] this[0] dangerous[-1] trek[0] through[0] the[0] war[-2] torn[0] countryside[0] and[0] avoid[-1] hostile[-2] troops[0] gathering[0] up[0] muslims[0] for[0] concentration[0] camps[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie was beautifully and sensitively made . 	the movie was beautifully and sensitively made .	3	-1	 the[0] movie[0] was[0] beautifully[2] and[0] sensitively[0] made[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director michael winterbottom and screenwriter frank cottrell boyce vividly express the societal destruction that has occurred . 	director michael winterbottom and screenwriter frank cottrell boyce vividly express the societal destruction that has occurred .	1	-2	 director[0] michael[0] winterbottom[0] and[0] screenwriter[0] frank[0] cottrell[0] boyce[0] vividly[0] express[0] the[0] societal[0] destruction[-1] that[0] has[0] occurred[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
