bob the happy bastard's quickie review : 	Translation	Positive	Negative	EmotionRationale
i must admit , no doubt's single " new " is quite catchy . 	i must admit , no doubt's single " new " is quite catchy .	1	-2	 i[0] must[0] admit[0] no[0] doubt's[-1] single[0] new[0] is[0] quite[0] catchy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was bouncy and energetic enough to get me to go see this new film from director doug limon , the man who had brought us the humorous swingers a little while back . 	it was bouncy and energetic enough to get me to go see this new film from director doug limon , the man who had brought us the humorous swingers a little while back .	3	-1	 it[0] was[0] bouncy[0] and[0] energetic[0] enough[0] to[0] get[0] me[0] to[0] go[0] see[0] this[0] new[0] film[0] from[0] director[0] doug[0] limon[0] the[0] man[0] who[0] had[0] brought[0] us[0] the[0] humorous[2] swingers[0] a[0] little[0] while[0] back[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the result ? 	the result ?	1	-1	 the[0] result[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a movie that's just as good as that song , really . 	a movie that's just as good as that song , really .	2	-1	 a[0] movie[0] that's[0] just[0] as[0] good[1] as[0] that[0] song[0] really[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it follows the lives of several individuals over the course of one weekend . 	it follows the lives of several individuals over the course of one weekend .	1	-1	 it[0] follows[0] the[0] lives[0] of[0] several[0] individuals[0] over[0] the[0] course[0] of[0] one[0] weekend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first we hear about a grocery bagger ( sara polley ) who runs into a monetary situation problem and ends up selling bogus drugs at a rave ( with bad results , as a drug dealer feels he's been swindled by her ) ; then comes the story of an english grocery store worker ( same store ) who heads to vegas for the weekend with friends , where sex , gunplay , and stolen car trouble come into play ; then we see the story of two gay movie actors ( played by scott wolf and jay mohr ) who deal with a cop's strange insurance presentation and hitting a girl ( sara ) with their car ; and , finally , we come to another grocery worker ( katie holmes ) who has a strange fascination with said drug dealer ( the one mentioned earlier ) . 	first we hear about a grocery bagger ( sara polley ) who runs into a monetary situation problem and ends up selling bogus drugs at a rave ( with bad results , as a drug dealer feels he's been swindled by her ) ; then comes the story of an english grocery store worker ( same store ) who heads to vegas for the weekend with friends , where sex , gunplay , and stolen car trouble come into play ; then we see the story of two gay movie actors ( played by scot wolf and jay mohr ) who deal with a cop's strange insurance presentation and hitting a girl ( sara ) with their car ; and , finally , we come to another grocery worker ( katie holmes ) who has a strange fascination with said drug dealer ( the one mentioned earlier ) .	2	-2	 first[0] we[0] hear[0] about[0] a[0] grocery[0] bagger[0] sara[0] polley[0] who[0] runs[0] into[0] a[0] monetary[0] situation[0] problem[-1] and[0] ends[0] up[0] selling[0] bogus[-1] drugs[0] at[0] a[0] rave[0] with[0] bad[-1] results[0] as[0] a[0] drug[0] dealer[0] feels[0] he's[0] been[0] swindled[0] by[0] her[0] then[0] comes[0] the[0] story[0] of[0] an[0] english[0] grocery[0] store[0] worker[0] same[0] store[0] who[0] heads[0] to[0] vegas[0] for[0] the[0] weekend[0] with[0] friends[1] where[0] sex[0] gunplay[-1] and[0] stolen[-1] car[0] trouble[-1] come[0] into[0] play[0] then[0] we[0] see[0] the[0] story[0] of[0] two[0] gay[-1] movie[0] actors[0] played[0] by[0] scott/scot[0] wolf[0] and[0] jay[0] mohr[0] who[0] deal[0] with[0] a[0] cop's[0] strange[0] insurance[0] presentation[0] and[0] hitting[0] a[0] girl[0] sara[0] with[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
really , it's all confusing to keep track of in review format , your best bet is to just , well , go . 	really , it's all confusing to keep track of in review format , your best bet is to just , well , go .	2	-2	 really[0] it's[0] all[0] confusing[-1] to[0] keep[0] track[0] of[0] in[0] review[0] format[0] your[0] best[1] bet[0] is[0] to[0] just[0] well[0] go[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie features some very good acting from all angles , and limon adds the same humorous energy he had with swingers to this particular product . 	the movie features some very good acting from all angles , and limon adds the same humorous energy he had with swingers to this particular product .	3	-1	 the[0] movie[0] features[0] some[0] very[0] good[1][1 LastWordBoosterStrength] acting[0] from[0] all[0] angles[0] and[0] limon[0] adds[0] the[0] same[0] humorous[2] energy[0] he[0] had[0] with[0] swingers[0] to[0] this[0] particular[0] product[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the dialogue is pretty snappy and the resolution is pretty well realized , not going for the sappy happy ending nor the dreaded bad ending . 	the dialogue is pretty snappy and the resolution is pretty well realized , not going for the sappy happy ending nor the dreaded bad ending .	3	-4	 the[0] dialogue[0] is[0] pretty[2] snappy[0] and[0] the[0] resolution[0] is[0] pretty[2] well[0] realized[0] not[0] going[0] for[0] the[0] sappy[0] happy[1] ending[0] nor[0] the[0] dreaded[-3] bad[-1] ending[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
think of it as a , well , ending . 	think of it as a , well , ending .	1	-1	 think[0] of[0] it[0] as[0] a[0] well[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
