i remember hearing about this film when it first appeared at cannes over a year ago , picking up the grand jury prize at the festival . 	Translation	Positive	Negative	EmotionRationale
'holocaust comedy receives standing ovation' , the headlines read . 	'holocaust comedy receives standing ovation' , the headlines read .	1	-1	 'holocaust[0] comedy[0] receives[0] standing[0] ovation'[0] the[0] headlines[0] read[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
intrigued by this statement , i looked up information on the film and found that , sure enough , life is beautiful is in fact a comedy about the greatest atrocity of the last thousand years . 	intrigued by this statement , i looked up information on the film and found that , sure enough , life is beautiful is in fact a comedy about the greatest atrocity of the last thousand years .	3	-1	 intrigued[0] by[0] this[0] statement[0] i[0] looked[0] up[0] information[0] on[0] the[0] film[0] and[0] found[0] that[0] sure[0] enough[0] life[0] is[0] beautiful[2] is[0] in[0] fact[0] a[0] comedy[0] about[0] the[0] greatest[2] atrocity[0] of[0] the[0] last[0] thousand[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even though the movie was extremely well-received by critics and public alike , i couldn't help but be disgusted at this notion ; human tragedy is not something i feel should be celebrated . 	even though the movie was extremely well-received by critics and public alike , i couldn't help but be disgusted at this notion ; human tragedy is not something i feel should be celebrated .	2	-4	 even[0] though[0] the[0] movie[0] was[0] extremely[0] well[0] received[0] by[0] critics[0] and[0] public[0] alike[0] i[0] couldn't[0] help[0] but[0] be[0] disgusted[-3] at[0] this[0] notion[0] human[0] tragedy[-2] is[0] not[0] something[0] i[0] feel[0] should[0] be[0] celebrated[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
only now do i see the error of my ways . 	only now do i see the error of my ways .	1	-2	 only[0] now[0] do[0] i[0] see[0] the[0] error[-1] of[0] my[0] ways[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after finally viewing the film for myself after avoiding it for some time , it became clear that it is not , as the headlines proclaimed , a " holocaust comedy " ; on the contrary , life is beautiful does not even really depict the graphic events that took place in nazi deathcamps . 	after finally viewing the film for myself after avoiding it for some time , it became clear that it is not , as the headlines proclaimed , a " holocaust comedy " ; on the contrary , life is beautiful does not even really depict the graphic events that took place in nazi deathcamps .	3	-3	 after[0] finally[0] viewing[0] the[0] film[0] for[0] myself[0] after[0] avoiding[-1] it[0] for[0] some[0] time[0] it[0] became[0] clear[0] that[0] it[0] is[0] not[0] as[0] the[0] headlines[0] proclaimed[0] a[0] holocaust[0] comedy[0] on[0] the[0] contrary[-1] life[0] is[0] beautiful[2] does[0] not[0] even[0] really[0] depict[0] the[0] graphic[0] events[0] that[0] took[0] place[0] in[0] nazi[-1] deathcamps[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
rather , it focuses on the relationship between a father and his son , who he is trying desperately to shield from the horrors of their situation . 	rather , it focuses on the relationship between a father and his son , who he is trying desperately to shield from the horrors of their situation .	1	-4	 rather[0] it[0] focuses[0] on[0] the[0] relationship[0] between[0] a[0] father[0] and[0] his[0] son[0] who[0] he[0] is[0] trying[0] desperately[-2] to[0] shield[0] from[0] the[0] horrors[-3] of[0] their[0] situation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
roberto benigni ( who also wrote and directed the movie ) stars as guido orefice , a chaplin-inspired clown and all round jolly guy who , as the film opens , is vying for the affections of an attractive school teacher ( nicoletta braschi , benigni real life spouse ) . 	roberto benigni ( who also wrote and directed the movie ) stars as guido orefice , a chaplin-inspired clown and all round jolly guy who , as the film opens , is vying for the affections of an attractive school teacher ( nicoletta braschi , benigni real life spouse ) .	3	-1	 roberto[0] benigni[1] who[0] also[0] wrote[0] and[0] directed[0] the[0] movie[0] stars[0] as[0] guido[0] orefice[0] a[0] chaplin[0] inspired[2] clown[0] and[0] all[0] round[0] jolly[2] guy[0] who[0] as[0] the[0] film[0] opens[0] is[0] vying[0] for[0] the[0] affections[2] of[0] an[0] attractive[1] school[0] teacher[0] nicoletta[0] braschi[0] benigni[1] real[0] life[0] spouse[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
through the course of the first hour or so , we see guido striving to get the attention of this " beautiful princess " , as he calls her . 	through the course of the first hour or so , we see guido striving to get the attention of this " beautiful princess " , as he calls her .	3	-1	 through[0] the[0] course[0] of[0] the[0] first[0] hour[0] or[0] so[0] we[0] see[0] guido[0] striving[0] to[0] get[0] the[0] attention[0] of[0] this[0] beautiful[2] princess[0] as[0] he[0] calls[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
employing the magic of laughter , the italian comedian wins her heart and together , they raise a young boy named giosue ( child actor giorgio cantarini ) . 	employing the magic of laughter , the italian comedian wins her heart and together , they raise a young boy named giosue ( child actor giorgio cantarini ) .	2	-1	 employing[0] the[0] magic[0] of[0] laughter[1] the[0] italian[0] comedian[0] wins[0] her[0] heart[0] and[0] together[0] they[0] raise[0] a[0] young[0] boy[0] named[0] giosue[0] child[0] actor[0] giorgio[0] cantarini[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
life treats them well until hitler's minions rise to power , and the family is whisked away to a german camp , where guido becomes convinced that he must upholds his son's innocence no matter what the sacrifice . 	life treats them well until hitler's minions rise to power , and the family is whisked away to a german camp , where guido becomes convinced that he must upholds his son's innocence no matter what the sacrifice .	2	-2	 life[0] treats[0] them[0] well[0] until[0] hitler's[0] minions[0] rise[0] to[0] power[0] and[0] the[0] family[0] is[0] whisked[0] away[0] to[0] a[0] german[-1] camp[0] where[0] guido[0] becomes[0] convinced[0] that[0] he[0] must[0] upholds[0] his[0] son's[0] innocence[1] no[0] matter[0] what[0] the[0] sacrifice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
granted , it contains some uproariously funny moments both in and out of the concentration camp , but it does not pull a " hogan's heros " and make light of the slaughtering of some six million innocent jews . 	granted , it contains some uproariously funny moments both in and out of the concentration camp , but it does not pull a " hogan's heros " and make light of the slaughtering of some six million innocent jews .	3	-2	 granted[0] it[0] contains[0] some[0] uproariously[0] funny[1] moments[0] both[0] in[0] and[0] out[0] of[0] the[0] concentration[0] camp[0] but[0] it[0] does[0] not[0] pull[0] a[0] hogan's[0] heros[2] and[0] make[0] light[0] of[0] the[0] slaughtering[-1] of[0] some[0] six[0] million[0] innocent[1] jews[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
somehow , it achieves hilarity without disrespecting it's gravely serious subject . 	somehow , it achieves hilarity without disrespecting it's gravely serious subject .	3	-2	 somehow[0] it[0] achieves[0] hilarity[2] without[0] disrespecting[0] it's[0] gravely[0] serious[-1] subject[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so , we've established that life is beautiful is not a " holocaust comedy " . 	so , we've established that life is beautiful is not a " holocaust comedy " .	3	-1	 so[0] we've[0] established[0] that[0] life[0] is[0] beautiful[2] is[0] not[0] a[0] holocaust[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , there is another complete misrepresentation of this material that really disturbs me . 	but , there is another complete misrepresentation of this material that really disturbs me .	1	-3	 but[0] there[0] is[0] another[0] complete[0] misrepresentation[-1][-1 LastWordBoosterStrength] of[0] this[0] material[0] that[0] really[0] disturbs[-1][-1 LastWordBoosterStrength] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film , despite critic's declarations of it being a " triumph of the human spirit " , is no such thing ; not in my eyes , anyway . 	the film , despite critic's declarations of it being a " triumph of the human spirit " , is no such thing ; not in my eyes , anyway .	3	-1	 the[0] film[0] despite[0] critic's[0] declarations[0] of[0] it[0] being[0] a[0] triumph[2] of[0] the[0] human[0] spirit[0] is[0] no[0] such[0] thing[0] not[0] in[0] my[0] eyes[0] anyway[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some have called the story an " affirmation of the beauty of life " , but i say it is a very dark and bleak statement about man's capability of denial masquerading as an endearing comedy . 	some have called the story an " affirmation of the beauty of life " , but i say it is a very dark and bleak statement about man's capability of denial masquerading as an endearing comedy .	3	-2	 some[0] have[0] called[0] the[0] story[0] an[0] affirmation[0] of[0] the[0] beauty[2] of[0] life[0] but[0] i[0] say[0] it[0] is[0] a[0] very[0] dark[0] and[0] bleak[-1] statement[0] about[0] man's[0] capability[0] of[0] denial[-1] masquerading[0] as[0] an[0] endearing[0] comedy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film's ending has been recognized as the most entirely uplifting moment of any film released recently , but i found it to be truly discerning and upsetting . 	the film's ending has been recognized as the most entirely uplifting moment of any film released recently , but i found it to be truly discerning and upsetting .	2	-3	 the[0] film's[0] ending[0] has[0] been[0] recognized[0] as[0] the[0] most[0] entirely[0] uplifting[0] moment[0] of[0] any[0] film[0] released[0] recently[0] but[0] i[0] found[0] it[0] to[0] be[0] truly[1] discerning[0] and[0] upsetting[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
essentially , life is beautiful is quite possibly the greatest hoax in the history of film . 	essentially , life is beautiful is quite possibly the greatest hoax in the history of film .	3	-1	 essentially[0] life[0] is[0] beautiful[2] is[0] quite[0] possibly[0] the[0] greatest[2] hoax[0] in[0] the[0] history[0] of[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , i am not denying the movie's greatness . 	however , i am not denying the movie's greatness .	3	-1	 however[0] i[0] am[0] not[0] denying[0] the[0] movie's[0] greatness[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
believe me , it's fantastic . 	believe me , it's fantastic .	3	-1	 believe[0] me[0] it's[0] fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
