urban legend surprised me . 	Translation	Positive	Negative	EmotionRationale
based on the last few films the genre has produced ( including but not exclusive to the likes of i know what you did last summer , disturbing behavior and the disappointing halloween : h20 ) , i was positive that i was in store for another mildly entertaining but silly and ultimately boring rehash of the scream phenomena . 	based on the last few films the genre has produced ( including but not exclusive to the likes of i know what you did last summer , disturbing behavior and the disappointing halloween : h20 ) , i was positive that i was in store for another mildly entertaining but silly and ultimately boring rehash of the scream phenomena .	3	-4	 based[0] on[0] the[0] last[0] few[0] films[0] the[0] genre[0] has[0] produced[0] including[0] but[0] not[0] exclusive[0] to[0] the[0] likes[2] of[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] disturbing[-1] behavior[0] and[0] the[0] disappointing[-1] halloween[0] h20[0] i[0] was[0] positive[2] that[0] i[0] was[0] in[0] store[0] for[0] another[0] mildly[0] entertaining[0] but[0] silly[-1] and[0] ultimately[0] boring[-1] rehash[0] of[0] the[0] scream[-3] phenomena[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
thankfully , legend rose above it's soggy premise to become not only a hip , scary and stylish entertainment , but also what will probably become one of the best films of the year . 	thankfully , legend rose above it's soggy premise to become not only a hip , scary and stylish entertainment , but also what will probably become one of the best films of the year .	2	-4	 thankfully[1] legend[0] rose[0] above[0] it's[0] soggy[0] premise[0] to[0] become[0] not[0] only[0] a[0] hip[0] scary[-3] and[0] stylish[0] entertainment[0] but[0] also[0] what[0] will[0] probably[0] become[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] year[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
you're all familiar with the plot ; a bunch of overly horny teenagers get systematically slaughtered by a masked maniac who's identity is not revealed until the closing moments of the film when it turns out to be , you guessed it ; everybody's favorite veteran of the whodunit flicks . . . the 	you're all familiar with the plot ; a bunch of overly horny teenagers get systematically slaughtered by a masked maniac who's identity is not revealed until the closing moments of the film when it turns out to be , you guessed it ; everybody's favorite veteran of the whodunit flicks .<br> .<br> .<br> the	2	-3	 you're[0] all[0] familiar[0] with[0] the[0] plot[0] a[0] bunch[0] of[0] overly[0] horny[0] teenagers[0] get[0] systematically[0] slaughtered[-1] by[0] a[0] masked[0] maniac[-2] who's[0] identity[0] is[0] not[0] revealed[0] until[0] the[0] closing[0] moments[0] of[0] the[0] film[0] when[0] it[0] turns[0] out[0] to[0] be[0] you[0] guessed[0] it[0] everybody's[0] favorite[1] veteran[0] of[0] the[0] whodunit[0] flicks[0] [[Sentence=-3,2=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
only person you didn't suspect ! 	only person you didn't suspect !	1	-2	 only[0] person[0] you[0] didn't[0] suspect[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , just because legend doesn't really break any new ground as far as literary or even technical achievements go does not mean that it can't qualify as first-class entertainment . 	however , just because legend doesn't really break any new ground as far as literary or even technical achievements go does not mean that it can't qualify as first-class entertainment .	1	-1	 however[0] just[0] because[0] legend[0] doesn't[0] really[0] break[0] any[0] new[0] ground[0] as[0] far[0] as[0] literary[0] or[0] even[0] technical[0] achievements[0] go[0] does[0] not[0] mean[0] that[0] it[0] can't[0] qualify[0] as[0] first[0] class[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was , believe it or not , one of the funnest times i've had at the movies all year . 	it was , believe it or not , one of the funnest times i've had at the movies all year .	2	-1	 it[0] was[0] believe[0] it[0] or[0] not[0] one[0] of[0] the[0] funnest[1] times[0] i've[0] had[0] at[0] the[0] movies[0] all[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the thing is , i'm not really sure what made this particular stab ( pardon the pun ) at the genre seem so fresh and alive . 	the thing is , i'm not really sure what made this particular stab ( pardon the pun ) at the genre seem so fresh and alive .	1	-2	 the[0] thing[0] is[0] i'm[0] not[0] really[0] sure[0] what[0] made[0] this[0] particular[0] stab[-1] pardon[0] the[0] pun[0] at[0] the[0] genre[0] seem[0] so[0] fresh[0] and[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe it was the above-par performances by the movie's two leads ( jared leto and " cybil " actress alicia witt ) . 	maybe it was the above-par performances by the movie's two leads ( jared leto and " cybil " actress alicia wit ) .	1	-1	 maybe[0] it[0] was[0] the[0] above[0] par[0] performances[0] by[0] the[0] movie's[0] two[0] leads[0] jared[0] leto[0] and[0] cybil[0] actress[0] alicia[0] witt/wit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or , it could have been the on- target direction by jamie blanks . 	or , it could have been the on- target direction by jamie blanks .	1	-1	 or[0] it[0] could[0] have[0] been[0] the[0] on[0] target[0] direction[0] by[0] jamie[0] blanks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more likely , though , it was because of the inspired premise . 	more likely , though , it was because of the inspired premise .	3	-1	 more[0] likely[0] though[0] it[0] was[0] because[0] of[0] the[0] inspired[2] premise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
