you've got mail is a timely romance for this impersonal , computer-driven decade . 	Translation	Positive	Negative	EmotionRationale
two people who've never met confide in each other via e-mail without revealing their true identities . 	two people who've never met confide in each other via e-mail without revealing their true identities .	2	-1	 two[0] people[0] who've[0] never[0] met[0] confide[0] in[0] each[0] other[0] via[0] e[0] mail[0] without[0] revealing[0] their[0] true[1] identities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nora ephron's contemporary update of the shop around the corner retains the basic plot : two people who despise each other unwittingly become enamored with each other through their anonymous correspondence . 	nora ephron's contemporary update of the shop around the corner retains the basic plot : two people who despise each other unwittingly become enamored with each other through their anonymous correspondence .	1	-4	 nora[0] ephron's[0] contemporary[0] update[0] of[0] the[0] shop[0] around[0] the[0] corner[0] retains[0] the[0] basic[0] plot[0] two[0] people[0] who[0] despise[-3] each[0] other[0] unwittingly[0] become[0] enamored[0] with[0] each[0] other[0] through[0] their[0] anonymous[0] correspondence[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ephron , who co-wrote the film with her sister , delia , as well as directed it , knew what she was doing by reteaming tom hanks and meg ryan as the at-odds couple . 	ephron , who co-wrote the film with her sister , delia , as well as directed it , knew what she was doing by reteaming tom hanks and meg ryan as the at-odds couple .	1	-1	 ephron[0] who[0] co[0] wrote[0] the[0] film[0] with[0] her[0] sister[0] delia[0] as[0] well[0] as[0] directed[0] it[0] knew[0] what[0] she[0] was[0] doing[0] by[0] reteaming[0] tom[0] hanks[0] and[0] meg[0] ryan[0] as[0] the[0] at[0] odds[0] couple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ryan is kathleen kelly , owner of a small children's bookstore , while hanks is joe fox , who heads up a chain of mega bookstores ( think barnes & noble ) . 	ryan is kathleen kelly , owner of a small children's bookstore , while hanks is joe fox , who heads up a chain of mega bookstores ( think barnes & noble ) .	1	-1	 ryan[0] is[0] kathleen[0] kelly[0] owner[0] of[0] a[0] small[0] children's[0] bookstore[0] while[0] hanks[0] is[0] joe[0] fox[0] who[0] heads[0] up[0] a[0] chain[0] of[0] mega[0] bookstores[0] think[0] barnes[0] &[0] noble[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their charm and chemistry are the glue that binds this film , even through some of the script's rough spots . 	their charm and chemistry are the glue that binds this film , even through some of the script's rough spots .	2	-2	 their[0] charm[1] and[0] chemistry[0] are[0] the[0] glue[0] that[0] binds[0] this[0] film[0] even[0] through[0] some[0] of[0] the[0] script's[0] rough[-1] spots[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for the ephrons invested so much effort in their protagonists that they give short shrift to the talented supporting cast , including parker posey , greg kinnear , jean stapleton and steve zahn . 	for the ephrons invested so much effort in their protagonists that they give short shrift to the talented supporting cast , including parker posey , greg kinnear , jean stapleton and steve zahn .	2	-1	 for[0] the[0] ephrons[0] invested[0] so[0] much[0] effort[0] in[0] their[0] protagonists[0] that[0] they[0] give[0] short[0] shrift[0] to[0] the[0] talented[1] supporting[1] cast[0] including[0] parker[0] posey[0] greg[0] kinnear[0] jean[0] stapleton[0] and[0] steve[0] zahn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet no one is really going to complain because the ephrons know their audience - and what the paying public wants is hanks and ryan . 	yet no one is really going to complain because the ephrons know their audience - and what the paying public wants is hanks and ryan .	1	-2	 yet[0] no[0] one[0] is[0] really[0] going[0] to[0] complain[-1] because[0] the[0] ephrons[0] know[0] their[0] audience[0] and[0] what[0] the[0] paying[0] public[0] wants[0] is[0] hanks[0] and[0] ryan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the two are kept busy . 	and the two are kept busy .	1	-1	 and[0] the[0] two[0] are[0] kept[0] busy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one , the other or both are in nearly every scene . 	one , the other or both are in nearly every scene .	1	-1	 one[0] the[0] other[0] or[0] both[0] are[0] in[0] nearly[0] every[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hanks has his decent guy routine down pat , yet each time he does it , it seems effortless , spontaneous and fresh . 	hanks has his decent guy routine down pat , yet each time he does it , it seems effortless , spontaneous and fresh .	1	-1	 hanks[0] has[0] his[0] decent[0] guy[0] routine[0] down[0] pat[0] yet[0] each[0] time[0] he[0] does[0] it[0] it[0] seems[0] effortless[0] spontaneous[0] and[0] fresh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
